message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2790101,0.004753135,168,1583017200,278.21,271.48,995,80,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2790101,0.004753135,168,1583020800,278.37,271.52,995,75,277.04,279.82,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2790101,0.004753135,168,1583024400,278.5,272.52,995,80,277.15,279.82,6.2,200,82,500,Rain,light rain,10n
Count: 168,200,2790101,0.004753135,168,1583028000,278.59,271.42,995,75,277.59,279.82,7.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790101,0.004753135,168,1583031600,278.87,272.8,995,75,278.15,279.82,6.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790101,0.004753135,168,1583035200,279.2,271.58,994,80,278.15,279.82,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790101,0.004753135,168,1583038800,279.22,272.66,995,80,278.15,280.37,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790101,0.004753135,168,1583042400,279.2,272.13,995,75,278.15,280.15,7.7,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2790101,0.004753135,168,1583046000,279.06,271.27,994,75,278.15,280.15,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2790101,0.004753135,168,1583049600,279.29,272.04,995,80,278.15,280.37,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2790101,0.004753135,168,1583053200,279.88,271.64,995,70,278.71,280.93,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2790101,0.004753135,168,1583056800,280.64,272.35,995,65,279.82,281.48,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2790101,0.004753135,168,1583060400,281.42,273.67,995,65,280.15,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
