message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2786559,0.005599388,168,1583017200,278.29,270.1,994,80,277.04,279.26,9.3,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2786559,0.005599388,168,1583020800,278.54,270.04,994,80,277.15,279.82,9.8,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786559,0.005599388,168,1583024400,278.69,270.84,994,75,277.59,279.82,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786559,0.005599388,168,1583028000,278.67,270.4,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2786559,0.005599388,168,1583031600,278.93,270.96,994,70,278.15,279.82,8.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786559,0.005599388,168,1583035200,279.22,271.03,993,75,278.15,279.82,9.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786559,0.005599388,168,1583038800,279.22,270.33,993,75,278.15,280.37,10.3,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786559,0.005599388,168,1583042400,279.22,270.33,993,75,278.15,280.15,10.3,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2786559,0.005599388,168,1583046000,279.11,271.33,993,75,278.15,280.15,8.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786559,0.005599388,168,1583049600,279.32,270.8,994,75,278.15,280.37,9.8,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786559,0.005599388,168,1583053200,279.93,271.51,994,75,278.71,280.93,9.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786559,0.005599388,168,1583056800,280.64,272.0,994,65,279.82,281.48,9.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786559,0.005599388,168,1583060400,281.44,274.22,994,70,280.15,282.59,8.2,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2786559,0.005599388,168,1583064000,281.96,274.3,994,65,280.93,283.15,8.7,230,20,801,Clouds,few clouds,02d
Count: 168,200,2786559,0.005599388,168,1583067600,282.16,274.88,994,65,281.15,283.15,8.2,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786559,0.005599388,168,1583071200,282.36,276.36,993,61,281.15,283.15,6.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786559,0.005599388,168,1583074800,282.34,275.99,992,61,281.15,283.15,6.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786559,0.005599388,168,1583078400,281.79,277.71,992,66,280.37,282.59,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2786559,0.005599388,168,1583082000,281.26,277.06,991,65,279.82,282.15,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2786559,0.005599388,168,1583085600,280.45,276.82,991,65,278.15,281.48,2.6,250,20,801,Clouds,few clouds,02n
Count: 168,200,2786559,0.005599388,168,1583089200,279.9,276.0,991,70,277.59,281.48,3.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2786559,0.005599388,168,1583092800,279.7,275.07,992,70,277.59,281.48,4.1,250,99,804,Clouds,overcast clouds,04n
Count: 168,200,2786559,0.005599388,168,1583096400,279.21,273.81,993,70,278.15,280.37,5.1,260,99,804,Clouds,overcast clouds,04n
Count: 168,200,2786559,0.005599388,168,1583100000,278.72,272.62,993,75,277.04,279.82,6.2,240,99,804,Clouds,overcast clouds,04n
Count: 168,200,2786559,0.005599388,168,1583103600,278.26,271.92,993,81,276.48,279.26,6.7,230,50,802,Clouds,scattered clouds,03n
Count: 168,200,2786559,0.005599388,168,1583107200,277.79,272.04,993,80,276.15,279.26,5.7,210,50,802,Clouds,scattered clouds,03n
