message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2786124,0.006863891,168,1583017200,278.41,270.24,994,80,277.59,279.26,9.3,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583020800,278.55,270.06,994,80,277.59,279.26,9.8,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583024400,278.73,270.89,994,75,277.59,279.82,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583028000,278.75,270.49,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583031600,278.96,271.0,994,70,278.15,279.82,8.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786124,0.006863891,168,1583035200,279.26,271.08,993,75,278.15,279.82,9.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583038800,279.26,270.38,993,75,278.15,280.37,10.3,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786124,0.006863891,168,1583042400,279.27,270.39,993,75,278.15,280.15,10.3,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583046000,279.19,271.42,993,75,278.15,280.15,8.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583049600,279.4,270.89,994,75,278.15,280.37,9.8,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786124,0.006863891,168,1583053200,279.98,271.57,994,75,278.71,280.93,9.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583056800,280.68,272.05,994,65,279.82,281.48,9.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786124,0.006863891,168,1583060400,281.61,273.12,994,65,280.37,282.59,9.8,220,91,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583064000,282.04,274.39,994,65,280.93,283.15,8.7,230,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583067600,282.26,275.04,994,57,281.48,283.15,7.7,210,76,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583071200,282.4,276.41,993,61,281.48,283.15,6.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786124,0.006863891,168,1583074800,282.36,276.01,992,61,281.15,283.15,6.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786124,0.006863891,168,1583078400,281.99,277.94,992,66,280.93,283.15,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583082000,281.27,277.07,991,65,279.82,282.15,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583085600,280.54,276.92,991,65,279.15,281.48,2.6,250,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583089200,280.03,276.15,991,70,278.71,281.48,3.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583092800,279.79,275.17,992,70,278.71,281.15,4.1,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786124,0.006863891,168,1583096400,279.27,273.88,993,70,278.15,280.37,5.1,260,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786124,0.006863891,168,1583100000,278.81,272.73,993,75,278.15,279.82,6.2,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786124,0.006863891,168,1583103600,278.38,272.06,993,81,277.04,279.26,6.7,230,67,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583107200,277.96,272.24,993,80,276.48,279.26,5.7,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583110800,277.7,271.59,993,80,276.48,278.71,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583114400,277.53,271.56,992,86,276.48,278.71,6.2,190,67,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583118000,277.76,272.18,991,86,276.48,278.71,5.7,190,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583121600,278.04,272.92,990,86,277.04,278.71,5.1,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583125200,278.42,272.95,989,86,277.59,279.26,5.7,160,83,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583128800,278.55,273.52,989,86,278.15,279.26,5.1,160,75,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583132400,278.71,273.92,988,93,278.15,279.26,5.1,170,75,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583136000,279.18,274.65,988,87,278.71,279.82,4.6,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583139600,279.68,274.47,988,87,278.71,280.37,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583143200,280.43,275.79,987,87,279.26,281.48,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583146800,280.71,276.82,987,87,279.82,282.04,4.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583150400,280.93,277.23,987,81,279.82,282.04,3.6,200,75,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583154000,281.25,278.53,987,87,280.15,282.15,2.6,210,75,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583157600,281.16,277.72,987,87,280.15,282.04,3.6,210,75,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583161200,280.96,278.18,988,87,280.15,281.48,2.6,190,75,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583164800,280.65,278.01,989,93,279.82,281.48,2.6,240,75,500,Rain,light rain,10d
Count: 168,200,2786124,0.006863891,168,1583168400,280.22,277.49,990,93,279.15,281.15,2.6,300,75,501,Rain,moderate rain,10d
Count: 168,200,2786124,0.006863891,168,1583172000,279.76,276.74,991,87,278.71,280.37,2.6,320,75,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583175600,279.25,273.8,992,93,278.15,280.15,6.2,310,75,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583179200,278.77,273.39,994,87,277.59,280.15,5.7,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583182800,278.21,273.47,995,86,277.04,279.26,4.6,300,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583186400,277.53,273.38,996,86,275.93,278.71,3.6,280,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786124,0.006863891,168,1583190000,276.92,272.67,997,86,275.93,278.15,3.6,260,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786124,0.006863891,168,1583193600,276.71,272.43,998,86,275.37,278.15,3.6,230,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786124,0.006863891,168,1583197200,276.52,271.86,998,86,274.82,278.15,4.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583200800,276.18,271.11,999,86,274.82,277.59,4.6,240,0,800,Clear,clear sky,01n
Count: 168,200,2786124,0.006863891,168,1583204400,275.77,270.64,999,86,274.82,277.04,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2786124,0.006863891,168,1583208000,275.42,270.24,1000,86,274.26,276.48,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2786124,0.006863891,168,1583211600,275.03,270.1,1000,84,274.15,276.15,4.1,220,0,800,Clear,clear sky,01n
Count: 168,200,2786124,0.006863891,168,1583215200,274.88,269.23,1001,84,274.26,275.93,5.1,220,0,800,Clear,clear sky,01n
Count: 168,200,2786124,0.006863891,168,1583218800,274.87,269.57,1001,84,273.71,275.93,4.6,220,0,800,Clear,clear sky,01d
Count: 168,200,2786124,0.006863891,168,1583222400,276.13,271.41,1001,86,274.82,277.04,4.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583226000,277.67,272.69,1002,93,275.93,279.26,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583229600,278.94,273.38,1002,80,277.04,280.37,5.7,230,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583233200,280.04,274.51,1002,75,277.59,282.04,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583236800,280.57,275.55,1002,75,278.15,282.59,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583240400,281.03,276.79,1003,75,278.71,283.15,4.1,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583244000,281.16,276.59,1002,75,279.15,282.59,4.6,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583247600,281.06,275.36,1003,75,278.71,282.59,6.2,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583251200,280.83,275.26,1004,70,278.15,283.15,5.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786124,0.006863891,168,1583254800,279.37,274.07,1005,86,276.48,280.93,5.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786124,0.006863891,168,1583258400,278.12,274.07,1005,86,275.93,279.82,3.6,200,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786124,0.006863891,168,1583262000,277.83,273.73,1006,86,276.15,279.26,3.6,190,20,801,Clouds,few clouds,02n
Count: 168,200,2786124,0.006863891,168,1583265600,277.69,273.91,1007,86,276.48,278.71,3.1,200,40,520,Rain,light intensity shower rain,09n
Count: 168,200,2786124,0.006863891,168,1583269200,277.53,275.04,1007,93,276.48,278.71,1.5,200,75,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583272800,277.52,273.56,1008,93,276.48,278.71,3.6,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583276400,277.57,273.27,1008,93,275.93,279.26,4.1,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786124,0.006863891,168,1583280000,278.03,273.46,1009,93,277.04,279.26,4.6,220,79,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583283600,278.19,274.0,1009,93,277.04,279.26,4.1,230,75,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583287200,278.47,274.33,1010,93,277.04,279.82,4.1,230,35,301,Drizzle,drizzle,09n
Count: 168,200,2786124,0.006863891,168,1583290800,278.47,273.46,1010,87,276.48,279.82,5.1,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583294400,277.98,273.2,1010,86,275.93,279.82,4.6,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2786124,0.006863891,168,1583298000,277.19,272.63,1010,86,275.37,279.26,4.1,240,39,500,Rain,light rain,10n
Count: 168,200,2786124,0.006863891,168,1583301600,276.48,272.34,1010,93,275.37,278.15,3.6,230,39,802,Clouds,scattered clouds,03n
Count: 168,200,2786124,0.006863891,168,1583305200,276.56,272.43,1011,93,275.37,278.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583308800,277.55,274.29,1011,93,276.15,279.26,2.6,200,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583312400,278.82,274.89,1011,86,277.04,280.37,3.6,210,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583316000,280.16,276.86,1011,87,278.71,281.48,3.1,210,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583319600,281.11,277.45,1011,81,279.15,283.15,3.6,210,20,801,Clouds,few clouds,02d
Count: 168,200,2786124,0.006863891,168,1583323200,281.63,276.8,1011,75,279.82,283.71,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583326800,282.03,277.85,1011,81,280.15,284.26,4.6,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786124,0.006863891,168,1583330400,281.69,275.92,1010,70,279.82,283.15,6.2,210,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2786124,0.006863891,168,1583334000,281.8,278.27,1010,81,280.15,283.15,3.6,200,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786124,0.006863891,168,1583337600,281.63,277.85,1009,75,280.93,282.59,3.6,220,40,802,Clouds,scattered clouds,03d
