message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2783081,0.035419092,168,1583017200,278.41,271.71,993,80,277.59,279.26,7.2,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583020800,278.57,271.25,994,70,277.59,279.26,7.7,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583024400,278.84,271.56,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2783081,0.035419092,168,1583028000,278.81,271.88,993,70,278.15,279.26,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583031600,278.96,272.2,993,75,278.15,279.82,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583035200,278.99,271.54,991,75,277.59,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783081,0.035419092,168,1583038800,278.99,271.34,991,80,278.15,279.82,8.7,220,75,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2783081,0.035419092,168,1583042400,279.06,272.51,993,70,278.15,280.15,6.7,230,80,500,Rain,light rain,10n
Count: 168,200,2783081,0.035419092,168,1583046000,279.04,271.94,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783081,0.035419092,168,1583049600,279.21,272.53,993,65,278.15,280.37,6.7,230,75,500,Rain,light rain,10d
Count: 168,200,2783081,0.035419092,168,1583053200,279.8,273.18,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783081,0.035419092,168,1583056800,280.53,273.86,992,70,279.26,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783081,0.035419092,168,1583060400,281.21,273.29,994,61,279.26,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783081,0.035419092,168,1583064000,281.8,274.17,994,57,280.93,282.59,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783081,0.035419092,168,1583067600,282.2,275.67,993,57,280.37,283.71,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783081,0.035419092,168,1583071200,282.23,276.21,992,61,279.82,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2783081,0.035419092,168,1583074800,281.81,275.3,992,59,279.26,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783081,0.035419092,168,1583078400,281.53,276.03,992,57,279.82,282.59,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2783081,0.035419092,168,1583082000,280.99,276.46,991,57,279.26,282.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2783081,0.035419092,168,1583085600,280.46,276.48,991,65,279.15,281.48,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783081,0.035419092,168,1583089200,279.92,275.73,992,61,278.71,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783081,0.035419092,168,1583092800,279.69,275.57,991,75,278.71,280.93,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783081,0.035419092,168,1583096400,279.24,274.19,992,70,278.15,280.37,4.6,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783081,0.035419092,168,1583100000,278.8,274.19,993,75,277.59,279.82,4.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783081,0.035419092,168,1583103600,278.42,273.75,993,75,277.59,279.26,4.1,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583107200,278.08,273.53,993,81,277.04,279.26,4.1,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583110800,277.91,272.95,992,80,277.04,278.71,4.6,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583114400,277.68,273.04,992,80,276.48,278.71,4.1,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583118000,277.73,273.44,991,80,277.04,278.71,3.6,190,67,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583121600,277.94,273.86,990,86,277.04,278.71,3.6,160,67,803,Clouds,broken clouds,04n
Count: 168,200,2783081,0.035419092,168,1583125200,278.22,274.89,988,86,277.15,279.26,2.6,140,75,500,Rain,light rain,10n
Count: 168,200,2783081,0.035419092,168,1583128800,278.34,275.58,988,93,277.59,279.26,2.1,150,90,500,Rain,light rain,10n
Count: 168,200,2783081,0.035419092,168,1583132400,278.56,274.79,987,93,277.59,279.26,3.6,160,90,500,Rain,light rain,10d
Count: 168,200,2783081,0.035419092,168,1583136000,279.03,274.82,988,87,278.15,279.82,4.1,160,75,500,Rain,light rain,10d
Count: 168,200,2783081,0.035419092,168,1583139600,279.51,276.98,987,93,278.71,280.37,2.1,170,75,500,Rain,light rain,10d
