message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2801438,0.071436924,168,1583017200,278.4,271.7,993,80,277.59,279.26,7.2,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583020800,278.56,271.24,994,70,277.59,279.26,7.7,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583024400,278.8,271.52,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2801438,0.071436924,168,1583028000,278.8,271.87,993,70,278.15,279.26,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583031600,278.92,272.16,993,75,278.15,279.82,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583035200,279.13,271.7,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583038800,279.04,272.64,993,75,278.15,279.82,6.7,220,80,500,Rain,light rain,10n
Count: 168,200,2801438,0.071436924,168,1583042400,279.11,272.57,993,70,278.15,280.15,6.7,230,80,500,Rain,light rain,10n
Count: 168,200,2801438,0.071436924,168,1583046000,279.09,272.0,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801438,0.071436924,168,1583049600,279.26,272.59,993,65,278.15,280.37,6.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2801438,0.071436924,168,1583053200,279.87,273.26,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801438,0.071436924,168,1583056800,280.62,273.97,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801438,0.071436924,168,1583060400,281.38,273.48,994,61,279.82,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801438,0.071436924,168,1583064000,281.95,274.34,994,57,280.93,283.15,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801438,0.071436924,168,1583067600,282.21,275.68,993,57,280.93,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801438,0.071436924,168,1583071200,282.39,276.4,992,61,280.93,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2801438,0.071436924,168,1583074800,282.13,275.67,992,59,279.82,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801438,0.071436924,168,1583078400,281.63,276.14,992,57,279.82,282.59,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2801438,0.071436924,168,1583082000,281.06,276.54,991,57,279.26,282.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2801438,0.071436924,168,1583085600,280.34,276.34,991,65,278.71,281.48,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583089200,279.9,275.71,992,61,278.71,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583092800,279.65,275.52,991,75,278.71,280.93,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583096400,279.21,274.16,992,70,278.15,280.37,4.6,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583100000,278.78,274.16,993,75,277.59,279.82,4.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583103600,278.38,273.7,993,75,277.04,279.26,4.1,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583107200,278.07,273.52,993,81,277.04,279.26,4.1,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583110800,277.88,272.92,992,80,277.04,278.71,4.6,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583114400,277.62,272.97,992,80,276.48,278.71,4.1,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583118000,277.68,273.39,991,80,276.48,278.71,3.6,190,67,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583121600,277.89,273.8,990,86,277.04,278.71,3.6,160,67,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583125200,278.14,274.79,988,86,277.04,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2801438,0.071436924,168,1583128800,278.34,275.58,988,93,277.59,279.26,2.1,150,90,500,Rain,light rain,10n
Count: 168,200,2801438,0.071436924,168,1583132400,278.52,274.74,987,93,277.59,279.26,3.6,160,90,500,Rain,light rain,10d
Count: 168,200,2801438,0.071436924,168,1583136000,279.02,274.81,988,87,278.15,279.82,4.1,160,75,500,Rain,light rain,10d
Count: 168,200,2801438,0.071436924,168,1583139600,279.52,275.59,988,93,278.71,280.37,4.1,160,75,500,Rain,light rain,10d
Count: 168,200,2801438,0.071436924,168,1583143200,280.17,277.77,987,93,279.15,281.15,2.1,160,75,500,Rain,light rain,10d
Count: 168,200,2801438,0.071436924,168,1583146800,280.55,278.66,987,93,279.26,281.48,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2801438,0.071436924,168,1583150400,280.89,278.3,987,93,279.82,282.15,2.6,180,75,501,Rain,moderate rain,10d
Count: 168,200,2801438,0.071436924,168,1583154000,281.19,279.26,987,100,280.15,282.15,2.1,220,75,500,Rain,light rain,10d
Count: 168,200,2801438,0.071436924,168,1583157600,281.12,278.93,987,93,280.15,282.04,2.1,220,75,500,Rain,light rain,10d
Count: 168,200,2801438,0.071436924,168,1583161200,280.99,278.07,988,93,280.15,281.48,3.1,280,75,501,Rain,moderate rain,10d
Count: 168,200,2801438,0.071436924,168,1583164800,280.69,277.5,989,87,279.82,281.48,3.1,280,75,501,Rain,moderate rain,10d
Count: 168,200,2801438,0.071436924,168,1583168400,280.27,277.2,990,93,279.82,280.93,3.1,310,75,501,Rain,moderate rain,10d
Count: 168,200,2801438,0.071436924,168,1583172000,279.87,276.01,991,93,279.15,280.37,4.1,280,75,500,Rain,light rain,10n
Count: 168,200,2801438,0.071436924,168,1583175600,279.4,273.79,993,87,278.71,280.15,6.2,310,75,500,Rain,light rain,10n
Count: 168,200,2801438,0.071436924,168,1583179200,278.89,272.65,994,81,277.59,280.15,6.7,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2801438,0.071436924,168,1583182800,278.31,273.45,995,81,277.04,279.26,4.6,290,20,801,Clouds,few clouds,02n
Count: 168,200,2801438,0.071436924,168,1583186400,277.67,274.07,996,80,276.48,279.15,2.6,280,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583190000,277.1,273.76,996,93,275.93,278.15,2.6,250,90,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583193600,276.75,273.0,997,93,275.37,278.71,3.1,230,90,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583197200,276.63,272.33,998,86,274.82,278.71,3.6,220,87,804,Clouds,overcast clouds,04n
Count: 168,200,2801438,0.071436924,168,1583200800,276.26,272.26,999,86,274.82,277.59,3.1,270,0,800,Clear,clear sky,01n
