message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2789886,0.038734753,168,1583017200,278.41,272.06,994,80,277.59,279.26,6.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583020800,278.57,272.45,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583024400,278.68,271.38,992,70,277.59,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2789886,0.038734753,168,1583028000,278.81,272.73,994,75,278.15,279.82,6.2,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583031600,278.9,272.68,994,70,278.15,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583035200,279.2,273.53,994,75,278.15,279.82,5.7,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583038800,279.3,272.6,992,75,278.71,279.82,7.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2789886,0.038734753,168,1583042400,279.34,273.03,994,65,278.71,280.15,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583046000,279.36,273.4,994,65,278.71,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2789886,0.038734753,168,1583049600,279.58,273.3,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583053200,280.08,273.34,994,70,279.15,280.93,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583056800,280.74,274.81,994,70,279.82,281.48,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583060400,281.53,274.7,994,61,280.15,282.59,7.2,220,94,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583064000,282.14,276.46,994,61,280.93,283.15,5.7,220,94,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583067600,282.36,276.56,994,57,281.48,283.15,5.7,210,84,803,Clouds,broken clouds,04d
Count: 168,200,2789886,0.038734753,168,1583071200,282.45,277.08,993,57,281.48,283.71,5.1,210,92,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583074800,282.43,277.06,993,57,281.48,283.15,5.1,220,92,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583078400,282.07,277.69,992,57,280.93,283.15,3.6,230,92,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583082000,281.42,277.3,991,57,280.15,282.15,3.1,220,96,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583085600,280.57,276.78,991,70,279.15,281.48,3.1,180,96,500,Rain,light rain,10n
Count: 168,200,2789886,0.038734753,168,1583089200,279.98,277.57,992,81,278.71,281.15,1.5,200,96,500,Rain,light rain,10n
Count: 168,200,2789886,0.038734753,168,1583092800,279.8,277.36,992,81,278.71,281.15,1.5,210,100,500,Rain,light rain,10n
Count: 168,200,2789886,0.038734753,168,1583096400,279.35,277.02,992,87,278.15,280.37,1.5,230,100,500,Rain,light rain,10n
Count: 168,200,2789886,0.038734753,168,1583100000,278.87,274.47,993,70,277.59,279.82,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2789886,0.038734753,168,1583103600,278.38,274.4,993,75,277.04,279.26,3.1,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583107200,278.05,274.16,993,80,277.04,279.26,3.1,200,80,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583110800,277.77,272.79,993,80,276.48,278.71,4.6,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2789886,0.038734753,168,1583114400,277.5,272.99,993,86,276.48,278.71,4.1,190,49,802,Clouds,scattered clouds,03n
Count: 168,200,2789886,0.038734753,168,1583118000,277.54,272.34,992,86,276.48,278.71,5.1,180,49,802,Clouds,scattered clouds,03n
Count: 168,200,2789886,0.038734753,168,1583121600,277.74,272.76,991,80,276.48,278.71,4.6,170,49,802,Clouds,scattered clouds,03n
Count: 168,200,2789886,0.038734753,168,1583125200,278.06,273.3,990,86,277.04,279.26,4.6,170,75,500,Rain,light rain,10n
Count: 168,200,2789886,0.038734753,168,1583128800,278.26,273.53,989,86,277.04,279.26,4.6,160,75,500,Rain,light rain,10n
Count: 168,200,2789886,0.038734753,168,1583132400,278.48,274.7,987,93,277.59,279.26,3.6,160,90,301,Drizzle,drizzle,09d
Count: 168,200,2789886,0.038734753,168,1583136000,279.01,274.61,989,81,278.15,279.82,4.1,160,100,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583139600,279.58,274.96,988,93,278.71,280.37,5.1,160,90,701,Mist,mist,50d
Count: 168,200,2789886,0.038734753,168,1583143200,280.43,275.99,988,93,279.26,281.48,5.1,160,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2789886,0.038734753,168,1583146800,280.91,279.09,987,93,279.82,282.15,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2789886,0.038734753,168,1583150400,281.12,276.9,988,75,280.15,282.15,4.1,190,100,500,Rain,light rain,10d
