message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2792360,0.053188134,168,1583017200,278.4,272.05,994,80,277.59,279.26,6.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2792360,0.053188134,168,1583020800,278.54,272.42,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2792360,0.053188134,168,1583024400,278.76,271.47,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2792360,0.053188134,168,1583028000,278.79,271.3,992,75,278.15,279.26,8.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2792360,0.053188134,168,1583031600,278.87,272.65,994,70,278.15,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2792360,0.053188134,168,1583035200,279.15,271.72,991,75,278.15,279.82,8.2,220,90,500,Rain,light rain,10n
Count: 168,200,2792360,0.053188134,168,1583038800,279.16,272.43,992,75,278.15,279.82,7.2,220,90,500,Rain,light rain,10n
Count: 168,200,2792360,0.053188134,168,1583042400,279.19,272.86,994,65,278.15,280.15,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2792360,0.053188134,168,1583046000,279.2,273.22,994,65,278.15,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2792360,0.053188134,168,1583049600,279.52,273.24,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2792360,0.053188134,168,1583053200,280.0,273.41,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2792360,0.053188134,168,1583056800,280.66,274.01,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2792360,0.053188134,168,1583060400,281.5,274.67,994,61,280.15,282.59,7.2,220,94,500,Rain,light rain,10d
Count: 168,200,2792360,0.053188134,168,1583064000,282.05,276.35,994,61,280.93,283.15,5.7,220,95,500,Rain,light rain,10d
