message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2802816,0.008419318,168,1583017200,278.37,271.52,992,75,277.59,279.26,7.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2802816,0.008419318,168,1583020800,278.52,271.69,992,75,277.59,279.26,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2802816,0.008419318,168,1583024400,278.74,271.45,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2802816,0.008419318,168,1583028000,278.77,271.28,992,75,278.15,279.26,8.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2802816,0.008419318,168,1583031600,278.85,271.72,992,75,278.15,279.82,7.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2802816,0.008419318,168,1583035200,279.06,271.62,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583038800,279.05,272.31,992,75,278.15,279.82,7.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583042400,279.05,272.66,992,75,278.15,280.15,6.7,210,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583046000,279.09,272.7,991,75,278.15,280.15,6.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802816,0.008419318,168,1583049600,279.35,272.3,992,75,278.15,280.37,7.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802816,0.008419318,168,1583053200,279.89,272.78,992,81,278.71,280.93,8.2,220,75,500,Rain,light rain,10d
Count: 168,200,2802816,0.008419318,168,1583056800,280.58,274.09,992,75,279.82,281.48,7.2,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802816,0.008419318,168,1583060400,281.33,274.97,993,65,279.82,282.59,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802816,0.008419318,168,1583064000,281.96,274.5,993,61,280.93,283.15,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802816,0.008419318,168,1583067600,282.34,275.64,993,61,281.48,283.15,7.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2802816,0.008419318,168,1583071200,282.36,276.21,992,57,280.93,283.71,6.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802816,0.008419318,168,1583074800,282.09,276.05,992,61,279.82,283.71,6.2,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802816,0.008419318,168,1583078400,281.66,276.67,991,61,279.82,283.15,4.6,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802816,0.008419318,168,1583082000,281.07,276.69,991,61,279.26,282.15,3.6,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802816,0.008419318,168,1583085600,280.31,277.01,991,65,278.71,281.48,2.1,210,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583089200,279.84,276.79,991,75,278.71,281.15,2.1,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583092800,279.64,276.21,991,75,278.71,280.93,2.6,200,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583096400,279.21,276.06,991,75,278.15,280.37,2.1,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583100000,278.88,275.33,992,75,278.15,279.82,2.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2802816,0.008419318,168,1583103600,278.38,274.55,992,80,277.15,279.26,3.1,210,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583107200,278.09,273.86,992,80,277.04,279.26,3.6,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2802816,0.008419318,168,1583110800,277.86,272.89,992,80,277.04,278.71,4.6,200,78,803,Clouds,broken clouds,04n
Count: 168,200,2802816,0.008419318,168,1583114400,277.59,272.75,992,86,276.48,278.71,4.6,200,20,801,Clouds,few clouds,02n
Count: 168,200,2802816,0.008419318,168,1583118000,277.52,272.67,991,86,276.48,278.71,4.6,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583121600,277.64,272.04,990,86,276.48,278.71,5.7,170,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802816,0.008419318,168,1583125200,277.87,274.48,988,86,276.48,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2802816,0.008419318,168,1583128800,278.02,273.25,989,86,277.04,279.26,4.6,150,75,803,Clouds,broken clouds,04n
Count: 168,200,2802816,0.008419318,168,1583132400,278.2,273.66,988,93,277.04,279.26,4.6,160,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2802816,0.008419318,168,1583136000,278.76,273.98,988,93,277.59,279.82,5.1,160,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2802816,0.008419318,168,1583139600,279.29,274.61,988,93,278.15,280.37,5.1,160,90,701,Mist,mist,50d
Count: 168,200,2802816,0.008419318,168,1583143200,280.07,275.55,988,93,278.71,281.48,5.1,160,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2802816,0.008419318,168,1583146800,280.53,278.63,987,93,279.15,282.15,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2802816,0.008419318,168,1583150400,280.87,276.32,987,87,279.82,282.15,5.1,170,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802816,0.008419318,168,1583154000,281.22,279.3,987,100,280.15,282.15,2.1,220,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2802816,0.008419318,168,1583157600,281.18,277.6,987,93,280.37,282.15,4.1,190,75,301,Drizzle,drizzle,09d
