message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2791494,0.009626831,168,1583017200,278.39,272.04,994,80,277.59,279.26,6.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583020800,278.57,272.45,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583024400,278.67,272.77,995,70,277.59,279.26,5.7,210,42,802,Clouds,scattered clouds,03n
Count: 168,200,2791494,0.009626831,168,1583028000,278.8,272.72,994,75,278.15,279.82,6.2,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583031600,278.89,272.67,994,70,278.15,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583035200,279.2,273.53,994,75,278.15,279.82,5.7,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583038800,279.39,273.4,994,75,278.71,280.37,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583042400,279.38,273.08,994,65,278.71,280.15,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583046000,279.39,273.44,994,65,278.71,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2791494,0.009626831,168,1583049600,279.67,273.41,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583053200,280.11,273.37,994,70,279.15,280.93,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583056800,280.81,274.89,994,70,279.82,281.48,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583060400,281.72,274.92,994,61,280.93,283.15,7.2,220,94,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583064000,282.26,276.59,994,61,281.15,283.15,5.7,220,95,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583067600,282.43,276.64,994,57,281.48,283.15,5.7,210,84,803,Clouds,broken clouds,04d
Count: 168,200,2791494,0.009626831,168,1583071200,282.52,277.16,993,57,281.48,283.71,5.1,210,92,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583074800,282.51,277.15,993,57,281.48,283.15,5.1,220,92,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583078400,282.17,277.81,992,57,281.15,282.59,3.6,230,92,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583082000,281.46,277.35,991,57,280.15,282.15,3.1,220,96,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583085600,280.58,276.79,991,70,279.15,281.48,3.1,180,96,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583089200,279.97,277.56,992,81,278.71,281.15,1.5,200,96,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583092800,279.69,277.23,992,81,278.15,281.15,1.5,210,100,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583096400,279.33,277.0,992,87,278.15,280.37,1.5,230,100,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583100000,278.86,274.45,993,70,277.59,279.82,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583103600,278.46,274.49,993,75,277.15,279.26,3.1,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583107200,278.04,274.15,993,80,277.04,279.26,3.1,200,80,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583110800,277.75,272.77,993,80,276.48,278.71,4.6,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2791494,0.009626831,168,1583114400,277.44,272.92,993,86,276.48,278.71,4.1,190,49,802,Clouds,scattered clouds,03n
Count: 168,200,2791494,0.009626831,168,1583118000,277.42,272.2,992,86,276.15,278.71,5.1,180,49,802,Clouds,scattered clouds,03n
Count: 168,200,2791494,0.009626831,168,1583121600,277.64,272.64,991,80,276.48,278.71,4.6,170,49,802,Clouds,scattered clouds,03n
Count: 168,200,2791494,0.009626831,168,1583125200,277.97,273.19,990,86,276.48,279.26,4.6,170,75,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583128800,278.19,273.45,989,86,277.04,279.26,4.6,160,75,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583132400,278.39,273.19,989,81,277.15,279.26,5.1,170,75,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583136000,279.0,274.6,989,81,278.15,279.82,4.1,160,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583139600,279.72,274.75,989,81,278.71,280.93,5.1,170,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583143200,280.51,275.68,988,81,279.26,281.48,5.1,180,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583146800,281.05,275.69,988,75,279.82,282.59,5.7,180,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583150400,281.36,277.18,988,75,280.15,282.59,4.1,190,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583154000,281.69,277.96,987,76,280.93,282.59,3.6,200,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2791494,0.009626831,168,1583157600,281.4,278.01,987,87,280.37,282.15,3.6,190,90,301,Drizzle,drizzle,09d
Count: 168,200,2791494,0.009626831,168,1583161200,281.18,279.0,988,93,280.15,282.15,2.1,190,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583164800,280.81,277.5,988,93,279.82,281.48,3.6,210,90,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583168400,280.38,278.26,990,100,279.82,280.93,2.1,210,100,500,Rain,light rain,10d
Count: 168,200,2791494,0.009626831,168,1583172000,280.01,276.34,991,87,279.15,280.93,3.6,260,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2791494,0.009626831,168,1583175600,279.52,277.21,992,100,278.71,280.37,2.1,280,100,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583179200,279.15,274.45,992,93,278.15,280.15,5.1,290,90,520,Rain,light intensity shower rain,09n
Count: 168,200,2791494,0.009626831,168,1583182800,278.68,273.29,994,87,277.59,279.82,5.7,310,100,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583186400,278.08,273.67,995,86,277.04,279.26,4.1,300,100,500,Rain,light rain,10n
Count: 168,200,2791494,0.009626831,168,1583190000,277.41,273.43,997,93,275.93,278.71,3.6,270,100,804,Clouds,overcast clouds,04n
Count: 168,200,2791494,0.009626831,168,1583193600,276.9,272.83,998,93,275.37,278.15,3.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2791494,0.009626831,168,1583197200,276.53,273.1,998,93,275.15,278.15,2.6,230,100,804,Clouds,overcast clouds,04n
