message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2794663,0.039485315,168,1583017200,278.41,272.06,994,80,277.59,279.26,6.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2794663,0.039485315,168,1583020800,278.56,272.44,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2794663,0.039485315,168,1583024400,278.72,271.42,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794663,0.039485315,168,1583028000,278.77,271.28,992,75,278.15,279.26,8.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2794663,0.039485315,168,1583031600,278.87,272.65,994,70,278.15,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2794663,0.039485315,168,1583035200,279.17,271.74,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794663,0.039485315,168,1583038800,279.22,272.5,992,75,278.15,279.82,7.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794663,0.039485315,168,1583042400,279.23,272.9,994,65,278.15,280.15,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2794663,0.039485315,168,1583046000,279.36,273.4,994,65,278.71,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2794663,0.039485315,168,1583049600,279.59,273.32,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2794663,0.039485315,168,1583053200,280.11,273.02,993,70,279.15,280.93,7.7,230,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2794663,0.039485315,168,1583056800,280.71,274.24,992,75,279.82,281.48,7.2,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794663,0.039485315,168,1583060400,281.55,274.73,994,61,280.15,282.59,7.2,220,94,500,Rain,light rain,10d
Count: 168,200,2794663,0.039485315,168,1583064000,282.12,276.43,994,61,280.93,283.15,5.7,220,94,500,Rain,light rain,10d
Count: 168,200,2794663,0.039485315,168,1583067600,282.43,276.64,994,57,282.04,283.15,5.7,210,84,803,Clouds,broken clouds,04d
Count: 168,200,2794663,0.039485315,168,1583071200,282.44,277.07,993,57,281.48,283.15,5.1,210,92,500,Rain,light rain,10d
Count: 168,200,2794663,0.039485315,168,1583074800,282.44,277.07,993,57,281.48,283.15,5.1,220,92,500,Rain,light rain,10d
Count: 168,200,2794663,0.039485315,168,1583078400,282.11,277.74,992,57,280.93,283.15,3.6,230,92,500,Rain,light rain,10d
Count: 168,200,2794663,0.039485315,168,1583082000,281.41,277.29,991,57,280.15,282.15,3.1,220,96,500,Rain,light rain,10d
Count: 168,200,2794663,0.039485315,168,1583085600,280.53,276.73,991,70,279.15,281.48,3.1,180,96,500,Rain,light rain,10n
Count: 168,200,2794663,0.039485315,168,1583089200,279.92,277.5,992,81,278.71,281.15,1.5,200,96,500,Rain,light rain,10n
Count: 168,200,2794663,0.039485315,168,1583092800,279.71,277.25,992,81,278.71,280.93,1.5,210,100,500,Rain,light rain,10n
Count: 168,200,2794663,0.039485315,168,1583096400,279.27,276.92,992,87,278.15,280.37,1.5,230,100,500,Rain,light rain,10n
