message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788138,0.037002014,168,1583017200,278.38,272.03,994,80,277.59,279.26,6.7,220,23,801,Clouds,few clouds,02n
Count: 168,200,2788138,0.037002014,168,1583020800,278.54,271.72,993,75,277.59,279.26,7.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2788138,0.037002014,168,1583024400,278.69,271.39,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788138,0.037002014,168,1583028000,278.76,271.27,992,75,278.15,279.26,8.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2788138,0.037002014,168,1583031600,278.86,271.39,993,75,278.15,279.82,8.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2788138,0.037002014,168,1583035200,279.15,271.72,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583038800,279.23,272.51,992,75,278.15,279.82,7.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583042400,279.23,272.35,992,81,278.15,280.15,7.7,230,75,500,Rain,light rain,10n
Count: 168,200,2788138,0.037002014,168,1583046000,279.34,272.29,992,75,278.71,280.15,7.7,230,90,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2788138,0.037002014,168,1583049600,279.6,272.59,992,75,278.71,280.37,7.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2788138,0.037002014,168,1583053200,280.09,273.0,993,70,279.15,280.93,7.7,230,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2788138,0.037002014,168,1583056800,280.72,274.25,992,75,279.82,281.48,7.2,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788138,0.037002014,168,1583060400,281.61,274.59,993,65,280.15,283.15,7.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788138,0.037002014,168,1583064000,282.13,275.2,993,65,280.93,283.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788138,0.037002014,168,1583067600,282.46,273.45,993,57,282.04,283.15,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788138,0.037002014,168,1583071200,282.46,275.43,993,61,281.48,283.15,7.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788138,0.037002014,168,1583074800,282.49,275.65,992,66,281.48,283.71,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788138,0.037002014,168,1583078400,282.12,276.85,992,61,280.93,283.15,5.1,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788138,0.037002014,168,1583082000,281.43,277.43,991,70,280.15,282.15,3.6,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788138,0.037002014,168,1583085600,280.51,276.36,991,70,279.15,281.48,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583089200,279.9,276.7,991,70,278.71,281.15,2.1,200,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583092800,279.69,276.62,991,75,278.71,280.93,2.1,200,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583096400,279.27,276.13,991,75,278.15,280.37,2.1,200,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583100000,278.87,274.97,992,75,278.15,279.82,3.1,200,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583103600,278.49,273.83,993,75,277.59,279.26,4.1,230,83,803,Clouds,broken clouds,04n
Count: 168,200,2788138,0.037002014,168,1583107200,278.06,273.13,992,80,277.04,279.26,4.6,210,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583110800,277.78,273.15,992,80,277.04,278.71,4.1,210,78,803,Clouds,broken clouds,04n
Count: 168,200,2788138,0.037002014,168,1583114400,277.48,272.97,992,86,276.48,278.71,4.1,190,20,801,Clouds,few clouds,02n
Count: 168,200,2788138,0.037002014,168,1583118000,277.45,272.23,992,86,276.48,278.71,5.1,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583121600,277.61,272.77,991,86,276.48,278.71,4.6,180,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788138,0.037002014,168,1583125200,277.9,274.51,988,86,276.48,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2788138,0.037002014,168,1583128800,278.1,273.34,989,86,277.04,279.26,4.6,150,75,803,Clouds,broken clouds,04n
Count: 168,200,2788138,0.037002014,168,1583132400,278.27,273.75,989,93,277.04,279.26,4.6,150,90,500,Rain,light rain,10d
Count: 168,200,2788138,0.037002014,168,1583136000,278.89,274.27,989,86,277.59,279.82,4.6,150,90,500,Rain,light rain,10d
Count: 168,200,2788138,0.037002014,168,1583139600,279.59,275.13,989,87,278.15,280.93,4.6,150,90,520,Rain,light intensity shower rain,09d
