message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2802743,0.006918495,168,1583017200,278.35,271.99,994,80,277.59,279.26,6.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583020800,278.56,272.44,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583024400,278.65,272.74,995,70,277.59,279.26,5.7,210,42,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583028000,278.76,272.67,994,75,278.15,279.26,6.2,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583031600,278.87,272.65,994,70,278.15,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583035200,279.17,273.49,994,75,278.15,279.82,5.7,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583038800,279.39,272.7,992,75,278.71,280.37,7.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802743,0.006918495,168,1583042400,279.39,273.09,994,65,278.71,280.37,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583046000,279.39,273.44,994,65,278.71,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2802743,0.006918495,168,1583049600,279.68,273.42,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583053200,280.14,273.06,993,70,279.15,280.93,7.7,230,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2802743,0.006918495,168,1583056800,280.79,274.86,994,70,279.82,281.48,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583060400,281.7,274.9,994,61,280.37,283.15,7.2,220,94,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583064000,282.23,276.56,994,61,281.15,283.15,5.7,220,94,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583067600,282.47,276.68,994,57,281.48,283.15,5.7,210,84,803,Clouds,broken clouds,04d
Count: 168,200,2802743,0.006918495,168,1583071200,282.57,277.22,993,57,282.04,283.71,5.1,210,92,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583074800,282.54,277.18,993,57,281.48,283.15,5.1,220,92,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583078400,282.2,277.84,992,57,281.15,283.15,3.6,230,92,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583082000,281.46,277.35,991,57,280.15,282.15,3.1,220,96,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583085600,280.57,276.78,991,70,279.15,282.04,3.1,180,96,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583089200,279.94,277.53,992,81,278.71,281.15,1.5,200,96,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583092800,279.65,277.18,992,81,278.15,281.15,1.5,210,100,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583096400,279.29,276.95,992,87,278.15,280.37,1.5,230,100,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583100000,278.83,274.42,993,70,277.59,279.82,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583103600,278.38,274.4,993,75,277.04,279.26,3.1,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583107200,278.01,274.12,993,80,277.04,279.15,3.1,200,80,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583110800,277.71,272.72,993,80,277.04,278.71,4.6,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583114400,277.43,272.91,993,86,276.48,278.71,4.1,190,49,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583118000,277.35,272.12,992,86,276.15,278.15,5.1,180,49,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583121600,277.55,272.54,991,80,276.48,278.71,4.6,170,49,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583125200,277.9,273.11,990,86,276.48,279.26,4.6,170,75,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583128800,278.11,273.36,989,86,277.04,279.26,4.6,160,75,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583132400,278.32,273.81,989,93,277.15,279.26,4.6,150,90,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583136000,278.96,274.36,989,86,278.15,279.82,4.6,150,90,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583139600,279.74,275.31,989,87,278.71,280.93,4.6,150,90,520,Rain,light intensity shower rain,09d
Count: 168,200,2802743,0.006918495,168,1583143200,280.45,276.01,988,93,279.15,281.48,5.1,160,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2802743,0.006918495,168,1583146800,281.12,276.76,988,81,279.82,282.59,4.6,160,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802743,0.006918495,168,1583150400,281.39,277.21,988,75,280.15,282.59,4.1,190,100,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583154000,281.73,278.0,987,76,280.93,282.59,3.6,200,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2802743,0.006918495,168,1583157600,281.53,278.17,987,87,280.93,282.59,3.6,190,90,301,Drizzle,drizzle,09d
Count: 168,200,2802743,0.006918495,168,1583161200,281.26,277.84,988,87,280.37,282.15,3.6,190,90,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583164800,280.85,277.55,988,93,280.15,281.48,3.6,210,90,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583168400,280.34,277.17,989,100,279.82,280.93,3.6,230,90,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2802743,0.006918495,168,1583172000,280.02,276.35,991,87,279.15,280.93,3.6,260,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2802743,0.006918495,168,1583175600,279.52,275.11,991,100,278.71,280.37,5.1,290,90,301,Drizzle,drizzle,09n
Count: 168,200,2802743,0.006918495,168,1583179200,279.14,274.43,992,93,278.15,280.15,5.1,290,90,520,Rain,light intensity shower rain,09n
Count: 168,200,2802743,0.006918495,168,1583182800,278.7,273.91,993,93,277.59,279.26,5.1,290,90,804,Clouds,overcast clouds,04n
Count: 168,200,2802743,0.006918495,168,1583186400,278.11,273.91,995,93,277.04,279.26,4.1,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583190000,277.48,273.51,997,93,276.48,278.71,3.6,270,100,804,Clouds,overcast clouds,04n
Count: 168,200,2802743,0.006918495,168,1583193600,276.94,272.88,998,93,275.93,278.15,3.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2802743,0.006918495,168,1583197200,276.54,273.11,998,93,275.15,278.15,2.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2802743,0.006918495,168,1583200800,276.18,272.86,998,100,274.82,277.59,2.6,220,20,801,Clouds,few clouds,02n
Count: 168,200,2802743,0.006918495,168,1583204400,275.97,271.74,999,93,274.82,277.15,3.6,250,33,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583208000,275.58,272.16,1000,100,274.82,276.48,2.6,210,33,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583211600,275.28,271.13,1001,86,274.15,276.48,3.1,230,17,801,Clouds,few clouds,02n
Count: 168,200,2802743,0.006918495,168,1583215200,274.95,270.82,1001,89,274.15,275.93,3.1,220,17,801,Clouds,few clouds,02n
Count: 168,200,2802743,0.006918495,168,1583218800,274.84,271.4,1001,89,273.71,275.93,2.1,200,17,801,Clouds,few clouds,02d
Count: 168,200,2802743,0.006918495,168,1583222400,276.16,272.32,1002,93,274.82,277.59,3.1,200,0,800,Clear,clear sky,01d
Count: 168,200,2802743,0.006918495,168,1583226000,277.78,274.02,1002,86,276.15,279.26,3.1,220,0,800,Clear,clear sky,01d
Count: 168,200,2802743,0.006918495,168,1583229600,278.99,274.56,1002,80,277.15,280.37,4.1,210,0,800,Clear,clear sky,01d
Count: 168,200,2802743,0.006918495,168,1583233200,280.24,275.51,1002,75,278.15,282.04,4.6,210,32,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583236800,280.92,276.66,1003,75,279.15,282.59,4.1,210,32,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583240400,281.21,276.12,1002,70,279.82,282.59,5.1,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2802743,0.006918495,168,1583244000,281.44,276.74,1003,70,279.82,282.59,4.6,200,95,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583247600,281.28,274.97,1002,57,279.82,282.59,6.2,240,90,804,Clouds,overcast clouds,04d
Count: 168,200,2802743,0.006918495,168,1583251200,280.55,276.41,1004,70,279.15,282.15,3.6,210,65,500,Rain,light rain,10d
Count: 168,200,2802743,0.006918495,168,1583254800,279.67,273.73,1004,75,278.15,281.15,6.2,240,75,211,Thunderstorm,thunderstorm,11d
Count: 168,200,2802743,0.006918495,168,1583258400,278.41,272.59,1005,86,277.04,279.82,6.2,240,75,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583262000,277.98,275.2,1006,80,276.48,279.26,1.5,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2802743,0.006918495,168,1583265600,277.59,274.33,1007,80,276.15,278.71,2.1,220,37,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583269200,277.12,273.6,1008,86,275.93,278.71,2.6,210,37,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583272800,277.12,273.6,1008,86,275.93,278.71,2.6,210,37,802,Clouds,scattered clouds,03n
Count: 168,200,2802743,0.006918495,168,1583276400,277.0,274.42,1008,93,275.37,278.71,1.5,200,67,500,Rain,light rain,10n
Count: 168,200,2802743,0.006918495,168,1583280000,277.34,273.16,1008,86,275.37,278.71,3.6,210,67,500,Rain,light rain,10n
