message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2799090,0.004724409,168,1583017200,278.42,271.72,993,80,277.59,279.26,7.2,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2799090,0.004724409,168,1583020800,278.57,271.25,994,70,277.59,279.26,7.7,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2799090,0.004724409,168,1583024400,278.8,271.52,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2799090,0.004724409,168,1583028000,278.79,271.85,993,70,278.15,279.26,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2799090,0.004724409,168,1583031600,278.96,272.2,993,75,278.15,279.82,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2799090,0.004724409,168,1583035200,279.25,271.84,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2799090,0.004724409,168,1583038800,279.15,272.77,993,75,278.15,279.82,6.7,220,80,500,Rain,light rain,10n
Count: 168,200,2799090,0.004724409,168,1583042400,279.22,272.7,993,70,278.15,280.15,6.7,230,80,500,Rain,light rain,10n
Count: 168,200,2799090,0.004724409,168,1583046000,279.19,272.12,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799090,0.004724409,168,1583049600,279.46,272.82,993,65,278.71,280.37,6.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2799090,0.004724409,168,1583053200,280.01,273.42,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799090,0.004724409,168,1583056800,280.73,273.22,993,65,280.15,281.48,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799090,0.004724409,168,1583060400,281.61,273.74,994,61,280.37,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2799090,0.004724409,168,1583064000,282.05,274.45,994,57,280.93,283.15,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2799090,0.004724409,168,1583067600,282.26,275.74,993,57,281.15,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799090,0.004724409,168,1583071200,282.42,276.43,992,61,281.48,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2799090,0.004724409,168,1583074800,282.4,275.98,992,59,281.48,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2799090,0.004724409,168,1583078400,282.0,276.56,992,57,280.93,282.59,5.1,220,20,801,Clouds,few clouds,02d
