message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2801539,0.005384647,168,1583017200,278.42,270.25,994,80,277.59,279.26,9.3,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2801539,0.005384647,168,1583020800,278.57,270.08,994,80,277.59,279.26,9.8,210,20,801,Clouds,few clouds,02n
Count: 168,200,2801539,0.005384647,168,1583024400,278.75,271.46,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2801539,0.005384647,168,1583028000,278.81,270.56,994,75,278.15,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2801539,0.005384647,168,1583031600,278.94,270.98,994,70,278.15,279.82,8.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2801539,0.005384647,168,1583035200,279.25,271.07,993,75,278.15,279.82,9.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2801539,0.005384647,168,1583038800,279.25,270.37,993,75,278.15,280.37,10.3,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2801539,0.005384647,168,1583042400,279.29,270.41,993,75,278.15,280.15,10.3,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2801539,0.005384647,168,1583046000,279.22,271.45,993,75,278.15,280.15,8.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801539,0.005384647,168,1583049600,279.49,271.0,994,75,278.71,280.37,9.8,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801539,0.005384647,168,1583053200,280.04,271.64,994,75,279.15,280.93,9.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2801539,0.005384647,168,1583056800,280.69,272.06,994,65,279.82,281.48,9.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801539,0.005384647,168,1583060400,281.62,273.76,994,61,280.37,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801539,0.005384647,168,1583064000,282.08,274.44,994,65,280.93,283.15,8.7,230,20,801,Clouds,few clouds,02d
Count: 168,200,2801539,0.005384647,168,1583067600,282.31,275.8,993,57,281.48,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801539,0.005384647,168,1583071200,282.41,276.42,993,61,281.48,283.15,6.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801539,0.005384647,168,1583074800,282.4,276.06,992,61,281.48,283.15,6.7,220,40,802,Clouds,scattered clouds,03d
