message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788506,0.023567862,168,1583017200,278.41,271.71,993,80,277.59,279.26,7.2,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583020800,278.58,271.26,994,70,277.59,279.26,7.7,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583024400,278.77,271.48,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788506,0.023567862,168,1583028000,278.77,271.83,993,70,278.15,279.26,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583031600,278.97,272.21,993,75,278.15,279.82,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583035200,279.22,271.8,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788506,0.023567862,168,1583038800,279.14,272.76,993,75,278.15,280.37,6.7,220,80,500,Rain,light rain,10n
Count: 168,200,2788506,0.023567862,168,1583042400,279.15,272.62,993,70,278.15,280.15,6.7,230,80,500,Rain,light rain,10n
Count: 168,200,2788506,0.023567862,168,1583046000,279.11,272.03,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788506,0.023567862,168,1583049600,279.28,272.61,993,65,278.15,280.37,6.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2788506,0.023567862,168,1583053200,279.93,273.33,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788506,0.023567862,168,1583056800,280.62,273.97,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788506,0.023567862,168,1583060400,281.45,273.56,994,61,279.82,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788506,0.023567862,168,1583064000,281.93,274.31,994,57,280.93,283.15,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788506,0.023567862,168,1583067600,282.16,275.63,993,57,281.15,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788506,0.023567862,168,1583071200,282.35,276.35,992,61,281.15,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2788506,0.023567862,168,1583074800,282.26,275.82,992,59,280.37,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788506,0.023567862,168,1583078400,281.74,276.27,992,57,280.15,282.59,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788506,0.023567862,168,1583082000,281.16,276.66,991,57,279.82,282.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788506,0.023567862,168,1583085600,280.47,276.49,991,65,279.15,281.48,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788506,0.023567862,168,1583089200,279.95,275.77,992,61,278.71,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788506,0.023567862,168,1583092800,279.73,275.65,992,65,278.15,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788506,0.023567862,168,1583096400,279.22,274.17,992,70,278.15,280.37,4.6,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788506,0.023567862,168,1583100000,278.79,274.17,993,75,277.59,279.82,4.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788506,0.023567862,168,1583103600,278.39,273.71,993,75,277.04,279.26,4.1,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583107200,278.02,273.46,993,81,276.48,279.26,4.1,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583110800,277.79,272.81,992,80,276.48,278.71,4.6,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583114400,277.62,272.97,992,80,276.48,278.71,4.1,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583118000,277.78,273.5,991,80,277.04,278.71,3.6,190,67,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583121600,278.15,274.1,990,86,277.59,278.71,3.6,160,67,803,Clouds,broken clouds,04n
Count: 168,200,2788506,0.023567862,168,1583125200,278.38,275.07,988,86,277.59,279.26,2.6,140,75,501,Rain,moderate rain,10n
Count: 168,200,2788506,0.023567862,168,1583128800,278.47,275.73,988,93,277.59,279.26,2.1,150,90,500,Rain,light rain,10n
Count: 168,200,2788506,0.023567862,168,1583132400,278.71,274.97,987,93,278.15,279.26,3.6,160,90,501,Rain,moderate rain,10d
