message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2786746,0.044918645,168,1583017200,278.42,271.72,993,80,277.59,279.26,7.2,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2786746,0.044918645,168,1583020800,278.59,271.28,994,70,277.59,279.26,7.7,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2786746,0.044918645,168,1583024400,278.77,271.48,992,70,277.59,279.82,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786746,0.044918645,168,1583028000,278.81,271.88,993,70,278.15,279.82,7.2,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2786746,0.044918645,168,1583031600,278.98,272.22,993,75,278.15,279.82,7.2,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2786746,0.044918645,168,1583035200,279.23,271.81,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583038800,279.16,272.78,993,75,278.15,280.37,6.7,220,89,500,Rain,light rain,10n
Count: 168,200,2786746,0.044918645,168,1583042400,279.17,272.64,993,70,278.15,280.15,6.7,230,89,500,Rain,light rain,10n
Count: 168,200,2786746,0.044918645,168,1583046000,279.12,272.04,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786746,0.044918645,168,1583049600,279.29,272.62,993,65,278.15,280.37,6.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2786746,0.044918645,168,1583053200,279.91,273.31,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786746,0.044918645,168,1583056800,280.64,273.99,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786746,0.044918645,168,1583060400,281.46,273.57,994,61,279.82,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786746,0.044918645,168,1583064000,281.94,274.33,994,57,280.93,283.15,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786746,0.044918645,168,1583067600,282.14,275.6,993,57,281.15,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786746,0.044918645,168,1583071200,282.36,276.36,992,61,281.15,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2786746,0.044918645,168,1583074800,282.34,275.91,992,59,281.15,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786746,0.044918645,168,1583078400,281.78,276.31,992,57,280.37,282.59,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786746,0.044918645,168,1583082000,281.17,276.67,991,57,279.82,282.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786746,0.044918645,168,1583085600,280.47,276.49,991,65,279.15,281.48,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583089200,279.98,275.8,992,61,278.71,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583092800,279.75,275.67,992,65,278.15,281.15,3.1,230,99,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583096400,279.24,274.19,992,70,278.15,280.37,4.6,240,99,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583100000,278.8,274.19,993,75,277.59,279.82,4.1,230,99,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583103600,278.41,273.74,993,75,277.04,279.26,4.1,220,50,802,Clouds,scattered clouds,03n
Count: 168,200,2786746,0.044918645,168,1583107200,278.03,273.47,993,81,276.48,279.26,4.1,210,50,802,Clouds,scattered clouds,03n
Count: 168,200,2786746,0.044918645,168,1583110800,277.79,272.81,992,80,276.48,278.71,4.6,210,51,803,Clouds,broken clouds,04n
Count: 168,200,2786746,0.044918645,168,1583114400,277.64,272.99,992,80,276.48,278.71,4.1,200,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583118000,277.83,273.56,991,80,277.04,278.71,3.6,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583121600,278.17,274.13,990,86,277.59,278.71,3.6,160,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583125200,278.42,275.12,988,86,277.59,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2786746,0.044918645,168,1583128800,278.54,275.82,988,93,278.15,279.26,2.1,150,90,500,Rain,light rain,10n
Count: 168,200,2786746,0.044918645,168,1583132400,278.74,275.01,987,93,278.15,279.26,3.6,160,90,301,Drizzle,drizzle,09d
Count: 168,200,2786746,0.044918645,168,1583136000,279.15,274.96,988,87,278.71,279.82,4.1,160,75,500,Rain,light rain,10d
Count: 168,200,2786746,0.044918645,168,1583139600,279.66,275.76,988,93,278.71,280.37,4.1,160,75,500,Rain,light rain,10d
Count: 168,200,2786746,0.044918645,168,1583143200,280.24,277.86,987,93,279.15,280.93,2.1,160,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2786746,0.044918645,168,1583146800,280.65,278.78,987,93,279.82,281.48,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2786746,0.044918645,168,1583150400,280.89,278.3,987,93,280.15,281.48,2.6,180,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2786746,0.044918645,168,1583154000,281.21,279.29,987,100,280.15,282.15,2.1,220,75,500,Rain,light rain,10d
Count: 168,200,2786746,0.044918645,168,1583157600,281.13,278.94,987,93,280.15,282.04,2.1,220,75,500,Rain,light rain,10d
Count: 168,200,2786746,0.044918645,168,1583161200,281.0,278.08,988,93,280.15,281.48,3.1,280,75,500,Rain,light rain,10d
Count: 168,200,2786746,0.044918645,168,1583164800,280.64,277.44,989,87,279.82,281.48,3.1,280,75,500,Rain,light rain,10d
Count: 168,200,2786746,0.044918645,168,1583168400,280.24,276.46,990,93,279.15,281.15,4.1,290,75,501,Rain,moderate rain,10d
Count: 168,200,2786746,0.044918645,168,1583172000,279.75,275.87,991,93,278.71,280.37,4.1,280,75,500,Rain,light rain,10n
Count: 168,200,2786746,0.044918645,168,1583175600,279.25,273.61,993,87,278.15,280.15,6.2,310,75,500,Rain,light rain,10n
Count: 168,200,2786746,0.044918645,168,1583179200,278.78,272.52,994,81,277.59,280.15,6.7,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2786746,0.044918645,168,1583182800,278.21,273.33,995,81,277.04,279.26,4.6,290,20,801,Clouds,few clouds,02n
Count: 168,200,2786746,0.044918645,168,1583186400,277.52,273.9,996,80,275.93,278.71,2.6,280,97,804,Clouds,overcast clouds,04n
Count: 168,200,2786746,0.044918645,168,1583190000,276.97,273.61,996,93,275.93,278.15,2.6,250,49,802,Clouds,scattered clouds,03n
Count: 168,200,2786746,0.044918645,168,1583193600,276.75,273.0,997,93,275.37,278.71,3.1,230,49,802,Clouds,scattered clouds,03n
Count: 168,200,2786746,0.044918645,168,1583197200,276.64,272.34,998,86,274.82,278.71,3.6,220,43,802,Clouds,scattered clouds,03n
Count: 168,200,2786746,0.044918645,168,1583200800,276.22,272.21,999,86,274.82,277.59,3.1,270,0,800,Clear,clear sky,01n
