message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2786963,0.044371091,168,1583017200,278.41,271.71,993,80,277.59,279.26,7.2,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583020800,278.56,271.24,994,70,277.59,279.26,7.7,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583024400,278.8,271.52,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786963,0.044371091,168,1583028000,278.81,271.88,993,70,278.15,279.26,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583031600,278.93,272.17,993,75,278.15,279.82,7.2,220,61,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583035200,279.11,271.68,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786963,0.044371091,168,1583038800,279.04,272.64,993,75,278.15,279.82,6.7,220,80,500,Rain,light rain,10n
Count: 168,200,2786963,0.044371091,168,1583042400,279.06,272.51,993,70,278.15,280.15,6.7,230,80,500,Rain,light rain,10n
Count: 168,200,2786963,0.044371091,168,1583046000,279.08,271.99,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786963,0.044371091,168,1583049600,279.25,272.58,993,65,278.15,280.37,6.7,230,75,500,Rain,light rain,10d
Count: 168,200,2786963,0.044371091,168,1583053200,279.88,273.27,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786963,0.044371091,168,1583056800,280.59,273.93,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786963,0.044371091,168,1583060400,281.37,273.47,994,61,279.82,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786963,0.044371091,168,1583064000,281.92,274.3,994,57,280.93,283.15,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786963,0.044371091,168,1583067600,282.24,275.72,993,57,280.93,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786963,0.044371091,168,1583071200,282.32,276.31,992,61,280.37,283.15,6.2,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2786963,0.044371091,168,1583074800,282.05,275.58,992,59,279.82,283.15,6.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786963,0.044371091,168,1583078400,281.56,276.06,992,57,279.82,282.59,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786963,0.044371091,168,1583082000,281.0,276.47,991,57,279.26,282.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786963,0.044371091,168,1583085600,280.3,276.3,991,65,278.71,281.48,3.1,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786963,0.044371091,168,1583089200,279.87,275.68,992,61,278.71,281.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786963,0.044371091,168,1583092800,279.64,275.51,991,75,278.71,280.93,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2786963,0.044371091,168,1583096400,279.2,274.15,992,70,278.15,280.37,4.6,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786963,0.044371091,168,1583100000,278.82,274.21,993,75,278.15,279.82,4.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2786963,0.044371091,168,1583103600,278.4,273.72,993,75,277.15,279.26,4.1,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583107200,278.08,273.53,993,81,277.04,279.26,4.1,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583110800,277.88,272.92,992,80,277.04,278.71,4.6,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583114400,277.63,272.98,992,80,276.48,278.71,4.1,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583118000,277.7,273.41,991,80,277.04,278.71,3.6,190,67,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583121600,277.86,273.76,990,86,277.04,278.71,3.6,160,67,803,Clouds,broken clouds,04n
Count: 168,200,2786963,0.044371091,168,1583125200,278.11,274.76,988,86,277.04,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2786963,0.044371091,168,1583128800,278.29,275.52,988,93,277.59,279.26,2.1,150,90,500,Rain,light rain,10n
Count: 168,200,2786963,0.044371091,168,1583132400,278.47,274.68,987,93,277.59,279.26,3.6,160,90,500,Rain,light rain,10d
Count: 168,200,2786963,0.044371091,168,1583136000,278.97,274.75,988,87,278.15,279.82,4.1,160,75,500,Rain,light rain,10d
Count: 168,200,2786963,0.044371091,168,1583139600,279.47,276.93,987,93,278.71,280.37,2.1,170,75,501,Rain,moderate rain,10d
Count: 168,200,2786963,0.044371091,168,1583143200,280.15,277.75,987,93,279.15,281.15,2.1,160,75,500,Rain,light rain,10d
Count: 168,200,2786963,0.044371091,168,1583146800,280.52,278.62,987,93,279.26,281.48,1.5,190,75,500,Rain,light rain,10d
