message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2794788,0.039937767,168,1583017200,278.41,271.92,992,75,277.59,279.26,6.7,220,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583020800,278.57,271.75,992,75,277.59,279.26,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583024400,278.81,271.53,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794788,0.039937767,168,1583028000,278.83,270.85,992,70,278.15,279.26,8.7,220,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583031600,278.93,270.54,992,70,278.15,279.82,9.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583035200,279.08,271.64,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583038800,278.97,271.32,991,80,278.15,279.82,8.7,220,75,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2794788,0.039937767,168,1583042400,278.96,272.9,991,75,278.15,280.15,6.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583046000,279.02,271.22,991,75,278.15,280.15,8.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583049600,279.19,272.47,992,75,278.15,280.37,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583053200,279.79,273.17,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583056800,280.53,273.86,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583060400,281.19,273.75,992,65,279.26,283.15,8.2,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583064000,281.83,275.9,993,65,280.37,283.15,6.2,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583067600,282.2,275.48,992,61,280.93,283.15,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583071200,282.16,275.43,992,61,279.82,283.15,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583074800,281.68,275.93,991,61,279.26,283.15,5.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583078400,281.43,276.9,991,65,279.82,282.59,4.1,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583082000,280.9,277.55,990,81,279.26,282.15,3.1,250,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583085600,280.25,277.67,991,87,278.71,281.48,2.1,250,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583089200,279.86,277.01,991,81,278.71,281.15,2.1,230,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583092800,279.62,275.49,991,75,278.71,280.93,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583096400,279.19,274.99,991,75,278.15,280.37,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583100000,278.84,274.23,992,75,278.15,279.82,4.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583103600,278.43,273.91,992,80,277.59,279.26,4.1,220,64,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583107200,278.14,272.87,991,80,277.04,279.26,5.1,220,64,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583110800,277.94,272.81,992,86,277.04,278.71,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583114400,277.72,273.08,991,80,277.04,278.71,4.1,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583118000,277.7,273.41,990,80,277.04,278.71,3.6,180,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583121600,277.82,273.72,989,86,277.04,278.71,3.6,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583125200,278.04,274.67,988,86,277.04,279.26,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2794788,0.039937767,168,1583128800,278.13,275.33,988,93,277.04,279.26,2.1,150,90,301,Drizzle,drizzle,09n
Count: 168,200,2794788,0.039937767,168,1583132400,278.39,274.59,987,93,277.59,279.26,3.6,160,90,301,Drizzle,drizzle,09d
Count: 168,200,2794788,0.039937767,168,1583136000,278.88,275.87,987,93,278.15,279.82,2.6,180,75,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2794788,0.039937767,168,1583139600,279.42,276.87,987,93,278.71,280.37,2.1,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583143200,279.97,277.53,987,93,278.71,280.93,2.1,160,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2794788,0.039937767,168,1583146800,280.39,278.46,987,93,279.15,281.48,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2794788,0.039937767,168,1583150400,280.75,278.13,987,93,279.82,281.48,2.6,180,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2794788,0.039937767,168,1583154000,281.11,279.17,987,100,280.15,282.15,2.1,220,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2794788,0.039937767,168,1583157600,281.03,278.82,987,93,280.37,281.48,2.1,220,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2794788,0.039937767,168,1583161200,280.96,278.04,988,93,280.15,281.48,3.1,280,75,500,Rain,light rain,10d
Count: 168,200,2794788,0.039937767,168,1583164800,280.71,277.73,988,93,279.82,281.48,3.1,290,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583168400,280.27,276.5,990,93,279.82,280.93,4.1,290,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2794788,0.039937767,168,1583172000,279.85,276.14,991,87,279.26,280.37,3.6,300,75,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2794788,0.039937767,168,1583175600,279.4,273.98,992,93,278.71,280.15,6.2,310,90,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2794788,0.039937767,168,1583179200,278.91,274.33,993,87,278.15,279.82,4.6,300,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583182800,278.33,272.52,994,87,277.04,279.26,6.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583186400,277.63,274.19,995,86,276.48,278.71,2.6,280,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583190000,277.12,273.79,996,93,275.93,278.15,2.6,250,74,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583193600,276.76,273.02,997,93,275.37,278.71,3.1,230,74,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583197200,276.71,272.78,997,86,274.82,278.71,3.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583200800,276.36,273.08,998,100,274.82,278.15,2.6,220,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583204400,276.0,271.96,998,86,274.82,277.15,3.1,220,11,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583208000,275.61,271.51,999,86,274.82,276.48,3.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2794788,0.039937767,168,1583211600,275.41,271.44,999,93,274.15,276.48,3.1,220,6,800,Clear,clear sky,01n
Count: 168,200,2794788,0.039937767,168,1583215200,275.16,271.06,1000,89,274.15,276.48,3.1,210,6,800,Clear,clear sky,01n
Count: 168,200,2794788,0.039937767,168,1583218800,275.21,271.12,1000,89,274.15,276.48,3.1,210,6,800,Clear,clear sky,01d
Count: 168,200,2794788,0.039937767,168,1583222400,276.4,271.72,1001,86,275.15,277.59,4.1,220,0,800,Clear,clear sky,01d
Count: 168,200,2794788,0.039937767,168,1583226000,278.1,273.34,1001,86,277.04,279.26,4.6,220,0,800,Clear,clear sky,01d
Count: 168,200,2794788,0.039937767,168,1583229600,279.65,272.14,1000,81,278.71,280.37,8.7,210,0,800,Clear,clear sky,01d
Count: 168,200,2794788,0.039937767,168,1583233200,280.81,275.83,1001,75,279.26,282.04,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2794788,0.039937767,168,1583236800,281.37,276.66,1002,70,280.15,282.59,4.6,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583240400,281.59,276.15,1001,70,280.15,282.59,5.7,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583244000,281.81,275.58,1001,57,280.93,282.59,6.2,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583247600,281.51,275.52,1002,65,280.15,282.59,6.2,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583251200,280.8,275.09,1003,66,279.26,282.15,5.7,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583254800,279.77,275.5,1003,70,278.15,281.15,3.6,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2794788,0.039937767,168,1583258400,278.62,274.51,1005,81,277.59,279.82,3.6,260,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583262000,278.23,275.49,1006,80,277.04,279.26,1.5,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583265600,277.86,274.11,1006,86,277.04,278.71,3.1,230,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583269200,277.58,273.79,1006,86,276.15,278.71,3.1,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583272800,277.65,274.57,1007,86,275.93,279.26,2.1,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583276400,277.88,273.98,1007,93,275.93,279.82,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583280000,278.14,274.99,1007,93,276.48,279.82,2.6,220,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2794788,0.039937767,168,1583283600,278.4,275.3,1008,93,277.04,279.82,2.6,230,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583287200,278.64,274.54,1008,93,277.04,280.37,4.1,260,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583290800,278.88,274.82,1009,93,277.59,280.15,4.1,270,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583294400,278.77,274.16,1009,87,277.59,280.15,4.6,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2794788,0.039937767,168,1583298000,278.31,273.97,1009,87,276.48,279.82,4.1,240,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583301600,277.44,274.51,1009,93,275.37,279.26,2.1,240,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794788,0.039937767,168,1583305200,277.29,273.8,1010,86,275.93,278.71,2.6,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583308800,278.18,274.84,1010,86,277.04,279.26,2.6,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583312400,279.61,276.18,1010,86,278.15,280.93,3.1,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583316000,281.01,277.33,1011,81,279.82,282.04,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2794788,0.039937767,168,1583319600,281.82,278.07,1011,75,280.15,283.15,3.6,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583323200,282.3,277.75,1011,70,280.93,283.71,4.6,240,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583326800,282.52,277.51,1010,57,281.15,284.15,4.6,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794788,0.039937767,168,1583330400,282.4,277.68,1009,65,280.93,283.71,4.6,200,75,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2794788,0.039937767,168,1583334000,282.3,278.45,1009,70,280.93,283.71,3.6,200,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2794788,0.039937767,168,1583337600,281.83,278.95,1008,70,280.93,283.15,2.1,180,75,803,Clouds,broken clouds,04d
