message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2783204,0.042682955,168,1583017200,278.4,271.7,993,80,277.59,279.26,7.2,220,56,803,Clouds,broken clouds,04n
Count: 168,200,2783204,0.042682955,168,1583020800,278.55,271.23,994,70,277.59,279.26,7.7,220,56,803,Clouds,broken clouds,04n
Count: 168,200,2783204,0.042682955,168,1583024400,278.78,271.49,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2783204,0.042682955,168,1583028000,278.81,271.33,992,75,278.15,279.26,8.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2783204,0.042682955,168,1583031600,278.89,272.12,993,75,278.15,279.82,7.2,220,36,802,Clouds,scattered clouds,03n
Count: 168,200,2783204,0.042682955,168,1583035200,279.11,271.68,991,75,278.15,279.82,8.2,220,90,500,Rain,light rain,10n
Count: 168,200,2783204,0.042682955,168,1583038800,279.08,272.34,992,75,278.15,279.82,7.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783204,0.042682955,168,1583042400,279.09,272.55,993,70,278.15,280.15,6.7,230,68,500,Rain,light rain,10n
Count: 168,200,2783204,0.042682955,168,1583046000,279.11,272.03,993,75,278.15,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783204,0.042682955,168,1583049600,279.35,272.69,993,65,278.15,280.37,6.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2783204,0.042682955,168,1583053200,279.92,273.32,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783204,0.042682955,168,1583056800,280.62,273.97,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783204,0.042682955,168,1583060400,281.41,273.51,994,61,279.82,283.15,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783204,0.042682955,168,1583064000,281.98,274.37,994,57,280.93,283.15,8.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783204,0.042682955,168,1583067600,282.32,275.81,993,57,281.48,283.15,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783204,0.042682955,168,1583071200,282.38,276.38,992,61,280.93,283.71,6.2,230,75,803,Clouds,broken clouds,04d
