message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2783416,0.00561473,168,1583017200,278.4,271.9,992,75,277.59,279.26,6.7,220,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583020800,278.55,271.73,992,75,277.59,279.26,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583024400,278.78,271.49,992,70,278.15,279.26,7.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2783416,0.00561473,168,1583028000,278.8,271.32,992,75,278.15,279.26,8.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583031600,278.81,270.41,992,70,278.15,279.26,9.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583035200,279.07,271.63,991,75,278.15,279.82,8.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583038800,278.98,272.22,992,75,278.15,279.82,7.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583042400,278.98,272.92,991,75,278.15,280.15,6.2,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583046000,279.03,271.23,991,75,278.15,280.15,8.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583049600,279.24,272.53,992,75,278.15,280.37,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583053200,279.83,273.21,992,75,278.71,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583056800,280.56,273.9,992,70,279.82,281.48,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583060400,281.23,273.8,992,65,279.26,283.15,8.2,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583064000,281.87,275.94,993,65,280.37,283.15,6.2,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583067600,282.22,275.5,992,61,280.93,283.15,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583071200,282.23,275.51,992,61,280.37,283.15,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583074800,281.89,276.17,991,61,279.82,283.15,5.7,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583078400,281.49,276.97,991,65,279.82,282.59,4.1,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583082000,280.93,277.58,990,81,279.26,282.15,3.1,250,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583085600,280.26,277.68,991,87,278.71,281.48,2.1,250,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583089200,279.85,277.0,991,81,278.71,281.15,2.1,230,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583092800,279.61,275.48,991,75,278.71,280.93,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583096400,279.18,274.98,991,75,278.15,280.37,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583100000,278.87,274.27,992,75,278.15,279.82,4.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583103600,278.42,273.89,992,80,277.59,279.26,4.1,220,64,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583107200,278.14,272.87,991,80,277.59,279.26,5.1,220,64,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583110800,277.91,272.77,992,86,277.04,278.71,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583114400,277.69,273.05,991,80,277.04,278.71,4.1,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583118000,277.62,273.32,990,80,276.48,278.71,3.6,180,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583121600,277.76,273.65,989,86,277.04,278.71,3.6,190,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583125200,277.88,274.49,988,86,277.04,278.71,2.6,140,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2783416,0.00561473,168,1583128800,278.09,275.28,988,93,277.04,279.26,2.1,150,90,301,Drizzle,drizzle,09n
Count: 168,200,2783416,0.00561473,168,1583132400,278.34,274.53,987,93,277.59,279.26,3.6,160,90,301,Drizzle,drizzle,09d
Count: 168,200,2783416,0.00561473,168,1583136000,278.86,274.1,988,93,278.15,279.82,5.1,160,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2783416,0.00561473,168,1583139600,279.35,274.69,988,93,278.15,280.37,5.1,160,90,701,Mist,mist,50d
Count: 168,200,2783416,0.00561473,168,1583143200,280.0,277.57,987,93,278.71,281.15,2.1,160,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2783416,0.00561473,168,1583146800,280.41,278.49,987,93,279.15,281.48,1.5,190,75,500,Rain,light rain,10d
Count: 168,200,2783416,0.00561473,168,1583150400,280.81,278.2,987,93,279.82,282.15,2.6,180,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2783416,0.00561473,168,1583154000,281.15,279.22,987,100,280.15,282.15,2.1,220,75,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2783416,0.00561473,168,1583157600,281.12,278.93,987,93,280.15,282.04,2.1,220,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2783416,0.00561473,168,1583161200,280.96,278.04,988,93,280.15,281.48,3.1,280,75,500,Rain,light rain,10d
Count: 168,200,2783416,0.00561473,168,1583164800,280.71,278.43,988,93,279.82,281.48,2.1,250,90,500,Rain,light rain,10d
Count: 168,200,2783416,0.00561473,168,1583168400,280.29,276.52,990,93,279.82,281.15,4.1,290,75,311,Drizzle,drizzle rain,09d
Count: 168,200,2783416,0.00561473,168,1583172000,279.86,276.16,991,87,279.26,280.37,3.6,300,75,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2783416,0.00561473,168,1583175600,279.39,273.96,992,93,278.71,280.15,6.2,310,90,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2783416,0.00561473,168,1583179200,278.94,273.43,993,93,278.15,279.82,6.2,300,90,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2783416,0.00561473,168,1583182800,278.37,272.57,994,87,277.04,279.26,6.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583186400,277.69,274.26,995,86,276.48,279.15,2.6,280,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583190000,277.15,273.99,995,86,275.93,278.15,2.1,260,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583193600,276.74,273.16,996,86,275.37,278.71,2.6,240,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583197200,276.67,272.73,997,86,274.82,278.71,3.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583200800,276.35,273.06,998,100,274.82,278.15,2.6,220,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583204400,275.97,271.92,998,86,274.82,277.15,3.1,220,11,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583208000,275.59,271.48,999,86,274.82,276.48,3.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2783416,0.00561473,168,1583211600,275.41,271.44,999,93,274.15,276.48,3.1,220,6,800,Clear,clear sky,01n
Count: 168,200,2783416,0.00561473,168,1583215200,275.14,271.04,1000,89,274.15,276.48,3.1,210,6,800,Clear,clear sky,01n
Count: 168,200,2783416,0.00561473,168,1583218800,275.19,271.1,1000,89,274.15,276.48,3.1,210,6,800,Clear,clear sky,01d
Count: 168,200,2783416,0.00561473,168,1583222400,276.36,271.67,1001,86,275.15,277.59,4.1,220,0,800,Clear,clear sky,01d
Count: 168,200,2783416,0.00561473,168,1583226000,278.09,273.33,1001,86,277.04,279.26,4.6,220,0,800,Clear,clear sky,01d
Count: 168,200,2783416,0.00561473,168,1583229600,279.64,274.65,1001,81,278.71,280.37,5.1,230,0,800,Clear,clear sky,01d
Count: 168,200,2783416,0.00561473,168,1583233200,280.77,275.78,1001,75,279.15,282.04,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2783416,0.00561473,168,1583236800,281.3,276.58,1002,70,279.82,282.59,4.6,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583240400,281.57,276.13,1001,70,280.15,282.59,5.7,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583244000,281.79,275.55,1001,57,280.93,282.59,6.2,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583247600,281.51,275.23,1002,57,280.15,282.59,6.2,240,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583251200,280.79,275.08,1003,66,279.26,282.15,5.7,250,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583254800,279.86,276.78,1004,61,278.71,281.15,1.5,250,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783416,0.00561473,168,1583258400,278.61,274.49,1005,81,277.59,279.82,3.6,260,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583262000,278.2,275.46,1006,80,277.04,279.26,1.5,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583265600,277.82,274.42,1006,86,277.04,278.71,2.6,210,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583269200,277.54,274.09,1007,86,276.15,278.71,2.6,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2783416,0.00561473,168,1583272800,277.58,274.49,1007,86,275.93,279.26,2.1,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583276400,277.7,273.77,1007,93,275.93,279.26,3.6,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583280000,278.06,274.9,1007,93,276.48,279.82,2.6,220,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2783416,0.00561473,168,1583283600,278.3,275.18,1008,93,276.48,279.82,2.6,230,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583287200,278.51,274.38,1008,93,277.04,279.82,4.1,260,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583290800,278.8,274.73,1009,93,277.59,280.15,4.1,270,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583294400,278.71,274.09,1009,87,277.59,280.15,4.6,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583298000,278.32,274.86,1009,93,276.48,279.82,3.1,240,75,803,Clouds,broken clouds,04n
Count: 168,200,2783416,0.00561473,168,1583301600,277.58,274.68,1009,93,275.93,279.26,2.1,240,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583305200,277.3,273.81,1010,86,275.93,278.71,2.6,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583308800,278.18,274.84,1010,86,277.04,279.26,2.6,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583312400,279.62,276.19,1010,86,278.15,280.93,3.1,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583316000,281.01,277.33,1011,81,279.82,282.04,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2783416,0.00561473,168,1583319600,281.95,278.23,1011,75,280.15,283.71,3.6,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583323200,282.31,277.77,1011,70,280.93,283.71,4.6,240,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583326800,282.57,277.57,1010,57,281.15,284.15,4.6,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583330400,282.38,277.66,1009,65,280.93,283.71,4.6,200,75,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2783416,0.00561473,168,1583334000,282.28,278.43,1009,70,280.93,283.71,3.6,200,90,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2783416,0.00561473,168,1583337600,281.77,278.88,1008,70,280.15,283.15,2.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2783416,0.00561473,168,1583341200,281.01,276.8,1008,66,279.26,282.15,3.6,220,90,804,Clouds,overcast clouds,04d
Count: 168,200,2783416,0.00561473,168,1583344800,280.28,277.91,1008,70,278.71,281.48,1.0,0,90,804,Clouds,overcast clouds,04n
Count: 168,200,2783416,0.00561473,168,1583348400,279.76,277.66,1008,81,278.15,281.48,1.0,0,75,803,Clouds,broken clouds,04n
