message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2796012,0.042944623,168,1583017200,278.36,270.18,994,80,277.15,279.26,9.3,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583020800,278.6,270.46,995,80,277.59,279.82,9.3,210,63,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583024400,278.67,270.82,995,75,277.59,279.82,8.7,210,29,802,Clouds,scattered clouds,03n
Count: 168,200,2796012,0.042944623,168,1583028000,278.71,270.09,995,75,277.59,279.82,9.8,210,61,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583031600,278.88,271.41,994,75,277.59,279.82,8.2,210,61,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583035200,279.21,271.18,994,80,278.15,279.82,9.3,210,61,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583038800,279.25,270.02,994,75,278.15,280.37,10.8,220,80,500,Rain,light rain,10n
Count: 168,200,2796012,0.042944623,168,1583042400,279.27,270.59,994,70,278.15,280.15,9.8,220,80,500,Rain,light rain,10n
Count: 168,200,2796012,0.042944623,168,1583046000,279.17,270.47,994,70,278.15,280.15,9.8,220,80,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583049600,279.41,270.4,994,70,278.15,280.37,10.3,220,100,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583053200,280.04,270.77,994,70,279.15,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583056800,280.7,272.84,995,65,279.82,281.48,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583060400,281.61,273.12,994,65,280.37,282.59,9.8,220,88,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583064000,282.06,272.99,994,57,280.93,283.15,10.3,220,88,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583067600,282.23,275.01,994,57,281.15,283.15,7.7,210,76,803,Clouds,broken clouds,04d
Count: 168,200,2796012,0.042944623,168,1583071200,282.41,274.86,993,57,281.48,283.15,8.2,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796012,0.042944623,168,1583074800,282.34,275.64,992,61,281.15,283.15,7.2,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796012,0.042944623,168,1583078400,281.99,277.4,992,61,280.93,283.15,4.1,230,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796012,0.042944623,168,1583082000,281.25,278.45,991,75,279.82,282.15,2.1,200,100,804,Clouds,overcast clouds,04d
Count: 168,200,2796012,0.042944623,168,1583085600,280.38,277.28,991,81,278.15,281.48,2.6,180,100,804,Clouds,overcast clouds,04n
Count: 168,200,2796012,0.042944623,168,1583089200,279.92,276.23,992,87,278.15,281.48,3.6,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2796012,0.042944623,168,1583092800,279.77,276.4,992,87,278.15,281.48,3.1,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2796012,0.042944623,168,1583096400,279.22,274.67,993,75,277.59,280.37,4.1,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2796012,0.042944623,168,1583100000,278.79,273.82,993,75,277.59,279.82,4.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2796012,0.042944623,168,1583103600,278.32,272.66,994,80,277.04,279.26,5.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583107200,277.87,271.96,994,86,276.48,279.26,6.2,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583110800,277.59,270.58,993,86,276.15,278.71,7.7,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583114400,277.47,270.79,993,86,276.48,278.71,7.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583118000,277.67,271.92,992,93,276.48,278.71,6.2,190,67,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583121600,277.98,272.85,991,86,277.04,278.71,5.1,180,67,803,Clouds,broken clouds,04n
Count: 168,200,2796012,0.042944623,168,1583125200,278.32,272.83,990,86,277.04,279.26,5.7,160,83,500,Rain,light rain,10n
Count: 168,200,2796012,0.042944623,168,1583128800,278.45,273.41,989,86,277.15,279.26,5.1,160,83,500,Rain,light rain,10n
Count: 168,200,2796012,0.042944623,168,1583132400,278.61,273.02,989,81,277.59,279.26,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583136000,279.11,274.03,988,81,278.15,279.82,5.1,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2796012,0.042944623,168,1583139600,279.65,274.86,988,87,278.71,280.37,5.1,180,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2796012,0.042944623,168,1583143200,280.5,274.9,988,81,279.82,281.48,6.2,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2796012,0.042944623,168,1583146800,280.83,275.64,988,81,279.82,282.15,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2796012,0.042944623,168,1583150400,280.95,276.2,987,81,279.82,282.15,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2796012,0.042944623,168,1583154000,281.36,277.04,987,81,280.15,282.59,4.6,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2796012,0.042944623,168,1583157600,281.15,277.92,987,93,280.15,282.04,3.6,200,75,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583161200,280.91,278.12,988,87,280.15,281.48,2.6,190,75,500,Rain,light rain,10d
Count: 168,200,2796012,0.042944623,168,1583164800,280.63,277.63,989,93,279.82,281.48,3.1,210,75,501,Rain,moderate rain,10d
