message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2789492,0.005443359,168,1583017200,278.34,270.16,994,80,277.15,279.26,9.3,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2789492,0.005443359,168,1583020800,278.57,270.43,995,80,277.15,279.82,9.3,210,63,803,Clouds,broken clouds,04n
Count: 168,200,2789492,0.005443359,168,1583024400,278.64,270.78,995,75,277.59,279.82,8.7,210,29,802,Clouds,scattered clouds,03n
Count: 168,200,2789492,0.005443359,168,1583028000,278.67,270.05,995,75,277.59,279.82,9.8,210,61,803,Clouds,broken clouds,04n
Count: 168,200,2789492,0.005443359,168,1583031600,278.89,271.42,994,75,278.15,279.82,8.2,210,61,803,Clouds,broken clouds,04n
Count: 168,200,2789492,0.005443359,168,1583035200,279.2,271.16,994,80,278.15,279.82,9.3,210,61,803,Clouds,broken clouds,04n
Count: 168,200,2789492,0.005443359,168,1583038800,279.31,270.09,994,75,278.15,280.37,10.8,220,80,500,Rain,light rain,10n
Count: 168,200,2789492,0.005443359,168,1583042400,279.29,270.61,994,70,278.15,280.15,9.8,220,80,500,Rain,light rain,10n
Count: 168,200,2789492,0.005443359,168,1583046000,279.2,270.51,994,70,278.15,280.15,9.8,220,80,500,Rain,light rain,10d
Count: 168,200,2789492,0.005443359,168,1583049600,279.44,270.43,994,70,278.15,280.37,10.3,220,100,500,Rain,light rain,10d
Count: 168,200,2789492,0.005443359,168,1583053200,280.04,270.77,994,70,278.71,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2789492,0.005443359,168,1583056800,280.73,272.87,995,65,279.82,281.48,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2789492,0.005443359,168,1583060400,281.5,272.99,994,65,280.15,282.59,9.8,220,88,500,Rain,light rain,10d
Count: 168,200,2789492,0.005443359,168,1583064000,282.08,273.02,994,57,280.93,283.15,10.3,220,88,500,Rain,light rain,10d
Count: 168,200,2789492,0.005443359,168,1583067600,282.23,275.01,994,57,281.15,283.15,7.7,210,76,803,Clouds,broken clouds,04d
