message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2802405,0.028171247,168,1583017200,278.42,270.25,994,80,277.59,279.26,9.3,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2802405,0.028171247,168,1583020800,278.58,272.46,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2802405,0.028171247,168,1583024400,278.71,272.81,995,70,277.59,279.82,5.7,210,42,802,Clouds,scattered clouds,03n
Count: 168,200,2802405,0.028171247,168,1583028000,278.79,272.7,994,75,277.59,279.82,6.2,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2802405,0.028171247,168,1583031600,278.91,272.69,994,70,278.15,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2802405,0.028171247,168,1583035200,279.23,273.56,994,75,278.15,279.82,5.7,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2802405,0.028171247,168,1583038800,279.29,273.28,994,75,278.15,280.37,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2802405,0.028171247,168,1583042400,279.37,273.06,994,65,278.71,280.15,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2802405,0.028171247,168,1583046000,279.25,273.28,994,65,278.15,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2802405,0.028171247,168,1583049600,279.57,273.29,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2802405,0.028171247,168,1583053200,280.08,273.34,994,70,279.15,280.93,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2802405,0.028171247,168,1583056800,280.72,274.78,994,70,279.82,281.48,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2802405,0.028171247,168,1583060400,281.61,274.79,994,61,280.37,282.59,7.2,220,95,500,Rain,light rain,10d
Count: 168,200,2802405,0.028171247,168,1583064000,282.15,276.47,994,61,280.93,283.15,5.7,220,95,500,Rain,light rain,10d
Count: 168,200,2802405,0.028171247,168,1583067600,282.35,276.55,994,57,281.48,283.15,5.7,210,84,803,Clouds,broken clouds,04d
