message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2794619,0.072376199,168,1583017200,278.42,270.25,994,80,277.59,279.26,9.3,220,63,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583020800,278.55,270.06,994,80,277.59,279.26,9.8,210,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583024400,278.74,270.9,994,75,277.59,279.82,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583028000,278.77,270.51,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583031600,278.93,270.96,994,70,278.15,279.82,8.7,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794619,0.072376199,168,1583035200,279.23,271.04,993,75,278.15,279.82,9.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583038800,279.24,270.36,993,75,278.15,280.37,10.3,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794619,0.072376199,168,1583042400,279.27,270.39,993,75,278.15,280.15,10.3,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583046000,279.2,271.43,993,75,278.15,280.15,8.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583049600,279.5,271.01,994,75,278.71,280.37,9.8,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794619,0.072376199,168,1583053200,280.03,271.63,994,75,279.15,280.93,9.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583056800,280.68,272.05,994,65,279.82,281.48,9.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794619,0.072376199,168,1583060400,281.61,273.12,994,65,280.37,282.59,9.8,220,91,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583064000,282.08,274.44,994,65,280.93,283.15,8.7,230,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583067600,282.3,275.09,994,57,281.48,283.15,7.7,210,76,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583071200,282.4,276.41,993,61,281.48,283.15,6.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794619,0.072376199,168,1583074800,282.35,276.0,992,61,281.15,283.15,6.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794619,0.072376199,168,1583078400,281.97,277.92,992,66,280.93,282.59,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583082000,281.32,277.12,991,65,280.15,282.15,3.6,240,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583085600,280.51,276.89,991,65,278.71,281.48,2.6,250,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583089200,279.99,276.11,991,70,278.71,281.15,3.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583092800,279.75,275.13,992,70,278.15,281.15,4.1,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2794619,0.072376199,168,1583096400,279.3,273.91,993,70,278.15,280.37,5.1,260,100,804,Clouds,overcast clouds,04n
Count: 168,200,2794619,0.072376199,168,1583100000,278.81,272.73,993,75,277.59,279.82,6.2,240,100,804,Clouds,overcast clouds,04n
Count: 168,200,2794619,0.072376199,168,1583103600,278.35,272.02,993,81,277.04,279.26,6.7,230,67,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583107200,277.97,272.25,993,80,276.48,279.26,5.7,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583110800,277.69,271.58,993,80,276.15,278.71,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583114400,277.52,271.55,992,86,276.48,278.71,6.2,190,67,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583118000,277.66,272.06,991,86,276.48,278.71,5.7,190,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583121600,277.96,272.83,990,86,277.04,278.71,5.1,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583125200,278.27,272.77,989,86,277.04,279.26,5.7,160,83,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583128800,278.43,273.38,989,86,277.15,279.26,5.1,160,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583132400,278.61,273.02,989,81,277.59,279.26,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583136000,279.07,274.52,988,87,278.15,279.82,4.6,170,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583139600,279.64,274.42,988,87,278.71,280.37,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583143200,280.43,275.79,987,87,279.26,281.48,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583146800,280.8,276.93,987,87,279.82,282.15,4.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583150400,281.03,277.35,987,81,280.15,282.15,3.6,200,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583154000,281.3,278.59,987,87,280.15,282.15,2.6,210,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583157600,281.19,277.75,987,87,280.15,282.04,3.6,210,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583161200,280.97,278.19,988,87,280.15,281.48,2.6,190,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583164800,280.67,278.03,989,93,279.82,281.48,2.6,240,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583168400,280.21,277.47,990,93,279.15,280.93,2.6,300,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583172000,279.8,276.78,991,87,278.71,280.93,2.6,320,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583175600,279.28,273.83,992,93,278.15,280.15,6.2,310,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583179200,278.84,273.47,994,87,277.59,280.15,5.7,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583182800,278.31,273.59,995,86,277.04,279.26,4.6,300,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583186400,277.68,273.55,996,86,276.48,278.71,3.6,280,100,804,Clouds,overcast clouds,04n
Count: 168,200,2794619,0.072376199,168,1583190000,277.0,272.76,997,86,275.93,278.15,3.6,260,90,804,Clouds,overcast clouds,04n
Count: 168,200,2794619,0.072376199,168,1583193600,276.73,272.45,998,86,275.37,278.15,3.6,230,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794619,0.072376199,168,1583197200,276.51,271.84,998,86,274.82,278.15,4.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583200800,276.15,271.08,999,86,274.82,277.59,4.6,240,0,800,Clear,clear sky,01n
Count: 168,200,2794619,0.072376199,168,1583204400,275.78,270.65,999,86,274.82,277.04,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2794619,0.072376199,168,1583208000,275.4,270.22,1000,86,274.26,276.48,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2794619,0.072376199,168,1583211600,275.09,270.17,1000,84,274.15,276.15,4.1,220,0,800,Clear,clear sky,01n
Count: 168,200,2794619,0.072376199,168,1583215200,274.89,269.24,1001,84,274.15,275.93,5.1,220,0,800,Clear,clear sky,01n
Count: 168,200,2794619,0.072376199,168,1583218800,274.8,269.49,1001,84,273.71,275.93,4.6,220,0,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583222400,276.09,271.36,1001,86,274.82,277.04,4.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583226000,277.77,272.8,1002,93,276.15,279.26,5.1,220,20,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583229600,278.97,273.42,1002,80,277.04,280.37,5.7,230,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583233200,280.17,274.66,1002,75,277.59,282.04,5.7,210,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583236800,280.68,275.68,1002,75,278.15,282.59,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583240400,281.09,276.86,1003,75,278.71,283.15,4.1,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583244000,281.32,276.6,1003,70,279.15,283.15,4.6,200,97,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583247600,281.08,275.73,1004,75,278.71,282.59,5.7,220,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2794619,0.072376199,168,1583251200,280.79,275.21,1004,70,279.15,283.15,5.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794619,0.072376199,168,1583254800,279.47,274.19,1005,86,276.48,281.15,5.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794619,0.072376199,168,1583258400,278.24,274.21,1005,86,276.15,279.82,3.6,200,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794619,0.072376199,168,1583262000,277.9,273.81,1006,86,276.15,279.26,3.6,190,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583265600,277.73,273.96,1007,86,276.48,278.71,3.1,200,40,520,Rain,light intensity shower rain,09n
Count: 168,200,2794619,0.072376199,168,1583269200,277.38,272.5,1008,86,275.93,278.71,4.6,230,40,520,Rain,light intensity shower rain,09n
Count: 168,200,2794619,0.072376199,168,1583272800,277.42,273.44,1008,93,275.93,278.71,3.6,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583276400,277.4,273.07,1008,93,275.37,279.26,4.1,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794619,0.072376199,168,1583280000,277.95,273.37,1009,93,276.48,279.26,4.6,220,79,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583283600,278.16,273.97,1009,93,276.15,279.82,4.1,230,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583287200,278.46,274.32,1010,93,277.04,279.82,4.1,230,35,301,Drizzle,drizzle,09n
Count: 168,200,2794619,0.072376199,168,1583290800,278.53,273.53,1010,87,277.04,279.82,5.1,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583294400,278.05,273.29,1010,86,275.93,279.82,4.6,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583298000,277.44,272.92,1010,86,275.37,279.26,4.1,240,39,802,Clouds,scattered clouds,03n
Count: 168,200,2794619,0.072376199,168,1583301600,276.63,272.51,1010,93,275.37,278.71,3.6,230,39,802,Clouds,scattered clouds,03n
Count: 168,200,2794619,0.072376199,168,1583305200,276.64,272.53,1011,93,275.37,278.15,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583308800,277.57,274.32,1011,93,276.15,278.71,2.6,200,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583312400,279.1,275.22,1011,86,277.59,280.37,3.6,210,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583316000,280.28,277.01,1011,87,278.71,281.48,3.1,210,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583319600,281.26,277.62,1011,81,279.15,283.15,3.6,210,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583323200,281.71,276.89,1011,75,279.82,283.71,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583326800,282.12,277.96,1011,81,280.15,284.26,4.6,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583330400,281.81,276.06,1010,70,279.82,283.71,6.2,210,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2794619,0.072376199,168,1583334000,281.8,278.27,1010,81,280.15,283.15,3.6,200,40,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583337600,281.63,277.85,1009,75,280.93,282.59,3.6,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794619,0.072376199,168,1583341200,280.84,278.39,1008,75,279.15,282.15,1.5,190,20,801,Clouds,few clouds,02d
Count: 168,200,2794619,0.072376199,168,1583344800,280.07,276.55,1008,70,278.15,281.48,2.6,200,20,801,Clouds,few clouds,02n
Count: 168,200,2794619,0.072376199,168,1583348400,279.69,276.11,1008,81,278.15,281.48,3.1,160,98,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583352000,279.31,276.36,1008,81,277.59,280.93,2.1,160,20,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583355600,278.98,274.73,1008,86,277.59,280.15,4.1,170,98,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583359200,278.79,275.07,1007,93,277.59,279.82,3.6,150,75,803,Clouds,broken clouds,04n
Count: 168,200,2794619,0.072376199,168,1583362800,278.56,275.14,1005,93,277.59,279.26,3.1,130,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583366400,278.39,274.59,1004,93,277.59,279.26,3.6,140,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583370000,278.36,274.55,1003,93,277.59,279.26,3.6,140,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583373600,278.31,274.84,1002,93,277.59,279.26,3.1,140,100,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583377200,278.32,275.21,1001,93,277.59,279.26,2.6,130,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583380800,278.38,274.58,1001,93,277.59,279.26,3.6,120,100,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583384400,278.49,275.96,999,100,277.59,279.26,2.1,140,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583388000,278.5,275.63,998,100,277.59,279.26,2.6,140,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583391600,278.77,276.09,997,93,277.59,279.82,2.1,130,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583395200,278.92,275.78,997,100,278.15,279.82,3.1,120,100,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583398800,279.31,276.39,996,93,278.71,279.82,2.6,120,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583402400,279.59,276.95,994,100,278.71,280.37,2.6,110,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583406000,279.81,276.64,993,93,279.15,280.37,3.1,110,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583409600,280.11,277.0,993,93,279.15,280.93,3.1,110,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583413200,280.21,277.47,991,93,279.15,280.93,2.6,100,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583416800,280.34,276.93,990,93,279.82,280.93,3.6,90,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583420400,280.3,276.53,988,93,279.82,280.93,4.1,110,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583424000,280.24,275.34,987,93,279.82,280.93,5.7,100,75,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583427600,280.1,275.59,987,93,279.15,280.93,5.1,80,100,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583431200,279.81,276.99,985,93,279.15,280.37,2.6,90,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583434800,279.62,275.93,985,100,279.15,280.37,4.1,70,100,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583438400,279.42,277.29,985,93,278.71,280.37,1.5,120,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583442000,279.28,276.0,985,93,278.71,280.15,3.1,60,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583445600,279.24,276.17,984,100,278.71,280.15,3.1,50,100,701,Mist,mist,50n
Count: 168,200,2794619,0.072376199,168,1583449200,279.04,275.71,985,93,278.15,280.15,3.1,40,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583452800,278.66,274.56,985,93,277.59,279.26,4.1,20,75,701,Mist,mist,50n
Count: 168,200,2794619,0.072376199,168,1583456400,278.44,273.18,986,93,277.59,279.26,5.7,360,75,701,Mist,mist,50n
Count: 168,200,2794619,0.072376199,168,1583460000,278.19,273.3,987,93,277.59,278.71,5.1,330,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583463600,277.85,272.48,988,93,277.04,278.71,5.7,330,75,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583467200,277.85,272.9,989,93,277.04,278.71,5.1,320,75,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583470800,277.83,274.12,990,100,277.04,278.71,3.6,320,100,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583474400,278.09,273.53,992,93,277.04,279.26,4.6,300,100,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583478000,278.4,273.9,993,93,277.04,279.82,4.6,320,90,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583481600,278.77,275.95,994,100,277.15,280.37,2.6,320,100,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583485200,279.41,274.76,996,93,277.59,280.93,5.1,310,90,501,Rain,moderate rain,10d
Count: 168,200,2794619,0.072376199,168,1583488800,279.92,275.72,997,93,278.15,281.48,4.6,310,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2794619,0.072376199,168,1583492400,280.42,275.78,998,87,278.71,282.04,5.1,320,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583496000,280.82,275.49,1000,87,278.71,282.59,6.2,310,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583499600,280.88,276.33,1000,87,278.71,283.15,5.1,300,75,803,Clouds,broken clouds,04d
Count: 168,200,2794619,0.072376199,168,1583503200,280.47,275.07,1002,87,279.15,282.15,6.2,300,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2794619,0.072376199,168,1583506800,280.27,275.18,1003,87,278.71,282.15,5.7,310,40,521,Rain,shower rain,09d
Count: 168,200,2794619,0.072376199,168,1583510400,279.82,274.29,1003,87,278.71,281.48,6.2,320,75,500,Rain,light rain,10d
Count: 168,200,2794619,0.072376199,168,1583514000,279.29,273.84,1005,93,278.15,280.93,6.2,310,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2794619,0.072376199,168,1583517600,278.92,274.87,1007,93,277.59,280.37,4.1,300,82,501,Rain,moderate rain,10n
Count: 168,200,2794619,0.072376199,168,1583521200,278.54,274.42,1007,93,277.15,280.15,4.1,280,82,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583524800,278.48,274.35,1008,93,277.04,280.15,4.1,290,40,500,Rain,light rain,10n
Count: 168,200,2794619,0.072376199,168,1583528400,278.32,274.3,1009,86,277.04,279.82,3.6,300,75,500,Rain,light rain,10n
