message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2795703,0.031809217,168,1583017200,278.26,270.07,994,80,277.04,279.26,9.3,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583020800,278.46,270.3,995,80,277.04,279.82,9.3,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583024400,278.54,270.67,995,75,277.15,279.82,8.7,210,42,802,Clouds,scattered clouds,03n
Count: 168,200,2795703,0.031809217,168,1583028000,278.67,270.05,995,75,277.59,279.82,9.8,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583031600,278.84,271.36,994,75,277.59,279.82,8.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583035200,279.18,271.14,994,80,278.15,279.82,9.3,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583038800,279.28,270.05,994,75,278.15,280.37,10.8,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583042400,279.28,270.6,994,70,278.15,280.15,9.8,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583046000,279.17,270.47,994,70,278.15,280.15,9.8,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2795703,0.031809217,168,1583049600,279.48,270.48,994,70,278.15,280.37,10.3,220,100,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583053200,280.04,270.77,994,70,278.71,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583056800,280.75,272.9,995,65,279.82,281.48,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583060400,281.63,273.14,994,65,280.37,282.59,9.8,220,94,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583064000,282.14,273.08,994,57,280.93,283.15,10.3,220,94,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583067600,282.26,275.04,994,57,281.15,283.15,7.7,210,84,803,Clouds,broken clouds,04d
Count: 168,200,2795703,0.031809217,168,1583071200,282.33,274.77,993,57,281.15,283.15,8.2,210,92,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583074800,282.4,275.71,992,61,281.15,283.71,7.2,220,92,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583078400,281.98,277.39,992,61,280.37,283.15,4.1,230,92,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583082000,281.31,278.52,991,75,279.82,282.15,2.1,200,96,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583085600,280.32,277.21,991,81,277.59,281.48,2.6,180,96,500,Rain,light rain,10n
Count: 168,200,2795703,0.031809217,168,1583089200,279.86,276.16,992,87,278.15,281.48,3.6,200,96,500,Rain,light rain,10n
Count: 168,200,2795703,0.031809217,168,1583092800,279.52,276.1,992,87,277.04,281.48,3.1,220,100,500,Rain,light rain,10n
Count: 168,200,2795703,0.031809217,168,1583096400,279.04,274.46,993,75,277.04,280.37,4.1,240,100,500,Rain,light rain,10n
Count: 168,200,2795703,0.031809217,168,1583100000,278.64,273.65,993,75,277.04,279.82,4.6,230,100,500,Rain,light rain,10n
Count: 168,200,2795703,0.031809217,168,1583103600,278.22,272.54,994,80,276.48,279.26,5.7,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583107200,277.75,271.81,994,86,276.15,279.26,6.2,210,80,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583110800,277.45,270.41,993,86,275.93,278.71,7.7,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2795703,0.031809217,168,1583114400,277.31,270.6,993,86,275.93,278.15,7.2,200,49,802,Clouds,scattered clouds,03n
Count: 168,200,2795703,0.031809217,168,1583118000,277.61,271.85,992,93,276.48,278.71,6.2,190,49,802,Clouds,scattered clouds,03n
Count: 168,200,2795703,0.031809217,168,1583121600,277.87,272.73,991,86,277.04,278.71,5.1,180,49,802,Clouds,scattered clouds,03n
Count: 168,200,2795703,0.031809217,168,1583125200,278.19,272.68,990,86,277.04,279.26,5.7,160,75,500,Rain,light rain,10n
Count: 168,200,2795703,0.031809217,168,1583128800,278.32,273.25,989,86,277.04,279.26,5.1,160,75,500,Rain,light rain,10n
Count: 168,200,2795703,0.031809217,168,1583132400,278.56,272.97,989,81,277.59,279.26,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2795703,0.031809217,168,1583136000,279.11,274.03,988,81,278.15,279.82,5.1,170,75,803,Clouds,broken clouds,04d
