message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2783170,0.006707891,168,1583017200,278.31,271.95,994,80,277.15,279.26,6.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583020800,278.53,272.4,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583024400,278.52,272.6,995,70,277.15,279.26,5.7,210,42,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583028000,278.71,272.61,994,75,277.59,279.82,6.2,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583031600,278.87,272.65,994,70,278.15,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583035200,279.17,273.49,994,75,278.15,279.82,5.7,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583038800,279.34,273.34,994,75,278.15,280.37,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583042400,279.32,273.01,994,65,278.15,280.15,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583046000,279.22,273.24,994,65,278.15,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2783170,0.006707891,168,1583049600,279.66,273.4,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583053200,280.11,273.37,994,70,279.15,280.93,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583056800,280.77,274.84,994,70,279.82,281.48,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583060400,281.63,274.82,994,61,280.15,283.15,7.2,220,94,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583064000,282.28,276.62,994,61,281.15,283.15,5.7,220,94,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583067600,282.41,276.61,994,57,281.48,283.15,5.7,210,84,803,Clouds,broken clouds,04d
Count: 168,200,2783170,0.006707891,168,1583071200,282.41,277.03,993,57,281.48,283.15,5.1,210,92,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583074800,282.46,277.09,993,57,281.15,283.71,5.1,220,92,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583078400,282.02,277.64,992,57,280.37,283.15,3.6,230,92,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583082000,281.31,277.18,991,57,279.82,282.15,3.1,220,96,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583085600,280.29,276.45,991,70,278.15,281.48,3.1,180,96,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583089200,279.79,277.35,992,81,277.59,281.48,1.5,200,96,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583092800,279.46,276.96,992,81,277.04,281.48,1.5,210,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583096400,278.99,276.59,992,87,277.04,280.37,1.5,230,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583100000,278.63,274.19,993,70,277.04,279.82,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583103600,278.3,274.31,993,75,277.04,279.26,3.1,220,80,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583107200,277.83,273.91,993,80,276.48,279.15,3.1,200,80,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583110800,277.52,272.5,993,80,276.15,278.71,4.6,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583114400,277.23,272.68,993,86,275.93,278.15,4.1,190,49,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583118000,277.42,272.2,992,86,276.15,278.71,5.1,180,49,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583121600,277.7,272.71,991,80,276.48,278.71,4.6,170,49,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583125200,278.06,273.3,990,86,277.04,279.26,4.6,170,75,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583128800,278.22,273.49,989,86,277.04,279.26,4.6,160,75,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583132400,278.46,272.85,989,81,277.59,279.26,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583136000,279.05,274.66,989,81,278.15,279.82,4.1,160,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583139600,279.84,274.89,989,81,278.71,280.93,5.1,170,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583143200,280.67,275.87,988,81,279.82,281.48,5.1,180,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583146800,281.19,275.86,988,75,279.82,282.59,5.7,180,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583150400,281.47,277.31,988,75,280.15,282.59,4.1,190,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583154000,281.64,277.9,987,76,280.37,282.59,3.6,200,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2783170,0.006707891,168,1583157600,281.4,278.71,988,87,280.15,282.59,2.6,240,100,301,Drizzle,drizzle,09d
Count: 168,200,2783170,0.006707891,168,1583161200,281.13,278.94,988,93,280.15,282.15,2.1,190,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583164800,280.71,278.08,989,93,279.82,281.48,2.6,200,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583168400,280.21,278.06,990,100,279.15,280.93,2.1,210,100,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583172000,279.94,277.5,991,93,279.15,280.93,2.1,270,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583175600,279.42,277.09,992,100,278.71,280.37,2.1,280,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583179200,278.99,274.25,993,93,278.15,279.82,5.1,310,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583182800,278.61,273.2,994,87,277.59,279.82,5.7,310,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583186400,277.99,273.57,995,86,277.04,279.26,4.1,300,100,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583190000,277.28,273.28,997,93,275.93,278.71,3.6,270,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783170,0.006707891,168,1583193600,276.91,272.84,998,93,275.93,278.15,3.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783170,0.006707891,168,1583197200,276.58,273.16,998,93,275.37,278.15,2.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2783170,0.006707891,168,1583200800,276.26,272.26,999,86,275.37,277.15,3.1,240,33,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583204400,275.96,271.73,999,93,274.82,277.15,3.6,250,33,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583208000,275.57,271.81,1000,86,274.82,276.48,2.6,230,33,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583211600,275.23,271.07,1001,86,274.15,276.48,3.1,230,17,801,Clouds,few clouds,02n
Count: 168,200,2783170,0.006707891,168,1583215200,274.93,270.8,1001,89,274.15,275.93,3.1,220,17,801,Clouds,few clouds,02n
Count: 168,200,2783170,0.006707891,168,1583218800,274.81,271.36,1001,89,273.71,275.93,2.1,200,17,801,Clouds,few clouds,02d
Count: 168,200,2783170,0.006707891,168,1583222400,276.14,272.29,1002,93,274.82,277.04,3.1,200,0,800,Clear,clear sky,01d
Count: 168,200,2783170,0.006707891,168,1583226000,277.64,272.65,1002,93,276.15,279.26,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2783170,0.006707891,168,1583229600,278.68,274.2,1002,80,277.04,280.37,4.1,210,0,800,Clear,clear sky,01d
Count: 168,200,2783170,0.006707891,168,1583233200,279.73,274.92,1002,75,277.59,281.48,4.6,210,32,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583236800,280.07,275.66,1003,75,278.15,282.04,4.1,210,32,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583240400,280.65,276.34,1003,75,278.71,282.59,4.1,210,32,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583244000,281.0,276.23,1003,70,279.15,282.59,4.6,200,65,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583247600,280.73,275.32,1004,75,278.71,282.59,5.7,220,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2783170,0.006707891,168,1583251200,280.18,275.98,1004,70,277.59,282.59,3.6,210,65,500,Rain,light rain,10d
Count: 168,200,2783170,0.006707891,168,1583254800,279.29,273.98,1005,86,277.15,280.93,5.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783170,0.006707891,168,1583258400,278.17,274.37,1005,70,275.93,280.15,2.6,230,97,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583262000,277.65,274.26,1006,75,275.93,279.26,2.1,220,97,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583265600,277.37,274.08,1007,80,275.93,278.71,2.1,220,37,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583269200,277.01,272.07,1008,86,275.37,278.71,4.6,230,40,520,Rain,light intensity shower rain,09n
Count: 168,200,2783170,0.006707891,168,1583272800,277.09,273.57,1008,86,275.93,278.71,2.6,210,37,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583276400,276.93,274.34,1008,93,275.37,278.71,1.5,200,67,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583280000,277.4,272.72,1009,93,275.93,278.71,4.6,220,67,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583283600,277.57,273.97,1009,93,275.93,279.26,3.1,240,63,803,Clouds,broken clouds,04n
Count: 168,200,2783170,0.006707891,168,1583287200,277.91,273.67,1010,93,276.48,279.26,4.1,230,71,301,Drizzle,drizzle,09n
Count: 168,200,2783170,0.006707891,168,1583290800,278.05,274.39,1009,100,276.48,279.26,3.6,220,71,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583294400,278.12,274.45,1010,87,276.48,279.82,3.1,240,71,500,Rain,light rain,10n
Count: 168,200,2783170,0.006707891,168,1583298000,277.57,274.12,1010,86,275.93,279.26,2.6,240,46,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583301600,276.68,273.62,1011,93,275.37,278.15,2.1,220,46,802,Clouds,scattered clouds,03n
Count: 168,200,2783170,0.006707891,168,1583305200,276.65,273.06,1011,86,275.37,278.15,2.6,230,46,802,Clouds,scattered clouds,03d
Count: 168,200,2783170,0.006707891,168,1583308800,277.55,273.24,1011,93,276.15,278.71,4.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2783170,0.006707891,168,1583312400,278.98,275.81,1012,87,277.15,280.37,2.6,210,94,804,Clouds,overcast clouds,04d
Count: 168,200,2783170,0.006707891,168,1583316000,280.16,275.04,1011,87,278.15,282.04,5.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2783170,0.006707891,168,1583319600,281.13,275.65,1011,81,279.15,283.15,6.2,230,75,803,Clouds,broken clouds,04d
