message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2796715,0.007591203,168,1583017200,278.29,271.92,994,80,277.15,279.26,6.7,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2796715,0.007591203,168,1583020800,278.53,272.4,995,75,277.59,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2796715,0.007591203,168,1583024400,278.57,272.65,995,70,277.59,279.26,5.7,210,42,802,Clouds,scattered clouds,03n
Count: 168,200,2796715,0.007591203,168,1583028000,278.73,272.64,994,75,277.59,279.82,6.2,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2796715,0.007591203,168,1583031600,278.82,272.59,994,70,277.59,279.82,6.2,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2796715,0.007591203,168,1583035200,279.17,273.49,994,75,278.15,279.82,5.7,200,58,803,Clouds,broken clouds,04n
Count: 168,200,2796715,0.007591203,168,1583038800,279.42,273.44,994,75,278.71,280.37,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2796715,0.007591203,168,1583042400,279.32,273.01,994,65,278.15,280.15,6.2,220,79,803,Clouds,broken clouds,04n
Count: 168,200,2796715,0.007591203,168,1583046000,279.27,273.3,994,65,278.15,280.15,5.7,220,79,803,Clouds,broken clouds,04d
Count: 168,200,2796715,0.007591203,168,1583049600,279.66,273.4,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583053200,280.13,273.4,994,70,279.15,280.93,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583056800,280.75,274.82,994,70,279.82,281.48,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583060400,281.65,274.84,994,61,280.37,282.59,7.2,220,94,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583064000,282.28,276.62,994,61,281.15,283.15,5.7,220,95,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583067600,282.41,276.61,994,57,281.48,283.15,5.7,210,84,803,Clouds,broken clouds,04d
Count: 168,200,2796715,0.007591203,168,1583071200,282.42,277.05,993,57,281.48,283.15,5.1,210,92,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583074800,282.47,277.1,993,57,281.48,283.15,5.1,220,92,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583078400,282.13,277.76,992,57,280.93,283.15,3.6,230,92,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583082000,281.4,277.28,991,57,279.82,282.15,3.1,220,96,500,Rain,light rain,10d
Count: 168,200,2796715,0.007591203,168,1583085600,280.51,276.71,991,70,278.71,281.48,3.1,180,96,500,Rain,light rain,10n
Count: 168,200,2796715,0.007591203,168,1583089200,279.91,277.49,992,81,278.15,281.48,1.5,200,96,500,Rain,light rain,10n
Count: 168,200,2796715,0.007591203,168,1583092800,279.63,277.16,992,81,277.59,281.48,1.5,210,100,500,Rain,light rain,10n
Count: 168,200,2796715,0.007591203,168,1583096400,279.13,276.76,992,87,277.15,280.37,1.5,230,100,500,Rain,light rain,10n
