message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2795800,0.009004084,168,1583017200,278.3,271.93,994,80,277.15,279.26,6.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583020800,278.53,272.4,995,75,277.59,279.26,6.2,200,72,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583024400,278.58,272.66,995,70,277.59,279.26,5.7,210,61,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583028000,278.75,272.66,994,75,278.15,279.82,6.2,200,69,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583031600,278.85,272.62,994,70,278.15,279.82,6.2,210,69,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583035200,279.14,273.46,994,75,278.15,279.82,5.7,200,69,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583038800,279.44,273.46,994,75,278.71,280.37,6.2,220,85,804,Clouds,overcast clouds,04n
Count: 168,200,2795800,0.009004084,168,1583042400,279.3,272.98,994,65,278.15,280.37,6.2,220,85,804,Clouds,overcast clouds,04n
Count: 168,200,2795800,0.009004084,168,1583046000,279.32,273.36,994,65,278.15,280.37,5.7,220,85,804,Clouds,overcast clouds,04d
Count: 168,200,2795800,0.009004084,168,1583049600,279.73,273.48,994,65,278.71,280.37,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583053200,280.18,273.46,994,70,279.15,280.93,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583056800,280.83,274.91,994,70,279.82,281.48,6.2,220,100,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583060400,281.8,275.01,994,61,280.37,283.15,7.2,220,92,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583064000,282.28,276.62,994,61,281.15,283.15,5.7,220,92,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583067600,282.47,276.68,994,57,281.48,283.15,5.7,210,96,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583071200,282.56,277.21,993,57,281.48,283.71,5.1,210,67,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583074800,282.56,277.21,993,57,281.48,283.71,5.1,220,67,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583078400,282.18,277.82,992,57,280.93,283.15,3.6,230,67,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583082000,281.43,277.31,991,57,279.82,282.15,3.1,220,83,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583085600,280.54,276.74,991,70,278.71,282.04,3.1,180,83,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583089200,279.92,277.5,992,81,278.15,281.48,1.5,200,83,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583092800,279.64,277.17,992,81,277.59,281.48,1.5,210,100,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583096400,279.2,276.84,992,87,277.59,280.37,1.5,230,100,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583100000,278.79,274.37,993,70,277.59,279.82,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583103600,278.36,274.38,993,75,277.04,279.26,3.1,220,83,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583107200,277.97,274.07,993,80,277.04,279.26,3.1,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583110800,277.64,272.64,993,80,276.48,278.71,4.6,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583114400,277.3,272.76,993,86,275.93,278.15,4.1,190,33,802,Clouds,scattered clouds,03n
Count: 168,200,2795800,0.009004084,168,1583118000,277.29,272.05,992,86,276.15,278.15,5.1,180,33,802,Clouds,scattered clouds,03n
Count: 168,200,2795800,0.009004084,168,1583121600,277.51,272.49,991,80,276.48,278.71,4.6,170,33,802,Clouds,scattered clouds,03n
Count: 168,200,2795800,0.009004084,168,1583125200,277.86,273.06,990,86,276.48,279.26,4.6,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583128800,278.07,273.31,989,86,276.48,279.26,4.6,160,67,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583132400,278.33,273.12,989,81,277.15,279.26,5.1,170,67,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583136000,278.98,274.58,989,81,278.15,279.82,4.1,160,100,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583139600,279.77,276.21,989,81,278.71,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2795800,0.009004084,168,1583143200,280.62,275.81,988,81,279.82,281.48,5.1,180,100,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583146800,281.26,275.94,988,75,279.82,282.59,5.7,180,100,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583150400,281.55,277.4,988,75,280.37,282.59,4.1,190,100,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583154000,281.79,278.08,987,76,280.93,282.59,3.6,200,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2795800,0.009004084,168,1583157600,281.54,279.78,987,81,280.93,282.59,1.0,240,75,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583161200,281.2,278.69,988,81,280.15,282.15,1.97,170,90,500,Rain,light rain,10d
Count: 168,200,2795800,0.009004084,168,1583164800,280.81,279.67,989,93,279.82,281.48,0.5,240,75,501,Rain,moderate rain,10d
Count: 168,200,2795800,0.009004084,168,1583168400,280.28,278.14,989,100,279.26,280.93,2.1,240,75,501,Rain,moderate rain,10d
Count: 168,200,2795800,0.009004084,168,1583172000,279.99,278.33,990,93,279.15,280.93,1.0,230,75,501,Rain,moderate rain,10n
Count: 168,200,2795800,0.009004084,168,1583175600,279.48,277.16,992,100,278.71,280.37,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2795800,0.009004084,168,1583179200,279.13,274.42,993,93,278.15,280.15,5.1,310,100,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583182800,278.71,273.32,994,87,277.59,279.82,5.7,310,100,500,Rain,light rain,10n
Count: 168,200,2795800,0.009004084,168,1583186400,278.11,273.91,995,93,277.04,279.26,4.1,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2795800,0.009004084,168,1583190000,277.49,273.52,997,93,276.48,278.71,3.6,270,100,804,Clouds,overcast clouds,04n
