message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2793446,0.006363413,168,1583017200,278.24,268.99,995,80,277.04,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583020800,278.45,270.71,995,80,277.04,279.82,8.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583024400,278.44,269.08,995,75,277.04,279.82,10.8,220,61,500,Rain,light rain,10n
Count: 168,200,2793446,0.006363413,168,1583028000,278.59,270.3,995,75,277.04,279.82,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2793446,0.006363413,168,1583031600,278.69,269.92,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583035200,278.95,271.14,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2793446,0.006363413,168,1583038800,279.35,271.6,994,75,278.15,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793446,0.006363413,168,1583042400,279.19,269.95,994,75,277.04,280.37,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2793446,0.006363413,168,1583046000,279.18,270.99,994,75,277.04,280.37,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2793446,0.006363413,168,1583049600,279.67,271.56,994,75,278.15,280.37,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793446,0.006363413,168,1583053200,280.13,271.74,995,75,278.71,280.93,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793446,0.006363413,168,1583056800,280.93,272.16,995,70,279.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2793446,0.006363413,168,1583060400,281.8,271.94,995,65,280.15,283.15,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793446,0.006363413,168,1583064000,282.34,272.42,995,61,280.93,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793446,0.006363413,168,1583067600,282.63,273.3,994,57,281.15,283.71,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793446,0.006363413,168,1583071200,282.64,274.78,994,57,281.15,284.26,8.7,230,67,500,Rain,light rain,10d
Count: 168,200,2793446,0.006363413,168,1583074800,282.65,275.65,993,61,281.15,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793446,0.006363413,168,1583078400,282.04,275.48,992,66,279.82,283.15,7.2,210,67,500,Rain,light rain,10d
Count: 168,200,2793446,0.006363413,168,1583082000,281.33,276.02,992,75,279.82,282.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2793446,0.006363413,168,1583085600,280.1,276.25,992,81,278.15,282.04,3.6,210,75,501,Rain,moderate rain,10n
Count: 168,200,2793446,0.006363413,168,1583089200,279.4,275.8,992,93,276.48,281.48,3.6,200,90,501,Rain,moderate rain,10n
Count: 168,200,2793446,0.006363413,168,1583092800,278.89,275.54,992,93,276.48,281.48,3.1,190,90,500,Rain,light rain,10n
Count: 168,200,2793446,0.006363413,168,1583096400,278.55,274.99,992,100,275.93,281.48,3.6,220,100,500,Rain,light rain,10n
Count: 168,200,2793446,0.006363413,168,1583100000,278.37,273.87,993,93,276.48,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583103600,278.14,272.82,994,93,276.48,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793446,0.006363413,168,1583107200,277.76,271.48,994,86,276.48,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583110800,277.37,271.21,994,93,275.93,278.15,6.7,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583114400,277.09,270.35,994,86,275.37,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583118000,277.04,271.17,993,93,275.93,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2793446,0.006363413,168,1583121600,277.18,271.5,992,86,275.37,278.15,5.7,180,33,802,Clouds,scattered clouds,03n
Count: 168,200,2793446,0.006363413,168,1583125200,277.31,272.42,991,86,275.93,278.71,4.6,180,67,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583128800,277.64,272.29,990,80,275.93,278.71,5.1,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583132400,278.01,272.72,990,80,277.04,279.15,5.1,180,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793446,0.006363413,168,1583136000,278.91,274.15,990,81,277.59,280.37,4.6,170,100,500,Rain,light rain,10d
Count: 168,200,2793446,0.006363413,168,1583139600,279.83,276.28,989,81,278.71,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2793446,0.006363413,168,1583143200,280.69,275.13,989,81,279.15,281.48,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793446,0.006363413,168,1583146800,281.7,276.11,988,75,280.15,283.71,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793446,0.006363413,168,1583150400,281.94,276.4,988,75,280.93,283.15,6.2,200,90,500,Rain,light rain,10d
Count: 168,200,2793446,0.006363413,168,1583154000,282.06,278.24,988,81,281.15,283.15,4.1,200,90,500,Rain,light rain,10d
Count: 168,200,2793446,0.006363413,168,1583157600,281.71,279.98,987,81,280.15,282.59,1.0,240,75,500,Rain,light rain,10d
Count: 168,200,2793446,0.006363413,168,1583161200,281.28,278.79,988,81,280.15,282.15,1.97,170,90,501,Rain,moderate rain,10d
Count: 168,200,2793446,0.006363413,168,1583164800,280.82,279.68,989,93,279.82,282.04,0.5,240,75,501,Rain,moderate rain,10d
Count: 168,200,2793446,0.006363413,168,1583168400,280.28,278.14,989,100,279.15,281.48,2.1,240,75,500,Rain,light rain,10d
Count: 168,200,2793446,0.006363413,168,1583172000,279.95,278.28,990,93,278.71,281.48,1.0,230,75,500,Rain,light rain,10n
Count: 168,200,2793446,0.006363413,168,1583175600,279.45,276.08,991,100,278.15,280.37,3.6,220,75,501,Rain,moderate rain,10n
Count: 168,200,2793446,0.006363413,168,1583179200,279.21,275.78,992,100,278.15,280.93,3.6,280,75,500,Rain,light rain,10n
Count: 168,200,2793446,0.006363413,168,1583182800,278.84,276.39,993,100,277.59,279.82,2.1,280,75,500,Rain,light rain,10n
Count: 168,200,2793446,0.006363413,168,1583186400,278.36,273.08,994,93,277.04,279.26,5.7,300,75,301,Drizzle,drizzle,09n
Count: 168,200,2793446,0.006363413,168,1583190000,277.84,273.94,996,93,276.48,279.26,3.6,280,90,500,Rain,light rain,10n
Count: 168,200,2793446,0.006363413,168,1583193600,277.14,273.27,997,86,275.37,278.15,3.1,270,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793446,0.006363413,168,1583197200,276.67,272.91,998,93,275.93,278.15,3.1,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2793446,0.006363413,168,1583200800,276.33,272.51,998,93,274.82,277.15,3.1,230,69,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583204400,276.1,271.55,999,93,274.82,277.15,4.1,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2793446,0.006363413,168,1583208000,275.59,270.95,1000,93,274.26,276.48,4.1,230,69,803,Clouds,broken clouds,04n
Count: 168,200,2793446,0.006363413,168,1583211600,275.35,270.33,1000,93,274.15,276.15,4.6,220,34,802,Clouds,scattered clouds,03n
Count: 168,200,2793446,0.006363413,168,1583215200,275.03,269.82,1001,87,273.71,276.15,4.6,230,34,802,Clouds,scattered clouds,03n
Count: 168,200,2793446,0.006363413,168,1583218800,274.93,269.7,1001,87,273.71,276.15,4.6,210,34,802,Clouds,scattered clouds,03d
Count: 168,200,2793446,0.006363413,168,1583222400,276.3,270.66,1002,93,274.82,278.15,5.7,210,0,800,Clear,clear sky,01d
