message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2791961,0.033488665,168,1583017200,278.31,269.08,995,80,277.04,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583020800,278.48,270.74,995,80,277.04,279.82,8.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583024400,278.5,269.15,995,75,277.04,279.82,10.8,220,61,500,Rain,light rain,10n
Count: 168,200,2791961,0.033488665,168,1583028000,278.63,270.35,995,75,277.04,279.82,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2791961,0.033488665,168,1583031600,278.73,269.97,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583035200,278.98,271.17,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2791961,0.033488665,168,1583038800,279.38,271.64,994,75,278.15,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791961,0.033488665,168,1583042400,279.26,270.03,994,75,277.04,280.37,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2791961,0.033488665,168,1583046000,279.24,271.06,994,75,277.04,280.37,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2791961,0.033488665,168,1583049600,279.68,271.57,994,75,278.15,280.93,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791961,0.033488665,168,1583053200,280.18,271.8,995,75,278.71,282.04,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791961,0.033488665,168,1583056800,280.97,272.2,995,70,279.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2791961,0.033488665,168,1583060400,281.83,271.98,995,65,280.15,283.15,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791961,0.033488665,168,1583064000,282.39,272.48,995,61,280.93,284.26,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791961,0.033488665,168,1583067600,282.7,273.38,994,57,281.15,284.26,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2791961,0.033488665,168,1583071200,282.68,274.82,994,57,281.15,284.26,8.7,230,67,500,Rain,light rain,10d
Count: 168,200,2791961,0.033488665,168,1583074800,282.74,275.75,993,61,281.15,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791961,0.033488665,168,1583078400,282.2,275.67,992,66,279.82,284.26,7.2,210,67,500,Rain,light rain,10d
Count: 168,200,2791961,0.033488665,168,1583082000,281.44,276.15,992,75,279.82,283.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2791961,0.033488665,168,1583085600,280.26,276.43,992,81,278.15,282.15,3.6,210,75,301,Drizzle,drizzle,09n
Count: 168,200,2791961,0.033488665,168,1583089200,279.47,275.88,992,93,276.48,281.48,3.6,200,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2791961,0.033488665,168,1583092800,278.93,275.58,992,93,276.48,281.48,3.1,190,90,311,Drizzle,drizzle rain,09n
Count: 168,200,2791961,0.033488665,168,1583096400,278.56,275.0,992,100,275.93,281.48,3.6,220,100,500,Rain,light rain,10n
Count: 168,200,2791961,0.033488665,168,1583100000,278.36,273.85,993,93,276.48,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583103600,278.16,272.85,994,93,276.48,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791961,0.033488665,168,1583107200,277.85,271.58,994,86,276.48,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583110800,277.46,271.32,994,93,275.93,278.15,6.7,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583114400,277.16,270.43,994,86,275.37,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583118000,277.01,271.14,993,93,275.93,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2791961,0.033488665,168,1583121600,277.14,271.45,992,86,275.37,278.15,5.7,180,33,802,Clouds,scattered clouds,03n
Count: 168,200,2791961,0.033488665,168,1583125200,277.23,272.33,991,86,275.93,278.71,4.6,180,67,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583128800,277.54,272.17,990,80,275.93,278.71,5.1,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2791961,0.033488665,168,1583132400,277.93,272.63,990,80,276.15,279.15,5.1,180,40,802,Clouds,scattered clouds,03d
Count: 168,200,2791961,0.033488665,168,1583136000,278.81,274.03,990,81,277.15,280.37,4.6,170,100,500,Rain,light rain,10d
Count: 168,200,2791961,0.033488665,168,1583139600,279.71,276.13,989,81,278.15,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2791961,0.033488665,168,1583143200,280.58,274.99,989,81,279.15,281.48,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791961,0.033488665,168,1583146800,281.6,275.99,988,75,280.15,283.71,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791961,0.033488665,168,1583150400,281.9,276.35,988,75,280.93,283.15,6.2,200,90,500,Rain,light rain,10d
Count: 168,200,2791961,0.033488665,168,1583154000,282.09,278.27,988,81,281.15,283.71,4.1,200,90,500,Rain,light rain,10d
Count: 168,200,2791961,0.033488665,168,1583157600,281.75,280.03,987,81,280.15,283.15,1.0,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2791961,0.033488665,168,1583161200,281.43,278.97,988,81,280.15,283.15,1.97,170,90,500,Rain,light rain,10d
Count: 168,200,2791961,0.033488665,168,1583164800,280.88,279.76,989,93,279.82,282.59,0.5,240,75,501,Rain,moderate rain,10d
Count: 168,200,2791961,0.033488665,168,1583168400,280.35,278.23,989,100,279.15,281.48,2.1,240,75,500,Rain,light rain,10d
Count: 168,200,2791961,0.033488665,168,1583172000,280.0,278.34,990,93,278.71,281.48,1.0,230,75,500,Rain,light rain,10n
