message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2791964,0.031309771,168,1583017200,278.3,271.93,994,80,277.04,279.82,6.7,220,70,500,Rain,light rain,10n
Count: 168,200,2791964,0.031309771,168,1583020800,278.53,270.8,995,80,277.59,279.82,8.7,220,70,500,Rain,light rain,10n
Count: 168,200,2791964,0.031309771,168,1583024400,278.52,269.17,995,75,277.04,279.82,10.8,220,44,500,Rain,light rain,10n
Count: 168,200,2791964,0.031309771,168,1583028000,278.7,270.43,995,75,278.15,279.82,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2791964,0.031309771,168,1583031600,278.76,270.0,994,70,278.15,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2791964,0.031309771,168,1583035200,278.96,271.15,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2791964,0.031309771,168,1583038800,279.36,271.62,994,75,278.15,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791964,0.031309771,168,1583042400,279.33,270.11,994,75,278.15,280.37,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2791964,0.031309771,168,1583046000,279.33,271.16,994,75,277.59,280.37,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2791964,0.031309771,168,1583049600,279.7,271.59,994,75,278.15,280.93,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791964,0.031309771,168,1583053200,280.24,271.87,995,75,278.71,282.04,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791964,0.031309771,168,1583056800,280.97,272.2,995,70,279.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2791964,0.031309771,168,1583060400,281.79,271.93,995,65,280.15,283.15,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791964,0.031309771,168,1583064000,282.31,272.38,995,61,280.93,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2791964,0.031309771,168,1583067600,282.73,273.41,994,57,281.15,284.26,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2791964,0.031309771,168,1583071200,282.7,274.85,994,57,281.15,284.26,8.7,230,67,803,Clouds,broken clouds,04d
Count: 168,200,2791964,0.031309771,168,1583074800,282.77,275.79,993,61,281.15,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791964,0.031309771,168,1583078400,282.25,275.72,992,66,280.37,283.71,7.2,210,67,803,Clouds,broken clouds,04d
Count: 168,200,2791964,0.031309771,168,1583082000,281.49,276.21,992,75,279.82,283.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2791964,0.031309771,168,1583085600,280.32,276.51,992,81,278.15,282.15,3.6,210,75,301,Drizzle,drizzle,09n
Count: 168,200,2791964,0.031309771,168,1583089200,279.6,276.04,992,93,277.04,281.48,3.6,200,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2791964,0.031309771,168,1583092800,279.02,275.69,992,93,276.48,281.48,3.1,190,90,311,Drizzle,drizzle rain,09n
Count: 168,200,2791964,0.031309771,168,1583096400,278.57,275.01,992,100,275.93,280.15,3.6,220,100,501,Rain,moderate rain,10n
Count: 168,200,2791964,0.031309771,168,1583100000,278.45,273.96,993,93,276.48,280.15,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2791964,0.031309771,168,1583103600,278.19,272.88,994,93,276.48,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2791964,0.031309771,168,1583107200,277.87,271.61,994,86,276.15,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2791964,0.031309771,168,1583110800,277.49,271.35,994,93,275.93,278.15,6.7,200,100,804,Clouds,overcast clouds,04n
Count: 168,200,2791964,0.031309771,168,1583114400,277.25,270.53,994,86,275.93,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2791964,0.031309771,168,1583118000,277.01,271.14,993,93,275.93,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2791964,0.031309771,168,1583121600,277.13,271.44,992,86,276.48,278.15,5.7,180,34,802,Clouds,scattered clouds,03n
Count: 168,200,2791964,0.031309771,168,1583125200,277.18,272.27,991,86,275.93,278.71,4.6,180,67,803,Clouds,broken clouds,04n
Count: 168,200,2791964,0.031309771,168,1583128800,277.48,272.11,990,80,275.93,278.71,5.1,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2791964,0.031309771,168,1583132400,277.89,272.58,990,80,277.04,279.15,5.1,180,40,802,Clouds,scattered clouds,03d
Count: 168,200,2791964,0.031309771,168,1583136000,278.64,273.83,990,81,277.15,279.82,4.6,170,100,804,Clouds,overcast clouds,04d
Count: 168,200,2791964,0.031309771,168,1583139600,279.61,276.02,989,81,278.15,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2791964,0.031309771,168,1583143200,280.49,274.89,989,81,279.15,281.48,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791964,0.031309771,168,1583146800,281.47,275.84,988,75,280.15,283.15,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2791964,0.031309771,168,1583150400,281.85,276.29,988,75,280.93,283.15,6.2,200,90,500,Rain,light rain,10d
Count: 168,200,2791964,0.031309771,168,1583154000,282.07,278.25,988,81,280.93,283.15,4.1,200,90,500,Rain,light rain,10d
Count: 168,200,2791964,0.031309771,168,1583157600,281.84,280.14,987,81,280.93,283.15,1.0,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2791964,0.031309771,168,1583161200,281.52,277.22,988,81,280.15,283.15,4.63,165,90,500,Rain,light rain,10d
Count: 168,200,2791964,0.031309771,168,1583164800,280.95,279.84,989,93,279.82,282.15,0.5,240,75,501,Rain,moderate rain,10d
Count: 168,200,2791964,0.031309771,168,1583168400,280.41,278.3,989,100,279.15,281.48,2.1,240,75,500,Rain,light rain,10d
Count: 168,200,2791964,0.031309771,168,1583172000,280.09,278.45,990,93,278.71,281.48,1.0,230,75,500,Rain,light rain,10n
Count: 168,200,2791964,0.031309771,168,1583175600,279.59,276.25,991,100,278.15,280.93,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2791964,0.031309771,168,1583179200,279.32,276.62,992,100,278.15,280.37,2.6,230,75,500,Rain,light rain,10n
Count: 168,200,2791964,0.031309771,168,1583182800,279.0,276.58,993,100,277.59,280.15,2.1,280,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2791964,0.031309771,168,1583186400,278.53,274.41,995,93,277.04,279.82,4.1,280,75,803,Clouds,broken clouds,04n
