message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2795648,0.006397747,168,1583017200,278.22,271.84,994,80,277.04,279.26,6.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2795648,0.006397747,168,1583020800,278.43,270.69,995,80,277.04,279.82,8.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2795648,0.006397747,168,1583024400,278.43,269.07,995,75,277.04,279.82,10.8,220,61,500,Rain,light rain,10n
Count: 168,200,2795648,0.006397747,168,1583028000,278.6,270.32,995,75,277.04,279.82,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2795648,0.006397747,168,1583031600,278.71,269.94,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2795648,0.006397747,168,1583035200,279.02,271.22,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2795648,0.006397747,168,1583038800,279.39,271.65,994,75,278.15,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2795648,0.006397747,168,1583042400,279.2,269.96,994,75,277.04,280.15,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2795648,0.006397747,168,1583046000,279.19,271.0,994,75,277.04,280.15,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2795648,0.006397747,168,1583049600,279.66,271.54,994,75,278.15,280.37,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2795648,0.006397747,168,1583053200,280.1,271.71,995,75,278.71,280.93,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2795648,0.006397747,168,1583056800,280.86,272.08,995,70,279.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2795648,0.006397747,168,1583060400,281.75,271.88,995,65,280.15,283.15,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2795648,0.006397747,168,1583064000,282.31,272.38,995,61,280.93,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2795648,0.006397747,168,1583067600,282.5,273.15,994,57,281.15,283.71,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2795648,0.006397747,168,1583071200,282.55,274.68,994,57,281.15,284.26,8.7,230,67,500,Rain,light rain,10d
Count: 168,200,2795648,0.006397747,168,1583074800,282.59,275.58,993,61,281.15,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2795648,0.006397747,168,1583078400,282.03,275.47,992,66,279.82,283.15,7.2,210,67,500,Rain,light rain,10d
Count: 168,200,2795648,0.006397747,168,1583082000,281.34,276.04,992,75,279.82,282.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2795648,0.006397747,168,1583085600,280.18,276.34,992,81,278.15,282.04,3.6,210,75,301,Drizzle,drizzle,09n
