message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788088,0.037989851,168,1583017200,278.2,268.95,995,80,277.04,279.26,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788088,0.037989851,168,1583020800,278.44,270.7,995,80,277.04,279.82,8.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2788088,0.037989851,168,1583024400,278.43,269.07,995,75,277.04,279.82,10.8,220,61,500,Rain,light rain,10n
Count: 168,200,2788088,0.037989851,168,1583028000,278.58,270.29,995,75,277.04,279.82,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2788088,0.037989851,168,1583031600,278.72,269.95,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788088,0.037989851,168,1583035200,278.97,271.16,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788088,0.037989851,168,1583038800,279.36,271.62,994,75,278.15,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788088,0.037989851,168,1583042400,279.16,269.91,994,75,277.04,280.15,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2788088,0.037989851,168,1583046000,279.16,270.96,994,75,277.04,280.15,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788088,0.037989851,168,1583049600,279.67,271.56,994,75,278.15,280.37,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788088,0.037989851,168,1583053200,280.09,271.7,995,75,278.71,280.93,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788088,0.037989851,168,1583056800,280.92,272.15,995,70,279.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788088,0.037989851,168,1583060400,281.82,271.96,995,65,280.15,283.15,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788088,0.037989851,168,1583064000,282.34,272.42,995,61,280.93,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788088,0.037989851,168,1583067600,282.56,273.22,994,57,281.15,283.71,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788088,0.037989851,168,1583071200,282.6,274.73,994,57,281.15,284.26,8.7,230,67,500,Rain,light rain,10d
Count: 168,200,2788088,0.037989851,168,1583074800,282.62,275.61,993,61,281.15,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788088,0.037989851,168,1583078400,281.97,275.4,992,66,279.82,283.15,7.2,210,67,500,Rain,light rain,10d
Count: 168,200,2788088,0.037989851,168,1583082000,281.23,275.91,992,75,279.82,282.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2788088,0.037989851,168,1583085600,279.93,276.04,992,81,277.04,282.04,3.6,210,75,501,Rain,moderate rain,10n
Count: 168,200,2788088,0.037989851,168,1583089200,279.3,275.68,992,93,276.48,281.48,3.6,200,90,501,Rain,moderate rain,10n
Count: 168,200,2788088,0.037989851,168,1583092800,278.83,275.46,992,93,276.48,281.48,3.1,190,90,500,Rain,light rain,10n
Count: 168,200,2788088,0.037989851,168,1583096400,278.48,274.9,992,100,275.93,281.48,3.6,220,100,500,Rain,light rain,10n
Count: 168,200,2788088,0.037989851,168,1583100000,278.33,273.82,993,93,276.48,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788088,0.037989851,168,1583103600,278.15,272.83,994,93,276.48,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788088,0.037989851,168,1583107200,277.72,271.43,994,86,276.48,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788088,0.037989851,168,1583110800,277.31,271.14,994,93,275.93,278.15,6.7,200,83,803,Clouds,broken clouds,04n
Count: 168,200,2788088,0.037989851,168,1583114400,277.07,270.32,994,86,275.37,277.59,7.2,200,75,803,Clouds,broken clouds,04n
