message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2792856,0.038148529,168,1583017200,278.37,272.02,994,80,277.59,279.26,6.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583020800,278.56,271.89,994,80,277.59,279.26,7.2,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583024400,278.62,272.16,994,75,277.59,279.26,6.7,210,61,500,Rain,light rain,10n
Count: 168,200,2792856,0.038148529,168,1583028000,278.74,272.3,994,75,278.15,279.26,6.7,210,69,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583031600,278.85,271.72,994,75,278.15,279.82,7.7,210,69,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583035200,279.15,273.32,994,70,278.15,279.82,5.7,220,69,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583038800,279.42,273.09,994,75,278.71,280.37,6.7,220,85,804,Clouds,overcast clouds,04n
Count: 168,200,2792856,0.038148529,168,1583042400,279.3,271.74,993,70,278.15,280.37,8.2,220,85,804,Clouds,overcast clouds,04n
Count: 168,200,2792856,0.038148529,168,1583046000,279.41,272.22,993,70,278.71,280.15,7.7,220,85,804,Clouds,overcast clouds,04d
Count: 168,200,2792856,0.038148529,168,1583049600,279.73,272.75,993,75,278.71,280.37,7.7,220,100,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583053200,280.16,272.73,994,70,279.15,280.93,8.2,220,100,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583056800,280.84,273.0,994,65,280.15,281.48,8.7,220,100,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583060400,281.76,272.8,994,61,280.37,283.15,10.3,220,92,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583064000,282.38,273.71,994,57,281.48,283.15,9.8,230,94,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583067600,282.51,273.08,994,55,281.48,283.15,10.8,220,96,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583071200,282.58,275.41,993,57,281.48,283.71,7.7,220,67,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583074800,282.65,276.89,993,57,282.04,283.71,5.7,220,67,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583078400,282.27,277.92,992,57,281.48,283.15,3.6,220,67,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583082000,281.61,276.47,991,57,280.37,282.15,4.6,230,83,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583085600,280.64,278.33,991,70,279.26,282.04,1.0,0,83,500,Rain,light rain,10n
Count: 168,200,2792856,0.038148529,168,1583089200,280.03,276.86,992,81,278.71,281.48,2.6,200,83,500,Rain,light rain,10n
Count: 168,200,2792856,0.038148529,168,1583092800,279.64,276.94,992,87,278.15,281.15,2.1,210,100,500,Rain,light rain,10n
Count: 168,200,2792856,0.038148529,168,1583096400,279.25,275.78,992,87,277.59,280.37,3.1,220,100,500,Rain,light rain,10n
Count: 168,200,2792856,0.038148529,168,1583100000,278.83,274.4,993,81,277.59,279.82,4.1,230,100,500,Rain,light rain,10n
Count: 168,200,2792856,0.038148529,168,1583103600,278.36,273.68,993,75,277.04,279.26,4.1,230,83,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583107200,277.99,273.39,993,80,277.04,279.26,4.1,210,83,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583110800,277.69,273.21,993,86,277.04,278.71,4.1,210,83,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583114400,277.38,272.85,993,86,276.48,278.15,4.1,200,33,802,Clouds,scattered clouds,03n
Count: 168,200,2792856,0.038148529,168,1583118000,277.32,273.13,992,86,276.15,278.15,3.6,190,33,802,Clouds,scattered clouds,03n
Count: 168,200,2792856,0.038148529,168,1583121600,277.53,273.73,992,86,276.48,278.71,3.1,180,33,802,Clouds,scattered clouds,03n
Count: 168,200,2792856,0.038148529,168,1583125200,277.83,274.43,991,86,276.48,279.26,2.6,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583128800,278.09,274.56,990,80,277.04,279.26,2.6,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583132400,278.25,273.72,989,93,277.04,279.26,4.6,150,90,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583136000,278.97,274.37,989,86,278.15,279.82,4.6,150,90,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583139600,279.76,275.34,989,87,278.71,280.93,4.6,150,90,520,Rain,light intensity shower rain,09d
Count: 168,200,2792856,0.038148529,168,1583143200,280.56,276.94,989,75,279.15,281.48,3.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2792856,0.038148529,168,1583146800,281.19,276.8,988,70,279.82,282.59,4.1,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2792856,0.038148529,168,1583150400,281.5,277.51,988,70,280.37,282.59,3.6,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2792856,0.038148529,168,1583154000,281.78,278.19,988,70,280.93,282.59,3.1,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2792856,0.038148529,168,1583157600,281.58,278.23,987,87,280.93,282.59,3.6,190,90,301,Drizzle,drizzle,09d
Count: 168,200,2792856,0.038148529,168,1583161200,281.31,277.9,988,87,280.37,282.15,3.6,190,90,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583164800,280.87,277.58,988,93,280.15,281.48,3.6,210,90,500,Rain,light rain,10d
Count: 168,200,2792856,0.038148529,168,1583168400,280.37,277.2,989,100,279.82,280.93,3.6,230,90,312,Drizzle,heavy intensity drizzle rain,09d
Count: 168,200,2792856,0.038148529,168,1583172000,280.01,276.34,991,87,279.15,280.93,3.6,260,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2792856,0.038148529,168,1583175600,279.52,275.11,991,100,278.71,280.37,5.1,290,90,301,Drizzle,drizzle,09n
Count: 168,200,2792856,0.038148529,168,1583179200,279.21,274.52,992,93,278.71,280.15,5.1,290,90,520,Rain,light intensity shower rain,09n
Count: 168,200,2792856,0.038148529,168,1583182800,278.8,274.03,993,93,278.15,279.82,5.1,290,90,804,Clouds,overcast clouds,04n
Count: 168,200,2792856,0.038148529,168,1583186400,278.16,273.97,995,93,277.04,279.26,4.1,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583190000,277.52,273.72,996,86,276.48,278.71,3.1,270,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792856,0.038148529,168,1583193600,276.99,272.94,997,93,275.93,278.15,3.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792856,0.038148529,168,1583197200,276.53,272.75,998,93,275.15,278.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2792856,0.038148529,168,1583200800,276.15,272.3,998,93,274.82,277.15,3.1,230,69,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583204400,275.99,272.99,999,100,274.82,277.15,2.1,220,69,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583208000,275.56,272.14,1000,100,274.82,276.48,2.6,210,69,803,Clouds,broken clouds,04n
Count: 168,200,2792856,0.038148529,168,1583211600,275.28,271.29,1000,93,274.15,276.48,3.1,220,34,802,Clouds,scattered clouds,03n
Count: 168,200,2792856,0.038148529,168,1583215200,274.97,271.1,1001,100,274.15,276.15,3.1,220,34,802,Clouds,scattered clouds,03n
