message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2789232,0.01061271,168,1583017200,278.23,271.85,994,80,277.04,279.26,6.7,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583020800,278.48,271.79,994,80,277.59,279.26,7.2,220,72,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583024400,278.56,272.09,994,75,277.59,279.26,6.7,210,61,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583028000,278.7,272.25,994,75,278.15,279.26,6.7,210,69,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583031600,278.75,271.61,994,75,277.59,279.82,7.7,210,69,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583035200,279.06,273.21,994,70,278.15,279.82,5.7,220,69,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583038800,279.42,273.09,994,75,278.71,280.37,6.7,220,85,804,Clouds,overcast clouds,04n
Count: 168,200,2789232,0.01061271,168,1583042400,279.23,271.66,993,70,278.15,280.37,8.2,220,85,804,Clouds,overcast clouds,04n
Count: 168,200,2789232,0.01061271,168,1583046000,279.29,272.08,993,70,278.15,280.37,7.7,220,85,804,Clouds,overcast clouds,04d
Count: 168,200,2789232,0.01061271,168,1583049600,279.75,272.77,993,75,278.71,280.37,7.7,220,100,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583053200,280.22,272.8,994,70,279.15,280.93,8.2,220,100,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583056800,280.87,273.03,994,65,279.82,281.48,8.7,220,100,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583060400,281.76,272.8,994,61,280.37,283.15,10.3,220,92,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583064000,282.35,273.68,994,57,281.48,283.15,9.8,230,92,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583067600,282.52,273.09,994,55,282.04,283.15,10.8,220,96,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583071200,282.59,275.42,993,57,282.04,283.71,7.7,220,67,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583074800,282.62,276.86,993,57,281.48,283.71,5.7,220,67,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583078400,282.26,277.91,992,57,281.15,283.15,3.6,220,67,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583082000,281.53,276.38,991,57,280.15,282.15,4.6,230,83,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583085600,280.45,278.11,991,70,278.71,282.04,1.0,0,83,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583089200,279.71,276.48,992,81,278.15,280.93,2.6,200,83,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583092800,279.39,276.65,992,87,277.59,280.93,2.1,210,100,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583096400,279.07,275.57,992,87,277.59,280.37,3.1,220,100,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583100000,278.75,274.31,993,81,277.59,279.82,4.1,230,100,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583103600,278.31,273.62,993,75,277.04,279.26,4.1,230,83,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583107200,277.87,273.26,993,80,276.48,279.26,4.1,210,83,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583110800,277.58,273.09,993,86,277.04,278.15,4.1,210,83,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583114400,277.24,272.69,993,86,275.93,278.15,4.1,200,33,802,Clouds,scattered clouds,03n
Count: 168,200,2789232,0.01061271,168,1583118000,277.18,272.97,992,86,276.15,278.15,3.6,190,33,802,Clouds,scattered clouds,03n
Count: 168,200,2789232,0.01061271,168,1583121600,277.33,273.5,992,86,276.48,278.71,3.1,180,33,802,Clouds,scattered clouds,03n
Count: 168,200,2789232,0.01061271,168,1583125200,277.53,274.08,991,86,275.93,279.26,2.6,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583128800,277.9,274.34,990,80,276.48,279.26,2.6,170,67,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583132400,278.08,274.9,990,80,277.04,279.26,2.1,160,90,804,Clouds,overcast clouds,04d
Count: 168,200,2789232,0.01061271,168,1583136000,278.82,275.44,989,81,277.59,279.82,2.6,160,75,803,Clouds,broken clouds,04d
Count: 168,200,2789232,0.01061271,168,1583139600,279.72,276.85,989,81,278.71,280.93,2.1,150,75,803,Clouds,broken clouds,04d
Count: 168,200,2789232,0.01061271,168,1583143200,280.56,276.94,989,75,279.15,281.48,3.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2789232,0.01061271,168,1583146800,281.38,277.02,988,70,280.15,282.59,4.1,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2789232,0.01061271,168,1583150400,281.65,277.69,988,70,280.93,282.59,3.6,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2789232,0.01061271,168,1583154000,281.88,278.31,988,70,280.93,282.59,3.1,200,90,804,Clouds,overcast clouds,04d
Count: 168,200,2789232,0.01061271,168,1583157600,281.67,279.17,988,81,280.93,282.59,2.1,180,90,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583161200,281.34,278.86,988,81,280.37,282.15,1.97,170,90,501,Rain,moderate rain,10d
Count: 168,200,2789232,0.01061271,168,1583164800,280.86,277.56,988,93,279.82,281.48,3.6,210,90,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583168400,280.34,278.22,989,100,279.82,280.93,2.1,240,75,500,Rain,light rain,10d
Count: 168,200,2789232,0.01061271,168,1583172000,280.02,277.24,991,93,279.15,280.93,2.6,220,75,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583175600,279.51,277.2,992,100,278.71,280.37,2.1,300,90,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583179200,279.21,277.25,992,100,278.71,280.15,1.5,250,90,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583182800,278.82,275.1,993,93,278.15,279.82,3.6,300,90,500,Rain,light rain,10n
Count: 168,200,2789232,0.01061271,168,1583186400,278.23,274.05,995,93,277.04,279.26,4.1,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583190000,277.6,273.81,996,86,276.48,278.71,3.1,270,100,804,Clouds,overcast clouds,04n
Count: 168,200,2789232,0.01061271,168,1583193600,277.01,272.96,997,93,275.93,278.15,3.6,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2789232,0.01061271,168,1583197200,276.47,272.68,998,93,275.15,278.15,3.1,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2789232,0.01061271,168,1583200800,276.11,272.26,998,93,274.82,277.15,3.1,230,69,803,Clouds,broken clouds,04n
Count: 168,200,2789232,0.01061271,168,1583204400,275.98,272.98,999,100,274.82,277.15,2.1,220,69,803,Clouds,broken clouds,04n
