message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2786824,0.038867996,168,1583017200,277.9,271.29,995,86,276.15,279.15,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786824,0.038867996,168,1583020800,278.14,269.93,995,80,277.04,279.15,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583024400,278.24,270.32,995,75,277.04,279.82,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583028000,278.42,270.11,996,75,277.04,279.82,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583031600,278.61,269.63,995,75,277.04,279.82,10.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583035200,278.8,270.55,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583038800,279.13,269.72,995,70,277.59,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583042400,278.83,270.03,995,80,277.04,280.15,10.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583046000,278.76,271.77,994,80,277.04,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583049600,279.38,272.15,995,80,278.15,280.37,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583053200,279.73,270.93,995,75,278.71,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583056800,280.69,270.83,995,70,279.15,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786824,0.038867996,168,1583060400,281.61,272.07,995,65,280.15,283.15,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786824,0.038867996,168,1583064000,282.21,273.39,995,63,280.93,283.71,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583067600,282.42,274.34,995,63,281.15,283.71,9.3,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786824,0.038867996,168,1583071200,282.29,274.53,994,61,279.82,283.71,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786824,0.038867996,168,1583074800,282.24,275.32,993,65,279.26,283.71,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583078400,281.47,276.96,992,75,278.15,283.15,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583082000,280.43,275.73,991,75,277.59,282.15,4.6,190,75,500,Rain,light rain,10d
Count: 168,200,2786824,0.038867996,168,1583085600,279.08,276.46,992,93,275.93,281.48,2.1,280,75,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583089200,278.75,275.86,992,86,275.37,281.48,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2786824,0.038867996,168,1583092800,278.29,275.52,992,93,275.37,281.48,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583096400,277.9,274.01,992,93,275.93,279.26,3.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583100000,277.99,272.29,993,93,275.93,279.26,6.2,240,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786824,0.038867996,168,1583103600,277.8,271.72,994,93,275.93,279.15,6.7,230,95,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583107200,277.46,270.78,994,86,276.48,278.15,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583110800,277.13,270.58,994,93,275.93,278.15,7.2,200,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583114400,276.94,270.52,994,86,275.37,277.59,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583118000,277.07,270.32,993,86,275.93,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583121600,277.23,271.21,992,86,275.37,278.15,6.2,170,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786824,0.038867996,168,1583125200,277.36,271.36,991,86,275.93,278.71,6.2,170,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583128800,277.74,272.15,990,86,275.93,279.82,5.7,170,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583132400,278.16,273.24,990,80,277.04,279.82,4.6,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583136000,279.01,274.07,989,86,277.59,280.37,5.1,170,20,801,Clouds,few clouds,02d
Count: 168,200,2786824,0.038867996,168,1583139600,279.92,274.21,989,81,278.71,280.93,6.2,180,20,801,Clouds,few clouds,02d
Count: 168,200,2786824,0.038867996,168,1583143200,280.72,274.81,989,81,279.15,281.48,6.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583146800,281.74,276.73,988,81,280.15,283.71,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583150400,281.9,276.35,988,75,280.93,282.59,6.2,200,90,500,Rain,light rain,10d
Count: 168,200,2786824,0.038867996,168,1583154000,281.85,277.06,987,75,280.93,282.59,5.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583157600,281.54,278.31,987,81,280.15,282.59,3.1,220,75,500,Rain,light rain,10d
Count: 168,200,2786824,0.038867996,168,1583161200,281.07,278.17,988,93,279.82,282.15,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2786824,0.038867996,168,1583164800,280.6,277.6,989,93,279.26,281.48,3.1,240,75,500,Rain,light rain,10d
Count: 168,200,2786824,0.038867996,168,1583168400,280.04,276.57,989,93,279.15,280.93,3.6,220,75,500,Rain,light rain,10d
Count: 168,200,2786824,0.038867996,168,1583172000,279.8,276.28,990,93,278.71,281.48,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583175600,279.35,275.74,991,93,278.15,280.37,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583179200,279.01,275.19,992,100,277.59,280.93,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583182800,278.63,274.53,993,93,277.04,279.26,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583186400,278.07,272.19,995,86,275.93,279.26,6.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2786824,0.038867996,168,1583190000,277.61,272.77,996,86,276.48,279.15,4.6,280,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583193600,277.1,272.71,997,93,276.48,278.15,4.1,270,100,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583197200,276.62,271.45,998,93,275.93,278.15,5.1,250,100,500,Rain,light rain,10n
Count: 168,200,2786824,0.038867996,168,1583200800,276.29,272.12,999,93,274.82,277.15,3.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583204400,275.88,270.94,999,93,274.15,277.15,4.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583208000,275.46,270.45,1000,93,274.15,276.48,4.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583211600,275.26,269.47,1001,94,274.15,276.15,5.7,230,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786824,0.038867996,168,1583215200,275.07,269.67,1001,94,274.15,276.15,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786824,0.038867996,168,1583218800,274.94,269.1,1001,94,273.71,276.15,5.7,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786824,0.038867996,168,1583222400,276.11,271.41,1002,87,274.82,278.15,4.1,190,20,801,Clouds,few clouds,02d
Count: 168,200,2786824,0.038867996,168,1583226000,277.29,271.47,1002,93,275.15,279.26,6.2,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786824,0.038867996,168,1583229600,278.13,271.91,1002,86,277.15,279.82,6.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583233200,278.98,272.73,1003,80,277.15,280.37,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583236800,279.61,274.01,1003,75,278.15,280.93,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786824,0.038867996,168,1583240400,279.93,274.38,1003,75,278.15,280.93,5.7,240,40,802,Clouds,scattered clouds,03d
