message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2798307,0.032595497,168,1583017200,278.01,271.42,995,86,277.04,279.15,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2798307,0.032595497,168,1583020800,278.14,269.93,995,80,277.04,279.15,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583024400,278.22,270.3,995,75,277.04,279.82,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583028000,278.45,270.14,996,75,277.04,279.82,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583031600,278.62,269.64,995,75,277.04,279.82,10.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583035200,278.84,270.59,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583038800,279.12,269.71,995,70,277.59,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583042400,278.93,270.15,995,80,277.04,280.15,10.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583046000,278.81,271.83,994,80,277.04,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583049600,279.33,272.09,995,80,277.15,280.37,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583053200,279.71,270.9,995,75,278.15,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583056800,280.62,270.75,995,70,279.15,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2798307,0.032595497,168,1583060400,281.56,272.01,995,65,280.15,283.15,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2798307,0.032595497,168,1583064000,282.09,273.25,995,63,280.15,283.71,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583067600,282.36,274.27,995,63,280.15,283.71,9.3,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2798307,0.032595497,168,1583071200,282.22,274.45,994,61,279.82,283.71,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2798307,0.032595497,168,1583074800,282.19,275.27,993,65,279.26,283.71,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583078400,281.46,276.95,992,75,278.15,283.15,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583082000,280.26,275.54,991,75,277.15,282.15,4.6,190,75,500,Rain,light rain,10d
Count: 168,200,2798307,0.032595497,168,1583085600,279.14,276.53,992,93,275.93,281.48,2.1,280,75,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583089200,278.78,275.89,992,86,275.37,281.48,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2798307,0.032595497,168,1583092800,278.46,275.72,992,93,275.37,281.48,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583096400,278.08,274.22,992,93,275.93,279.82,3.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583100000,278.05,272.37,993,93,275.93,279.26,6.2,240,40,802,Clouds,scattered clouds,03n
Count: 168,200,2798307,0.032595497,168,1583103600,277.8,271.72,994,93,275.93,279.15,6.7,230,95,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583107200,277.42,270.73,994,86,276.15,278.15,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583110800,277.11,270.56,994,93,275.93,278.15,7.2,200,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583114400,276.95,270.53,994,86,275.37,277.59,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583118000,277.15,270.42,993,86,275.93,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583121600,277.36,271.36,992,86,275.37,278.15,6.2,170,40,802,Clouds,scattered clouds,03n
Count: 168,200,2798307,0.032595497,168,1583125200,277.49,271.51,991,86,275.93,278.71,6.2,170,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583128800,277.82,272.25,990,86,275.93,279.82,5.7,170,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583132400,278.16,273.24,990,80,277.04,279.82,4.6,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583136000,278.96,274.01,989,86,277.15,280.37,5.1,170,20,801,Clouds,few clouds,02d
Count: 168,200,2798307,0.032595497,168,1583139600,279.87,274.15,989,81,278.15,280.93,6.2,180,20,801,Clouds,few clouds,02d
Count: 168,200,2798307,0.032595497,168,1583143200,280.58,274.64,989,81,278.15,281.48,6.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583146800,281.64,276.61,988,81,280.15,283.71,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583150400,281.68,276.09,988,75,279.15,282.59,6.2,200,90,500,Rain,light rain,10d
Count: 168,200,2798307,0.032595497,168,1583154000,281.79,276.99,987,75,280.37,282.59,5.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2798307,0.032595497,168,1583157600,281.34,278.07,987,81,279.15,282.59,3.1,220,75,500,Rain,light rain,10d
Count: 168,200,2798307,0.032595497,168,1583161200,280.94,278.01,988,93,279.15,282.15,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2798307,0.032595497,168,1583164800,280.53,277.51,989,93,279.15,281.48,3.1,240,75,500,Rain,light rain,10d
Count: 168,200,2798307,0.032595497,168,1583168400,279.94,276.45,989,93,278.15,280.93,3.6,220,75,500,Rain,light rain,10d
Count: 168,200,2798307,0.032595497,168,1583172000,279.74,276.21,990,93,278.15,281.48,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583175600,279.25,275.62,991,93,278.15,280.37,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583179200,278.84,274.99,992,100,277.59,279.82,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583182800,278.53,274.41,993,93,277.04,279.26,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583186400,277.96,272.06,995,86,275.93,279.26,6.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2798307,0.032595497,168,1583190000,277.43,272.56,996,86,275.93,279.15,4.6,280,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583193600,276.95,272.54,997,93,275.93,278.15,4.1,270,100,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583197200,276.51,271.32,998,93,275.37,278.15,5.1,250,100,500,Rain,light rain,10n
Count: 168,200,2798307,0.032595497,168,1583200800,276.18,271.99,999,93,274.82,277.15,3.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2798307,0.032595497,168,1583204400,275.76,270.8,999,93,274.15,277.15,4.6,240,20,801,Clouds,few clouds,02n
