message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2795113,0.005090576,168,1583017200,278.12,271.55,995,86,277.04,279.26,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2795113,0.005090576,168,1583020800,278.22,270.02,995,80,277.04,279.26,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583024400,278.27,270.35,995,75,277.04,279.82,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583028000,278.54,270.25,996,75,277.04,279.82,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583031600,278.75,269.79,995,75,278.15,279.82,10.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583035200,278.93,270.7,994,75,277.59,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583038800,279.17,269.77,995,70,277.59,280.37,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583042400,278.94,270.16,995,80,277.04,280.15,10.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583046000,278.86,271.89,994,80,277.04,280.15,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583049600,279.31,272.06,995,80,277.15,280.37,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583053200,279.72,270.91,995,75,278.15,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583056800,280.55,270.67,995,70,279.15,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2795113,0.005090576,168,1583060400,281.53,271.98,995,65,280.15,283.15,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2795113,0.005090576,168,1583064000,282.02,273.21,995,64,280.15,283.71,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583067600,282.21,274.17,995,65,280.15,283.71,9.3,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2795113,0.005090576,168,1583071200,282.19,274.41,994,61,279.82,283.71,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2795113,0.005090576,168,1583074800,282.24,275.32,993,65,280.15,283.71,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583078400,281.55,277.05,992,75,279.15,283.15,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583082000,280.59,275.92,991,75,277.59,282.15,4.6,190,75,500,Rain,light rain,10d
Count: 168,200,2795113,0.005090576,168,1583085600,279.44,276.89,992,93,276.15,281.48,2.1,280,75,500,Rain,light rain,10n
Count: 168,200,2795113,0.005090576,168,1583089200,278.97,276.12,992,86,276.15,281.48,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2795113,0.005090576,168,1583092800,278.59,275.88,992,93,275.37,281.48,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2795113,0.005090576,168,1583096400,278.37,274.57,992,93,275.93,281.48,3.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583100000,278.15,272.48,993,93,275.93,279.82,6.2,240,40,802,Clouds,scattered clouds,03n
Count: 168,200,2795113,0.005090576,168,1583103600,277.84,271.77,994,93,275.93,279.26,6.7,230,67,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583107200,277.43,270.74,994,86,276.15,278.71,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583110800,277.14,270.59,994,93,275.93,278.15,7.2,200,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583114400,277.04,270.64,994,86,275.93,277.59,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583118000,277.3,270.59,993,86,275.93,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583121600,277.68,271.73,992,86,276.48,278.71,6.2,170,40,802,Clouds,scattered clouds,03n
Count: 168,200,2795113,0.005090576,168,1583125200,277.86,271.94,991,86,275.93,279.82,6.2,170,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583128800,278.05,272.52,990,86,275.93,279.82,5.7,170,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583132400,278.3,272.66,989,81,277.04,279.82,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2795113,0.005090576,168,1583136000,279.02,274.08,989,86,277.15,280.37,5.1,170,20,801,Clouds,few clouds,02d
Count: 168,200,2795113,0.005090576,168,1583139600,279.8,274.07,989,81,278.15,280.93,6.2,180,20,801,Clouds,few clouds,02d
Count: 168,200,2795113,0.005090576,168,1583143200,280.49,274.54,989,81,278.15,281.48,6.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583146800,281.4,276.32,988,81,280.15,283.71,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583150400,281.44,276.79,987,81,279.15,282.59,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583154000,281.59,276.75,987,75,280.37,282.59,5.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2795113,0.005090576,168,1583157600,281.13,277.82,987,81,279.15,282.59,3.1,220,75,500,Rain,light rain,10d
Count: 168,200,2795113,0.005090576,168,1583161200,280.84,277.89,988,93,279.15,282.04,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2795113,0.005090576,168,1583164800,280.42,277.38,989,93,279.15,281.48,3.1,240,75,500,Rain,light rain,10d
Count: 168,200,2795113,0.005090576,168,1583168400,279.96,276.47,989,93,279.15,280.93,3.6,220,75,500,Rain,light rain,10d
Count: 168,200,2795113,0.005090576,168,1583172000,279.7,276.16,990,93,278.15,281.48,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2795113,0.005090576,168,1583175600,279.19,275.54,991,93,278.15,280.37,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2795113,0.005090576,168,1583179200,278.74,274.87,992,100,277.59,279.82,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2795113,0.005090576,168,1583182800,278.37,274.22,993,93,277.04,279.26,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2795113,0.005090576,168,1583186400,277.86,271.94,995,86,277.04,278.71,6.2,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2795113,0.005090576,168,1583190000,277.21,272.31,996,86,275.93,278.15,4.6,280,20,801,Clouds,few clouds,02n
Count: 168,200,2795113,0.005090576,168,1583193600,276.84,272.41,997,93,275.93,277.59,4.1,270,100,804,Clouds,overcast clouds,04n
