message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2801820,0.004663389,168,1583017200,278.12,268.86,995,80,277.04,279.15,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583020800,278.45,270.71,995,80,277.04,280.15,8.7,220,95,500,Rain,light rain,10n
Count: 168,200,2801820,0.004663389,168,1583024400,278.37,269.0,995,75,277.04,279.82,10.8,220,83,500,Rain,light rain,10n
Count: 168,200,2801820,0.004663389,168,1583028000,278.51,270.21,995,75,277.04,279.82,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2801820,0.004663389,168,1583031600,278.67,269.9,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583035200,278.88,271.06,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2801820,0.004663389,168,1583038800,279.31,271.56,994,75,278.15,280.15,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2801820,0.004663389,168,1583042400,279.04,269.77,994,75,277.04,280.15,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2801820,0.004663389,168,1583046000,278.98,270.75,994,75,277.04,280.15,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2801820,0.004663389,168,1583049600,279.53,271.39,994,75,278.15,280.37,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801820,0.004663389,168,1583053200,279.93,271.51,995,75,278.71,280.93,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801820,0.004663389,168,1583056800,280.87,272.09,995,70,279.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2801820,0.004663389,168,1583060400,281.82,271.96,995,65,280.15,283.15,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2801820,0.004663389,168,1583064000,282.37,272.45,995,61,280.93,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801820,0.004663389,168,1583067600,282.56,273.22,994,57,281.15,283.71,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801820,0.004663389,168,1583071200,282.6,274.73,994,57,281.15,284.26,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2801820,0.004663389,168,1583074800,282.6,275.59,993,61,281.15,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2801820,0.004663389,168,1583078400,281.91,275.33,992,66,279.82,283.15,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2801820,0.004663389,168,1583082000,281.2,275.87,992,75,279.82,282.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2801820,0.004663389,168,1583085600,279.75,275.83,992,81,277.04,282.04,3.6,210,75,301,Drizzle,drizzle,09n
Count: 168,200,2801820,0.004663389,168,1583089200,279.08,275.41,992,93,276.48,281.48,3.6,200,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2801820,0.004663389,168,1583092800,278.54,275.12,992,93,276.48,281.48,3.1,190,90,311,Drizzle,drizzle rain,09n
Count: 168,200,2801820,0.004663389,168,1583096400,278.09,274.43,992,100,275.93,279.82,3.6,220,100,501,Rain,moderate rain,10n
Count: 168,200,2801820,0.004663389,168,1583100000,278.11,273.56,993,93,276.48,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583103600,278.01,272.67,994,93,276.48,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2801820,0.004663389,168,1583107200,277.64,271.34,994,86,276.48,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583110800,277.27,271.09,994,93,275.93,278.15,6.7,200,89,500,Rain,light rain,10n
Count: 168,200,2801820,0.004663389,168,1583114400,277.02,270.26,994,86,275.37,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583118000,277.0,271.13,993,93,275.93,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2801820,0.004663389,168,1583121600,277.14,271.45,992,86,275.37,278.15,5.7,180,62,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583125200,277.21,272.31,991,86,275.93,278.71,4.6,180,81,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583128800,277.52,272.15,990,80,275.93,278.71,5.1,170,81,803,Clouds,broken clouds,04n
Count: 168,200,2801820,0.004663389,168,1583132400,278.11,272.83,990,80,277.04,279.82,5.1,180,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801820,0.004663389,168,1583136000,278.98,274.23,990,81,277.59,280.37,4.6,170,100,804,Clouds,overcast clouds,04d
Count: 168,200,2801820,0.004663389,168,1583139600,279.84,276.29,989,81,278.15,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2801820,0.004663389,168,1583143200,280.67,275.1,989,81,279.15,281.48,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2801820,0.004663389,168,1583146800,281.67,276.08,988,75,280.15,283.71,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2801820,0.004663389,168,1583150400,282.03,276.5,988,75,280.93,283.15,6.2,200,90,500,Rain,light rain,10d
