message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2793722,0.005340458,168,1583017200,278.18,268.93,995,80,277.04,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793722,0.005340458,168,1583020800,278.28,270.51,995,80,277.04,279.82,8.7,220,78,600,Snow,light snow,13n
Count: 168,200,2793722,0.005340458,168,1583024400,278.31,268.93,995,75,277.04,279.26,10.8,220,67,500,Rain,light rain,10n
Count: 168,200,2793722,0.005340458,168,1583028000,278.42,270.11,995,75,277.04,279.26,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2793722,0.005340458,168,1583031600,278.6,269.82,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793722,0.005340458,168,1583035200,278.84,271.01,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2793722,0.005340458,168,1583038800,279.22,271.45,994,75,277.04,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793722,0.005340458,168,1583042400,278.98,269.7,994,75,276.48,280.37,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2793722,0.005340458,168,1583046000,278.76,270.5,994,75,275.93,280.15,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2793722,0.005340458,168,1583049600,279.32,271.15,994,75,276.48,280.93,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793722,0.005340458,168,1583053200,279.8,271.36,995,75,277.04,282.04,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793722,0.005340458,168,1583056800,280.76,271.96,995,70,278.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2793722,0.005340458,168,1583060400,281.91,272.07,995,65,279.26,284.26,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793722,0.005340458,168,1583064000,282.54,272.65,995,61,281.15,284.26,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793722,0.005340458,168,1583067600,282.7,273.38,994,57,280.93,284.26,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793722,0.005340458,168,1583071200,282.72,274.87,994,57,280.93,284.26,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2793722,0.005340458,168,1583074800,282.67,275.67,993,61,279.82,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2793722,0.005340458,168,1583078400,282.06,275.5,992,66,279.26,284.26,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2793722,0.005340458,168,1583082000,281.17,275.83,992,75,278.15,283.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2793722,0.005340458,168,1583085600,279.88,275.99,992,81,277.04,282.15,3.6,210,75,301,Drizzle,drizzle,09n
Count: 168,200,2793722,0.005340458,168,1583089200,279.06,275.39,992,93,276.48,281.15,3.6,200,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2793722,0.005340458,168,1583092800,278.4,274.95,992,93,276.48,279.82,3.1,190,90,311,Drizzle,drizzle rain,09n
Count: 168,200,2793722,0.005340458,168,1583096400,277.86,274.16,992,100,275.93,279.82,3.6,220,100,501,Rain,moderate rain,10n
Count: 168,200,2793722,0.005340458,168,1583100000,277.9,273.31,993,93,275.37,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793722,0.005340458,168,1583103600,277.84,272.47,994,93,275.37,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2793722,0.005340458,168,1583107200,277.62,271.31,994,86,275.37,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2793722,0.005340458,168,1583110800,277.27,271.09,994,93,275.37,278.15,6.7,200,100,500,Rain,light rain,10n
Count: 168,200,2793722,0.005340458,168,1583114400,276.97,270.21,994,86,275.37,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2793722,0.005340458,168,1583118000,276.81,270.9,993,93,275.37,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2793722,0.005340458,168,1583121600,276.85,271.12,992,86,275.37,278.15,5.7,180,82,803,Clouds,broken clouds,04n
Count: 168,200,2793722,0.005340458,168,1583125200,276.83,271.86,991,86,275.37,278.15,4.6,180,91,804,Clouds,overcast clouds,04n
Count: 168,200,2793722,0.005340458,168,1583128800,277.22,271.81,990,80,275.93,278.71,5.1,170,91,804,Clouds,overcast clouds,04n
Count: 168,200,2793722,0.005340458,168,1583132400,277.69,272.35,990,80,275.93,279.26,5.1,180,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793722,0.005340458,168,1583136000,278.6,273.78,990,81,276.48,279.82,4.6,170,100,804,Clouds,overcast clouds,04d
