message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788410,0.007450879,168,1583017200,278.21,268.96,995,80,277.04,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788410,0.007450879,168,1583020800,278.49,270.76,995,80,277.04,280.37,8.7,220,78,600,Snow,light snow,13n
Count: 168,200,2788410,0.007450879,168,1583024400,278.43,269.07,995,75,277.04,279.82,10.8,220,67,500,Rain,light rain,10n
Count: 168,200,2788410,0.007450879,168,1583028000,278.45,270.14,995,75,277.04,279.26,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2788410,0.007450879,168,1583031600,278.71,269.94,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788410,0.007450879,168,1583035200,278.91,271.09,994,75,277.59,280.37,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788410,0.007450879,168,1583038800,279.24,271.48,994,75,277.04,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788410,0.007450879,168,1583042400,278.99,269.72,994,75,276.48,280.93,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2788410,0.007450879,168,1583046000,278.74,270.48,994,75,275.93,280.37,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788410,0.007450879,168,1583049600,279.29,271.11,994,75,276.48,280.93,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788410,0.007450879,168,1583053200,279.76,271.31,995,75,277.04,282.04,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788410,0.007450879,168,1583056800,280.79,271.99,995,70,278.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788410,0.007450879,168,1583060400,282.0,272.17,995,65,279.26,284.26,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788410,0.007450879,168,1583064000,282.6,272.72,995,61,281.15,284.26,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788410,0.007450879,168,1583067600,282.72,273.4,994,57,280.93,284.26,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788410,0.007450879,168,1583071200,282.79,274.95,994,57,280.93,284.26,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2788410,0.007450879,168,1583074800,282.66,275.66,993,61,279.82,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788410,0.007450879,168,1583078400,282.14,275.6,992,66,279.26,284.26,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2788410,0.007450879,168,1583082000,281.23,275.91,992,75,278.15,283.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2788410,0.007450879,168,1583085600,279.99,276.12,992,81,277.04,282.15,3.6,210,75,301,Drizzle,drizzle,09n
Count: 168,200,2788410,0.007450879,168,1583089200,279.11,275.45,992,93,276.48,281.15,3.6,200,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2788410,0.007450879,168,1583092800,278.37,274.92,992,93,276.48,279.82,3.1,190,90,311,Drizzle,drizzle rain,09n
Count: 168,200,2788410,0.007450879,168,1583096400,277.79,274.07,992,100,275.93,279.26,3.6,220,100,501,Rain,moderate rain,10n
Count: 168,200,2788410,0.007450879,168,1583100000,277.76,273.14,993,93,275.37,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788410,0.007450879,168,1583103600,277.7,272.3,994,93,275.37,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788410,0.007450879,168,1583107200,277.6,271.29,994,86,275.37,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788410,0.007450879,168,1583110800,277.29,271.12,994,93,275.37,278.71,6.7,200,100,500,Rain,light rain,10n
Count: 168,200,2788410,0.007450879,168,1583114400,277.0,270.24,994,86,275.37,278.71,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2788410,0.007450879,168,1583118000,276.79,270.88,993,93,275.37,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2788410,0.007450879,168,1583121600,276.81,271.07,992,86,275.37,277.59,5.7,180,82,803,Clouds,broken clouds,04n
Count: 168,200,2788410,0.007450879,168,1583125200,276.77,271.79,991,86,275.37,278.15,4.6,180,91,804,Clouds,overcast clouds,04n
Count: 168,200,2788410,0.007450879,168,1583128800,277.04,271.6,990,80,275.93,278.15,5.1,170,91,804,Clouds,overcast clouds,04n
