message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2787315,0.005849468,168,1583017200,277.42,270.81,995,89,275.93,279.26,7.2,220,78,600,Snow,light snow,13n
Count: 168,200,2787315,0.005849468,168,1583020800,277.6,270.96,995,74,275.93,279.26,6.7,230,78,600,Snow,light snow,13n
Count: 168,200,2787315,0.005849468,168,1583024400,277.45,270.76,998,86,275.37,279.26,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2787315,0.005849468,168,1583028000,277.56,270.89,998,86,275.37,279.26,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2787315,0.005849468,168,1583031600,277.73,270.76,995,74,275.93,279.82,7.2,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2787315,0.005849468,168,1583035200,278.04,271.46,994,74,276.15,279.82,6.7,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2787315,0.005849468,168,1583038800,277.78,271.56,994,88,275.93,279.82,6.7,220,98,500,Rain,light rain,10n
Count: 168,200,2787315,0.005849468,168,1583042400,277.15,271.3,994,93,275.15,279.26,6.2,230,98,501,Rain,moderate rain,10n
Count: 168,200,2787315,0.005849468,168,1583046000,277.14,272.41,996,93,274.82,279.26,4.6,230,90,501,Rain,moderate rain,10d
Count: 168,200,2787315,0.005849468,168,1583049600,277.66,271.71,994,86,275.15,279.82,6.2,240,96,804,Clouds,overcast clouds,04d
Count: 168,200,2787315,0.005849468,168,1583053200,278.44,271.92,997,86,275.93,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2787315,0.005849468,168,1583056800,279.26,273.94,995,86,276.15,282.04,5.7,220,96,804,Clouds,overcast clouds,04d
Count: 168,200,2787315,0.005849468,168,1583060400,280.5,273.83,997,70,277.59,282.59,7.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2787315,0.005849468,168,1583064000,280.74,275.23,995,60,278.15,283.15,5.1,230,88,500,Rain,light rain,10d
Count: 168,200,2787315,0.005849468,168,1583067600,280.54,274.75,995,65,277.59,283.71,5.7,230,63,500,Rain,light rain,10d
Count: 168,200,2787315,0.005849468,168,1583071200,280.97,277.07,995,75,277.59,283.71,3.6,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2787315,0.005849468,168,1583074800,281.07,273.97,993,65,278.71,283.71,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2787315,0.005849468,168,1583078400,279.74,276.33,992,86,277.15,282.59,3.1,220,100,500,Rain,light rain,10d
Count: 168,200,2787315,0.005849468,168,1583082000,278.99,276.35,991,93,277.04,281.48,2.1,160,100,500,Rain,light rain,10d
Count: 168,200,2787315,0.005849468,168,1583085600,278.82,276.83,991,93,277.04,280.37,1.13,349,90,500,Rain,light rain,10n
Count: 168,200,2787315,0.005849468,168,1583089200,278.46,275.23,991,100,276.48,279.82,3.1,110,90,804,Clouds,overcast clouds,04n
Count: 168,200,2787315,0.005849468,168,1583092800,277.7,274.82,992,93,273.71,279.82,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2787315,0.005849468,168,1583096400,275.74,271.95,990,98,273.15,279.15,3.1,320,100,600,Snow,light snow,13n
Count: 168,200,2787315,0.005849468,168,1583100000,275.84,272.07,992,98,273.15,278.71,3.1,260,100,600,Snow,light snow,13n
Count: 168,200,2787315,0.005849468,168,1583103600,275.96,271.08,993,95,273.71,278.71,4.6,260,92,600,Snow,light snow,13n
Count: 168,200,2787315,0.005849468,168,1583107200,276.0,271.25,993,100,273.71,278.15,4.6,250,92,701,Mist,mist,50n
Count: 168,200,2787315,0.005849468,168,1583110800,276.07,271.33,994,100,274.15,278.15,4.6,230,100,500,Rain,light rain,10n
Count: 168,200,2787315,0.005849468,168,1583114400,276.08,271.92,993,95,274.15,277.59,3.6,200,82,803,Clouds,broken clouds,04n
Count: 168,200,2787315,0.005849468,168,1583118000,276.32,269.45,993,86,274.26,277.59,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2787315,0.005849468,168,1583121600,276.43,270.28,992,86,274.82,277.59,6.2,170,40,802,Clouds,scattered clouds,03n
Count: 168,200,2787315,0.005849468,168,1583125200,276.47,272.68,993,93,274.82,278.15,3.1,180,90,804,Clouds,overcast clouds,04n
