message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2799347,0.005378514,168,1583017200,278.05,268.77,995,80,277.04,279.15,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2799347,0.005378514,168,1583020800,278.27,270.5,995,80,277.04,279.82,8.7,220,78,600,Snow,light snow,13n
Count: 168,200,2799347,0.005378514,168,1583024400,278.25,268.86,995,75,277.04,279.26,10.8,220,67,500,Rain,light rain,10n
Count: 168,200,2799347,0.005378514,168,1583028000,278.45,270.14,995,75,277.04,279.26,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2799347,0.005378514,168,1583031600,278.57,269.78,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2799347,0.005378514,168,1583035200,278.83,271.0,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2799347,0.005378514,168,1583038800,279.25,271.49,994,75,277.04,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2799347,0.005378514,168,1583042400,278.85,269.55,994,75,276.48,280.37,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2799347,0.005378514,168,1583046000,278.71,270.44,994,75,275.93,279.82,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2799347,0.005378514,168,1583049600,279.38,271.22,994,75,276.48,280.93,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799347,0.005378514,168,1583053200,279.72,271.26,995,75,277.04,280.93,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799347,0.005378514,168,1583056800,280.77,271.97,995,70,278.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2799347,0.005378514,168,1583060400,281.9,272.06,995,65,279.26,284.26,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2799347,0.005378514,168,1583064000,282.3,272.37,995,61,279.26,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2799347,0.005378514,168,1583067600,282.54,273.19,994,57,279.26,284.26,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2799347,0.005378514,168,1583071200,282.49,274.61,994,57,278.71,284.26,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2799347,0.005378514,168,1583074800,282.63,275.62,993,61,280.93,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2799347,0.005378514,168,1583078400,281.78,275.18,992,66,279.26,283.15,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2799347,0.005378514,168,1583082000,280.89,275.5,992,75,278.15,282.59,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2799347,0.005378514,168,1583085600,279.6,275.66,992,81,277.04,282.04,3.6,210,75,502,Rain,heavy intensity rain,10n
Count: 168,200,2799347,0.005378514,168,1583089200,278.86,275.15,992,93,276.48,280.37,3.6,200,90,501,Rain,moderate rain,10n
Count: 168,200,2799347,0.005378514,168,1583092800,278.29,274.82,992,93,276.48,279.82,3.1,190,90,501,Rain,moderate rain,10n
Count: 168,200,2799347,0.005378514,168,1583096400,277.8,274.09,992,100,275.93,279.26,3.6,220,100,501,Rain,moderate rain,10n
Count: 168,200,2799347,0.005378514,168,1583100000,277.84,273.24,993,93,275.37,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2799347,0.005378514,168,1583103600,277.89,272.53,994,93,275.93,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2799347,0.005378514,168,1583107200,277.61,271.3,994,86,275.93,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2799347,0.005378514,168,1583110800,277.21,271.02,994,93,275.93,278.15,6.7,200,100,500,Rain,light rain,10n
Count: 168,200,2799347,0.005378514,168,1583114400,276.97,270.21,994,86,275.37,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2799347,0.005378514,168,1583118000,276.91,271.02,993,93,275.93,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2799347,0.005378514,168,1583121600,276.95,271.23,992,86,275.37,278.15,5.7,180,82,803,Clouds,broken clouds,04n
Count: 168,200,2799347,0.005378514,168,1583125200,277.04,272.11,991,86,275.93,278.71,4.6,180,91,804,Clouds,overcast clouds,04n
Count: 168,200,2799347,0.005378514,168,1583128800,277.39,272.0,990,80,275.93,278.71,5.1,170,91,804,Clouds,overcast clouds,04n
Count: 168,200,2799347,0.005378514,168,1583132400,277.91,272.6,990,80,276.48,279.26,5.1,180,40,802,Clouds,scattered clouds,03d
Count: 168,200,2799347,0.005378514,168,1583136000,278.81,274.03,990,81,276.48,279.82,4.6,170,100,804,Clouds,overcast clouds,04d
Count: 168,200,2799347,0.005378514,168,1583139600,279.72,276.15,989,81,277.04,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2799347,0.005378514,168,1583143200,280.57,274.98,989,81,278.15,281.48,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2799347,0.005378514,168,1583146800,281.57,275.96,988,75,278.15,283.71,6.2,190,90,804,Clouds,overcast clouds,04d
