message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2794989,0.039418434,168,1583017200,277.84,271.3,995,89,275.93,279.15,7.2,220,78,600,Snow,light snow,13n
Count: 168,200,2794989,0.039418434,168,1583020800,278.09,271.52,995,74,275.93,280.15,6.7,230,78,600,Snow,light snow,13n
Count: 168,200,2794989,0.039418434,168,1583024400,278.23,268.84,995,75,277.04,279.26,10.8,220,67,500,Rain,light rain,10n
Count: 168,200,2794989,0.039418434,168,1583028000,278.27,269.93,995,75,275.93,279.26,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2794989,0.039418434,168,1583031600,278.56,269.77,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2794989,0.039418434,168,1583035200,278.77,270.93,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2794989,0.039418434,168,1583038800,278.99,272.98,994,88,276.15,280.37,6.7,220,98,500,Rain,light rain,10n
Count: 168,200,2794989,0.039418434,168,1583042400,278.56,269.22,994,75,275.37,280.37,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2794989,0.039418434,168,1583046000,278.39,270.07,994,75,275.37,279.82,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2794989,0.039418434,168,1583049600,279.14,270.94,994,75,275.93,280.93,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794989,0.039418434,168,1583053200,279.43,270.93,995,75,277.04,280.93,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794989,0.039418434,168,1583056800,280.51,271.67,995,70,277.04,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2794989,0.039418434,168,1583060400,281.76,271.89,995,65,279.26,284.26,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794989,0.039418434,168,1583064000,282.16,272.21,995,61,279.26,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2794989,0.039418434,168,1583067600,282.11,272.7,994,57,278.71,284.26,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2794989,0.039418434,168,1583071200,282.24,274.32,994,57,278.71,284.26,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2794989,0.039418434,168,1583074800,282.34,275.29,993,61,279.82,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794989,0.039418434,168,1583078400,281.61,274.98,992,66,279.26,283.15,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2794989,0.039418434,168,1583082000,280.6,275.16,992,75,277.59,282.59,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2794989,0.039418434,168,1583085600,279.29,275.29,992,81,276.48,282.04,3.6,210,75,502,Rain,heavy intensity rain,10n
Count: 168,200,2794989,0.039418434,168,1583089200,278.71,274.97,992,93,276.48,280.37,3.6,200,90,501,Rain,moderate rain,10n
Count: 168,200,2794989,0.039418434,168,1583092800,278.19,274.7,992,93,276.48,279.82,3.1,190,90,501,Rain,moderate rain,10n
Count: 168,200,2794989,0.039418434,168,1583096400,277.52,273.75,992,100,274.26,279.26,3.6,220,100,501,Rain,moderate rain,10n
Count: 168,200,2794989,0.039418434,168,1583100000,277.28,272.58,993,93,274.26,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2794989,0.039418434,168,1583103600,277.27,272.62,993,95,274.15,279.26,4.6,260,92,600,Snow,light snow,13n
Count: 168,200,2794989,0.039418434,168,1583107200,277.23,270.86,994,86,274.82,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2794989,0.039418434,168,1583110800,276.78,272.17,994,100,274.15,278.15,4.6,230,100,500,Rain,light rain,10n
Count: 168,200,2794989,0.039418434,168,1583114400,276.67,269.86,994,86,274.26,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2794989,0.039418434,168,1583118000,276.73,270.81,993,93,275.37,278.15,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2794989,0.039418434,168,1583121600,276.71,270.96,992,86,274.82,278.15,5.7,180,82,803,Clouds,broken clouds,04n
Count: 168,200,2794989,0.039418434,168,1583125200,276.82,271.85,991,86,274.82,278.71,4.6,180,91,804,Clouds,overcast clouds,04n
Count: 168,200,2794989,0.039418434,168,1583128800,277.06,271.62,990,80,274.82,278.71,5.1,170,91,804,Clouds,overcast clouds,04n
Count: 168,200,2794989,0.039418434,168,1583132400,277.6,272.6,989,93,275.15,279.26,5.1,180,91,301,Drizzle,drizzle,09d
Count: 168,200,2794989,0.039418434,168,1583136000,278.62,273.81,990,81,276.48,279.82,4.6,170,100,804,Clouds,overcast clouds,04d
Count: 168,200,2794989,0.039418434,168,1583139600,279.29,275.64,989,81,276.15,280.93,3.1,130,75,803,Clouds,broken clouds,04d
Count: 168,200,2794989,0.039418434,168,1583143200,280.36,274.73,989,81,278.15,281.48,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794989,0.039418434,168,1583146800,281.34,275.69,988,75,278.15,283.71,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2794989,0.039418434,168,1583150400,281.88,276.33,988,75,279.26,283.15,6.2,200,90,500,Rain,light rain,10d
