message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788849,0.117109459,168,1583017200,278.27,269.03,995,80,277.04,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788849,0.117109459,168,1583020800,278.36,270.6,995,80,277.04,279.82,8.7,220,78,600,Snow,light snow,13n
Count: 168,200,2788849,0.117109459,168,1583024400,278.38,269.01,995,75,277.04,279.26,10.8,220,67,500,Rain,light rain,10n
Count: 168,200,2788849,0.117109459,168,1583028000,278.47,270.17,995,75,277.04,279.26,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2788849,0.117109459,168,1583031600,278.65,269.87,994,70,277.04,279.82,9.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788849,0.117109459,168,1583035200,278.89,271.07,994,75,277.59,279.82,8.7,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788849,0.117109459,168,1583038800,279.3,271.55,994,75,277.04,280.37,8.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788849,0.117109459,168,1583042400,279.15,269.9,994,75,276.48,280.37,10.8,230,20,801,Clouds,few clouds,02n
Count: 168,200,2788849,0.117109459,168,1583046000,279.0,270.78,994,75,275.93,280.37,9.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788849,0.117109459,168,1583049600,279.59,271.46,994,75,278.15,280.93,9.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788849,0.117109459,168,1583053200,279.98,271.57,995,75,277.04,282.04,9.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788849,0.117109459,168,1583056800,280.87,272.09,995,70,278.15,282.04,10.3,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788849,0.117109459,168,1583060400,281.97,272.14,995,65,279.26,284.26,11.8,230,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788849,0.117109459,168,1583064000,282.57,272.68,995,61,281.15,284.26,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788849,0.117109459,168,1583067600,282.78,273.47,994,57,281.15,284.26,10.8,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788849,0.117109459,168,1583071200,282.81,274.97,994,57,281.15,284.26,8.7,230,100,500,Rain,light rain,10d
Count: 168,200,2788849,0.117109459,168,1583074800,282.79,275.81,993,61,280.93,284.26,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2788849,0.117109459,168,1583078400,282.13,275.58,992,66,279.26,284.26,7.2,210,100,500,Rain,light rain,10d
Count: 168,200,2788849,0.117109459,168,1583082000,281.41,276.12,992,75,279.82,283.15,5.7,190,20,801,Clouds,few clouds,02d
Count: 168,200,2788849,0.117109459,168,1583085600,279.98,276.1,992,81,277.04,282.15,3.6,210,75,301,Drizzle,drizzle,09n
Count: 168,200,2788849,0.117109459,168,1583089200,279.21,275.57,992,93,276.48,281.48,3.6,200,90,312,Drizzle,heavy intensity drizzle rain,09n
Count: 168,200,2788849,0.117109459,168,1583092800,278.57,275.15,992,93,276.48,280.37,3.1,190,90,311,Drizzle,drizzle rain,09n
Count: 168,200,2788849,0.117109459,168,1583096400,278.05,274.39,992,100,275.93,279.82,3.6,220,100,501,Rain,moderate rain,10n
Count: 168,200,2788849,0.117109459,168,1583100000,277.99,273.41,993,93,275.37,279.26,4.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788849,0.117109459,168,1583103600,278.01,272.67,994,93,275.93,279.26,5.7,220,90,804,Clouds,overcast clouds,04n
Count: 168,200,2788849,0.117109459,168,1583107200,277.76,271.48,994,86,275.93,279.26,6.7,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788849,0.117109459,168,1583110800,277.38,271.22,994,93,275.93,278.15,6.7,200,100,500,Rain,light rain,10n
