message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2802837,0.005820495,168,1583017200,277.69,271.04,995,86,275.93,278.71,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2802837,0.005820495,168,1583020800,277.92,269.67,995,80,275.93,279.82,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2802837,0.005820495,168,1583024400,278.13,270.19,995,75,277.04,279.26,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2802837,0.005820495,168,1583028000,278.24,269.9,996,75,275.93,279.26,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2802837,0.005820495,168,1583031600,278.4,269.38,995,75,276.15,279.82,10.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2802837,0.005820495,168,1583035200,278.54,270.25,994,75,276.15,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2802837,0.005820495,168,1583038800,278.6,269.12,995,70,275.93,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2802837,0.005820495,168,1583042400,278.04,269.11,995,80,275.15,279.26,10.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2802837,0.005820495,168,1583046000,278.03,270.92,994,80,274.82,279.82,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802837,0.005820495,168,1583049600,279.0,271.7,995,80,275.93,280.37,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802837,0.005820495,168,1583053200,279.15,270.25,995,75,275.93,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802837,0.005820495,168,1583056800,280.21,270.27,995,70,276.48,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2802837,0.005820495,168,1583060400,281.51,271.95,995,65,279.26,283.15,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2802837,0.005820495,168,1583064000,282.02,273.17,995,63,279.26,283.71,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2802837,0.005820495,168,1583067600,281.64,273.43,995,63,278.15,283.71,9.3,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2802837,0.005820495,168,1583071200,281.9,274.08,994,61,278.71,283.71,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2802837,0.005820495,168,1583074800,282.04,275.09,993,65,279.26,283.71,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2802837,0.005820495,168,1583078400,280.52,275.84,992,75,277.15,283.15,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2802837,0.005820495,168,1583082000,279.59,274.75,991,75,277.04,282.04,4.6,190,75,500,Rain,light rain,10d
Count: 168,200,2802837,0.005820495,168,1583085600,278.55,275.83,992,93,275.93,280.37,2.1,280,75,500,Rain,light rain,10n
Count: 168,200,2802837,0.005820495,168,1583089200,278.37,275.41,992,86,275.37,279.82,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2802837,0.005820495,168,1583092800,277.82,274.96,992,93,275.37,279.82,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2802837,0.005820495,168,1583096400,276.63,272.51,992,93,273.15,279.26,3.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2802837,0.005820495,168,1583100000,277.19,271.35,993,93,274.26,278.71,6.2,240,40,802,Clouds,scattered clouds,03n
Count: 168,200,2802837,0.005820495,168,1583103600,277.01,270.79,994,93,274.15,278.71,6.7,230,95,500,Rain,light rain,10n
Count: 168,200,2802837,0.005820495,168,1583107200,277.05,270.3,994,86,274.82,278.15,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2802837,0.005820495,168,1583110800,276.62,269.98,994,93,274.15,278.15,7.2,200,20,801,Clouds,few clouds,02n
Count: 168,200,2802837,0.005820495,168,1583114400,276.5,270.01,994,86,274.15,277.59,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2802837,0.005820495,168,1583118000,276.92,270.15,993,86,275.37,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2802837,0.005820495,168,1583121600,276.87,270.79,992,86,274.82,278.15,6.2,170,40,802,Clouds,scattered clouds,03n
Count: 168,200,2802837,0.005820495,168,1583125200,277.06,271.01,991,86,274.82,278.71,6.2,170,20,801,Clouds,few clouds,02n
Count: 168,200,2802837,0.005820495,168,1583128800,277.26,271.59,990,86,274.82,278.71,5.7,170,20,801,Clouds,few clouds,02n
Count: 168,200,2802837,0.005820495,168,1583132400,277.68,272.69,990,80,275.15,279.26,4.6,170,75,803,Clouds,broken clouds,04d
