message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2784199,0.035355051,168,1583017200,277.63,271.06,995,89,275.93,279.26,7.2,220,78,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583020800,278.0,271.42,995,74,275.93,280.15,6.7,230,78,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583024400,278.11,268.7,995,75,277.04,279.26,10.8,220,67,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583028000,278.04,271.45,998,86,275.93,279.26,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2784199,0.035355051,168,1583031600,278.24,271.34,995,74,276.15,279.82,7.2,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2784199,0.035355051,168,1583035200,278.4,271.88,994,74,276.15,279.82,6.7,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2784199,0.035355051,168,1583038800,278.38,272.26,994,88,275.93,280.37,6.7,220,98,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583042400,277.79,272.06,994,93,275.15,280.37,6.2,230,98,501,Rain,moderate rain,10n
Count: 168,200,2784199,0.035355051,168,1583046000,277.59,272.94,996,93,274.82,279.82,4.6,230,90,501,Rain,moderate rain,10d
Count: 168,200,2784199,0.035355051,168,1583049600,278.04,272.15,994,86,275.15,280.93,6.2,240,96,804,Clouds,overcast clouds,04d
Count: 168,200,2784199,0.035355051,168,1583053200,278.78,272.32,997,86,275.93,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2784199,0.035355051,168,1583056800,279.88,273.43,997,80,276.48,282.04,7.2,220,40,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583060400,281.36,274.83,997,70,279.26,284.26,7.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2784199,0.035355051,168,1583064000,281.73,271.71,995,61,279.26,283.71,11.8,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2784199,0.035355051,168,1583067600,281.16,275.47,995,65,277.59,284.26,5.7,230,63,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583071200,281.72,277.96,995,75,278.71,283.71,3.6,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2784199,0.035355051,168,1583074800,281.91,274.79,993,61,279.82,283.71,7.7,210,90,804,Clouds,overcast clouds,04d
Count: 168,200,2784199,0.035355051,168,1583078400,280.43,277.15,992,86,277.15,283.15,3.1,220,100,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583082000,279.75,277.27,991,93,277.04,282.59,2.1,160,100,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583085600,279.01,277.06,991,93,276.48,281.48,1.13,349,90,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583089200,278.59,275.38,991,100,276.48,279.82,3.1,110,90,804,Clouds,overcast clouds,04n
Count: 168,200,2784199,0.035355051,168,1583092800,278.01,274.49,992,93,276.48,279.82,3.1,190,90,311,Drizzle,drizzle rain,09n
Count: 168,200,2784199,0.035355051,168,1583096400,276.25,272.55,990,98,273.15,279.15,3.1,320,100,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583100000,276.31,272.62,992,98,273.15,278.71,3.1,260,100,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583103600,276.47,271.68,993,95,273.71,278.71,4.6,260,92,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583107200,276.62,271.98,993,100,274.15,278.71,4.6,250,92,701,Mist,mist,50n
Count: 168,200,2784199,0.035355051,168,1583110800,276.46,271.79,994,100,274.15,278.15,4.6,230,100,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583114400,276.31,272.19,993,95,274.15,278.15,3.6,200,82,803,Clouds,broken clouds,04n
Count: 168,200,2784199,0.035355051,168,1583118000,276.59,270.65,993,93,275.37,277.59,6.2,190,20,801,Clouds,few clouds,02n
Count: 168,200,2784199,0.035355051,168,1583121600,276.55,270.77,992,86,274.82,277.59,5.7,180,82,803,Clouds,broken clouds,04n
Count: 168,200,2784199,0.035355051,168,1583125200,276.62,272.85,993,93,274.82,278.15,3.1,180,90,804,Clouds,overcast clouds,04n
Count: 168,200,2784199,0.035355051,168,1583128800,276.76,274.14,993,93,274.82,278.15,1.5,110,90,804,Clouds,overcast clouds,04n
Count: 168,200,2784199,0.035355051,168,1583132400,277.01,271.91,989,93,274.82,278.71,5.1,180,91,301,Drizzle,drizzle,09d
Count: 168,200,2784199,0.035355051,168,1583136000,277.73,272.76,989,93,275.15,279.82,5.1,190,100,804,Clouds,overcast clouds,04d
Count: 168,200,2784199,0.035355051,168,1583139600,278.7,274.4,989,86,276.15,280.93,4.1,190,100,804,Clouds,overcast clouds,04d
Count: 168,200,2784199,0.035355051,168,1583143200,279.65,273.89,989,81,276.48,281.48,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2784199,0.035355051,168,1583146800,280.72,274.95,988,75,277.59,283.15,6.2,190,90,804,Clouds,overcast clouds,04d
Count: 168,200,2784199,0.035355051,168,1583150400,281.39,275.74,988,75,278.15,283.15,6.2,200,90,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583154000,281.25,277.26,988,81,278.71,283.15,4.1,200,90,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583157600,281.15,278.16,987,80,278.15,283.15,2.6,150,100,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583161200,280.57,277.67,987,86,278.15,283.15,2.6,170,100,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583164800,279.71,277.22,988,93,277.04,282.04,2.1,170,100,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583168400,279.16,276.56,988,93,277.04,281.15,2.1,180,100,500,Rain,light rain,10d
Count: 168,200,2784199,0.035355051,168,1583172000,278.99,277.12,990,93,276.48,280.93,1.0,230,75,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583175600,278.8,276.76,990,100,276.15,280.93,1.5,260,100,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583179200,278.27,275.35,992,100,275.93,279.82,2.6,230,75,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583182800,278.17,274.68,991,93,275.93,279.82,3.1,300,100,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583186400,278.12,272.8,994,93,275.93,279.26,5.7,300,75,301,Drizzle,drizzle,09n
Count: 168,200,2784199,0.035355051,168,1583190000,277.56,273.61,996,93,274.82,279.26,3.6,280,90,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583193600,277.14,273.27,997,86,274.82,279.26,3.1,270,100,500,Rain,light rain,10n
Count: 168,200,2784199,0.035355051,168,1583197200,276.39,271.23,996,95,274.15,278.71,5.1,300,100,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583200800,275.89,270.7,997,97,274.15,277.59,5.1,290,90,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583204400,275.82,271.67,998,97,274.15,277.15,3.6,280,90,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583208000,275.52,270.97,999,97,274.15,277.15,4.1,270,90,600,Snow,light snow,13n
Count: 168,200,2784199,0.035355051,168,1583211600,275.22,270.6,999,96,273.15,277.15,4.1,270,77,803,Clouds,broken clouds,04n
Count: 168,200,2784199,0.035355051,168,1583215200,274.9,270.57,1000,96,273.15,276.48,3.6,260,77,803,Clouds,broken clouds,04n
Count: 168,200,2784199,0.035355051,168,1583218800,274.73,270.38,1000,96,273.15,276.15,3.6,250,77,803,Clouds,broken clouds,04d
Count: 168,200,2784199,0.035355051,168,1583222400,275.6,271.12,1001,85,273.15,278.15,3.6,240,7,800,Clear,clear sky,01d
Count: 168,200,2784199,0.035355051,168,1583226000,276.95,272.68,1003,85,275.15,279.26,3.6,200,90,804,Clouds,overcast clouds,04d
