message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2785989,0.00551689,168,1583017200,277.53,270.94,995,89,275.93,278.71,7.2,220,78,600,Snow,light snow,13n
Count: 168,200,2785989,0.00551689,168,1583020800,277.82,271.21,995,74,275.93,279.82,6.7,230,78,600,Snow,light snow,13n
Count: 168,200,2785989,0.00551689,168,1583024400,277.96,270.0,995,75,276.48,279.26,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2785989,0.00551689,168,1583028000,278.03,269.66,996,75,275.93,279.26,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2785989,0.00551689,168,1583031600,278.23,271.33,995,74,276.15,279.82,7.2,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2785989,0.00551689,168,1583035200,278.15,271.59,994,74,275.93,279.82,6.7,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2785989,0.00551689,168,1583038800,278.3,272.17,994,88,275.93,279.82,6.7,220,98,500,Rain,light rain,10n
Count: 168,200,2785989,0.00551689,168,1583042400,277.67,271.92,994,93,275.15,279.26,6.2,230,98,501,Rain,moderate rain,10n
Count: 168,200,2785989,0.00551689,168,1583046000,277.7,270.54,994,80,274.82,279.82,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2785989,0.00551689,168,1583049600,278.45,271.06,995,80,275.37,280.37,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2785989,0.00551689,168,1583053200,278.88,269.94,995,75,275.93,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2785989,0.00551689,168,1583056800,279.99,270.02,995,70,276.48,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2785989,0.00551689,168,1583060400,281.04,271.41,995,65,277.59,283.15,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2785989,0.00551689,168,1583064000,281.7,273.13,995,72,279.26,283.71,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2785989,0.00551689,168,1583067600,281.08,275.38,995,65,277.59,283.71,5.7,230,63,500,Rain,light rain,10d
Count: 168,200,2785989,0.00551689,168,1583071200,281.73,273.88,994,61,278.71,283.71,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2785989,0.00551689,168,1583074800,281.78,274.79,993,65,278.71,283.71,7.7,210,75,803,Clouds,broken clouds,04d
