message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2797713,1.499417415,168,1583017200,278.16,271.42,995,80,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583020800,278.24,270.04,995,80,277.04,279.26,9.3,210,85,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583024400,278.32,270.41,995,75,277.04,279.26,8.7,210,82,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583028000,278.49,269.84,995,75,277.59,279.26,9.8,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583031600,278.8,271.32,994,75,277.59,279.82,8.2,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583035200,279.14,271.09,994,80,278.15,279.82,9.3,210,100,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583038800,279.21,269.97,994,75,278.15,280.37,10.8,220,100,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583042400,279.13,270.42,994,70,277.59,280.15,9.8,220,100,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583046000,279.03,270.31,994,70,278.15,280.15,9.8,220,100,500,Rain,light rain,10d
Count: 168,200,2797713,1.499417415,168,1583049600,279.28,270.25,994,70,278.15,280.37,10.3,220,95,804,Clouds,overcast clouds,04d
Count: 168,200,2797713,1.499417415,168,1583053200,279.89,270.6,994,70,278.71,280.93,10.8,220,99,804,Clouds,overcast clouds,04d
Count: 168,200,2797713,1.499417415,168,1583056800,280.6,272.72,995,65,279.26,281.48,8.7,230,99,804,Clouds,overcast clouds,04d
Count: 168,200,2797713,1.499417415,168,1583060400,281.47,272.96,994,65,280.15,283.15,9.8,220,70,500,Rain,light rain,10d
Count: 168,200,2797713,1.499417415,168,1583064000,281.98,272.9,994,57,280.93,283.15,10.3,220,78,803,Clouds,broken clouds,04d
Count: 168,200,2797713,1.499417415,168,1583067600,282.12,274.88,994,57,281.15,283.15,7.7,210,47,802,Clouds,scattered clouds,03d
Count: 168,200,2797713,1.499417415,168,1583071200,282.33,274.77,993,57,281.15,283.71,8.2,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2797713,1.499417415,168,1583074800,282.22,275.5,992,61,280.37,283.15,7.2,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2797713,1.499417415,168,1583078400,281.59,276.94,992,61,279.26,282.59,4.1,230,100,804,Clouds,overcast clouds,04d
Count: 168,200,2797713,1.499417415,168,1583082000,280.9,278.04,991,75,278.15,282.15,2.1,200,100,501,Rain,moderate rain,10d
Count: 168,200,2797713,1.499417415,168,1583085600,280.04,276.87,991,81,277.04,281.48,2.6,180,100,501,Rain,moderate rain,10n
Count: 168,200,2797713,1.499417415,168,1583089200,279.32,275.51,992,87,276.48,281.48,3.6,200,100,501,Rain,moderate rain,10n
Count: 168,200,2797713,1.499417415,168,1583092800,279.06,275.55,992,87,276.15,281.48,3.1,220,100,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583096400,278.8,274.19,993,75,276.48,280.37,4.1,240,100,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583100000,278.37,273.34,993,75,276.15,279.82,4.6,230,100,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583103600,277.88,272.15,994,80,275.93,279.26,5.7,220,60,803,Clouds,broken clouds,04n
Count: 168,200,2797713,1.499417415,168,1583107200,277.48,271.5,994,86,276.15,278.71,6.2,210,60,803,Clouds,broken clouds,04n
Count: 168,200,2797713,1.499417415,168,1583110800,277.24,270.17,993,86,276.15,278.15,7.7,200,65,803,Clouds,broken clouds,04n
Count: 168,200,2797713,1.499417415,168,1583114400,277.28,270.57,993,86,276.15,278.15,7.2,200,89,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583118000,277.64,271.88,992,93,277.04,278.71,6.2,190,89,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583121600,277.97,272.84,991,86,277.04,278.71,5.1,180,89,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583125200,278.3,272.81,990,86,277.04,279.26,5.7,160,94,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583128800,278.37,273.31,989,86,277.15,279.26,5.1,160,94,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583132400,278.57,272.98,989,81,277.59,279.26,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2797713,1.499417415,168,1583136000,279.11,274.03,988,81,278.15,280.37,5.1,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2797713,1.499417415,168,1583139600,279.65,274.86,988,87,278.71,280.37,5.1,180,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2797713,1.499417415,168,1583143200,280.4,274.78,988,81,279.15,281.48,6.2,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2797713,1.499417415,168,1583146800,280.85,275.67,988,81,279.82,282.04,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2797713,1.499417415,168,1583150400,280.98,276.24,987,81,279.82,281.48,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2797713,1.499417415,168,1583154000,281.25,276.91,987,81,279.82,282.59,4.6,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2797713,1.499417415,168,1583157600,280.95,277.67,987,93,279.82,282.04,3.6,200,75,500,Rain,light rain,10d
Count: 168,200,2797713,1.499417415,168,1583161200,280.72,277.74,988,93,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2797713,1.499417415,168,1583164800,280.55,277.54,989,93,279.82,281.48,3.1,210,75,500,Rain,light rain,10d
Count: 168,200,2797713,1.499417415,168,1583168400,280.07,276.95,990,93,279.15,281.15,3.1,240,75,500,Rain,light rain,10d
Count: 168,200,2797713,1.499417415,168,1583172000,279.59,276.25,991,100,278.71,280.37,3.6,300,75,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583175600,279.04,274.66,992,93,278.15,279.82,4.6,310,75,500,Rain,light rain,10n
Count: 168,200,2797713,1.499417415,168,1583179200,278.5,273.88,994,100,277.59,279.26,5.1,300,75,803,Clouds,broken clouds,04n
Count: 168,200,2797713,1.499417415,168,1583182800,277.99,272.45,995,86,277.04,279.15,5.7,290,75,803,Clouds,broken clouds,04n
Count: 168,200,2797713,1.499417415,168,1583186400,277.41,273.24,996,86,275.93,278.15,3.6,280,75,803,Clouds,broken clouds,04n
Count: 168,200,2797713,1.499417415,168,1583190000,276.8,272.71,997,93,275.93,277.59,3.6,250,99,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583193600,276.66,272.37,998,86,275.93,277.59,3.6,240,99,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583197200,276.35,272.19,998,93,274.82,277.15,3.6,230,91,804,Clouds,overcast clouds,04n
Count: 168,200,2797713,1.499417415,168,1583200800,276.03,271.46,999,93,274.82,277.15,4.1,230,0,800,Clear,clear sky,01n
Count: 168,200,2797713,1.499417415,168,1583204400,275.56,270.75,1000,86,274.82,276.48,4.1,230,0,800,Clear,clear sky,01n
Count: 168,200,2797713,1.499417415,168,1583208000,275.18,269.94,1000,85,274.15,276.15,4.6,220,0,800,Clear,clear sky,01n
Count: 168,200,2797713,1.499417415,168,1583211600,274.86,269.69,1001,90,274.15,275.37,4.6,220,0,800,Clear,clear sky,01n
Count: 168,200,2797713,1.499417415,168,1583215200,274.76,269.23,1001,90,274.15,275.37,5.1,220,0,800,Clear,clear sky,01n
Count: 168,200,2797713,1.499417415,168,1583218800,274.64,269.79,1001,90,273.71,275.37,4.1,220,0,800,Clear,clear sky,01d
