message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788577,0.07972104,168,1583017200,277.96,270.49,996,80,277.04,279.26,8.2,220,87,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583020800,277.99,271.37,996,85,277.04,279.26,7.2,220,87,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583024400,278.12,269.91,996,80,277.15,279.26,9.3,220,66,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583028000,278.36,268.99,996,75,277.59,279.26,10.8,220,83,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583031600,278.49,271.46,995,80,278.15,279.26,7.7,220,83,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583035200,278.9,271.58,995,80,277.59,279.82,8.2,220,83,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583038800,278.96,271.65,995,80,277.59,280.37,8.2,230,92,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583042400,278.9,271.58,995,80,277.59,279.82,8.2,230,92,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583046000,278.7,271.35,995,80,277.15,279.82,8.2,220,92,500,Rain,light rain,10d
Count: 168,200,2788577,0.07972104,168,1583049600,279.11,271.83,995,80,278.15,280.37,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583053200,279.67,271.4,995,70,278.71,280.93,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788577,0.07972104,168,1583056800,280.37,272.21,996,70,279.15,281.48,9.3,220,99,804,Clouds,overcast clouds,04d
Count: 168,200,2788577,0.07972104,168,1583060400,281.16,272.6,995,65,280.15,282.59,9.8,210,76,500,Rain,light rain,10d
Count: 168,200,2788577,0.07972104,168,1583064000,281.7,273.85,995,61,280.93,282.59,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788577,0.07972104,168,1583067600,281.95,273.37,994,61,281.15,283.15,9.8,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788577,0.07972104,168,1583071200,281.85,276.1,993,70,280.15,283.15,6.2,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2788577,0.07972104,168,1583074800,281.83,276.62,992,75,280.15,283.15,5.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2788577,0.07972104,168,1583078400,281.1,277.3,992,87,279.15,282.59,4.1,210,100,501,Rain,moderate rain,10d
Count: 168,200,2788577,0.07972104,168,1583082000,279.93,276.78,991,93,277.15,282.04,3.1,230,100,501,Rain,moderate rain,10d
Count: 168,200,2788577,0.07972104,168,1583085600,279.02,276.39,991,93,275.93,281.48,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2788577,0.07972104,168,1583089200,278.66,275.61,992,93,276.15,281.48,2.6,260,100,501,Rain,moderate rain,10n
Count: 168,200,2788577,0.07972104,168,1583092800,278.36,274.55,992,93,275.37,281.48,3.6,260,100,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583096400,278.16,274.32,994,93,275.93,280.37,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583100000,277.92,272.76,994,100,275.93,279.82,5.7,240,100,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583103600,277.46,270.97,995,93,275.93,279.26,7.2,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583107200,277.12,270.92,995,93,276.15,278.71,6.7,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583110800,276.98,271.1,994,93,276.15,278.15,6.2,210,79,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583114400,277.17,271.86,993,100,276.15,277.59,5.7,200,59,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583118000,277.63,272.22,992,93,277.04,278.15,5.7,190,59,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583121600,277.9,271.84,991,93,277.04,278.71,6.7,180,59,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583125200,278.12,272.1,990,93,277.04,279.26,6.7,180,80,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583128800,278.15,272.13,989,93,277.04,279.26,6.7,190,80,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583132400,278.51,272.91,989,81,278.15,279.26,5.7,180,75,500,Rain,light rain,10d
Count: 168,200,2788577,0.07972104,168,1583136000,278.94,273.56,988,86,278.15,279.82,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583139600,279.54,274.72,988,87,278.71,280.37,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583143200,280.29,275.62,988,87,279.15,281.48,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583146800,280.8,276.38,988,81,279.82,282.04,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583150400,281.02,276.64,987,81,279.82,282.04,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583154000,281.01,276.63,987,81,279.82,281.48,4.6,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583157600,280.74,277.56,987,87,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2788577,0.07972104,168,1583161200,280.57,277.56,988,93,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2788577,0.07972104,168,1583164800,280.12,277.36,989,93,279.15,280.93,2.6,190,75,500,Rain,light rain,10d
Count: 168,200,2788577,0.07972104,168,1583168400,279.81,276.64,990,93,279.15,280.93,3.1,280,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2788577,0.07972104,168,1583172000,279.26,275.85,991,100,278.15,280.37,3.6,290,75,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583175600,278.82,273.63,992,93,278.15,279.82,5.7,290,75,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583179200,278.3,272.46,994,86,277.59,279.26,6.2,310,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2788577,0.07972104,168,1583182800,277.85,272.48,995,93,277.04,278.71,5.7,310,75,803,Clouds,broken clouds,04n
Count: 168,200,2788577,0.07972104,168,1583186400,277.33,272.29,996,93,275.93,278.15,5.1,290,100,500,Rain,light rain,10n
Count: 168,200,2788577,0.07972104,168,1583190000,276.69,271.88,997,93,275.93,277.59,4.6,290,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788577,0.07972104,168,1583193600,276.62,272.85,998,93,275.93,277.59,3.1,260,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788577,0.07972104,168,1583197200,276.28,272.46,999,93,274.82,277.15,3.1,260,97,804,Clouds,overcast clouds,04n
Count: 168,200,2788577,0.07972104,168,1583200800,275.88,271.29,1000,93,275.15,276.48,4.1,260,43,802,Clouds,scattered clouds,03n
Count: 168,200,2788577,0.07972104,168,1583204400,275.46,270.38,1000,90,274.26,276.48,4.6,250,43,802,Clouds,scattered clouds,03n
Count: 168,200,2788577,0.07972104,168,1583208000,275.1,269.62,1001,90,274.15,276.15,5.1,250,43,802,Clouds,scattered clouds,03n
Count: 168,200,2788577,0.07972104,168,1583211600,274.8,270.39,1001,93,274.15,275.37,3.6,230,22,801,Clouds,few clouds,02n
Count: 168,200,2788577,0.07972104,168,1583215200,274.67,269.54,1001,93,274.15,275.37,4.6,230,22,801,Clouds,few clouds,02n
Count: 168,200,2788577,0.07972104,168,1583218800,274.54,270.09,1002,93,274.15,275.37,3.6,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583222400,275.73,269.82,1002,100,274.15,277.04,6.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583226000,276.57,271.39,1002,93,275.15,278.15,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788577,0.07972104,168,1583229600,277.97,272.62,1002,93,276.15,280.37,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583233200,278.39,272.91,1003,86,276.15,280.93,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583236800,279.33,273.49,1003,80,277.15,280.93,6.2,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583240400,279.52,274.83,1003,80,278.15,280.93,4.6,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583244000,279.77,274.61,1003,75,278.15,281.48,5.1,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788577,0.07972104,168,1583247600,279.51,275.01,1004,75,277.59,281.48,4.1,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788577,0.07972104,168,1583251200,279.21,274.31,1004,75,277.59,280.93,4.6,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788577,0.07972104,168,1583254800,277.84,272.27,1005,86,275.37,279.26,5.7,230,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788577,0.07972104,168,1583258400,276.94,271.99,1006,86,275.15,278.71,4.6,230,75,520,Rain,light intensity shower rain,09n
