message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2786387,0.031229681,168,1583017200,277.77,271.14,995,86,276.48,278.71,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2786387,0.031229681,168,1583020800,277.84,269.58,995,80,276.48,278.71,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786387,0.031229681,168,1583024400,277.84,269.86,995,75,276.48,278.71,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2786387,0.031229681,168,1583028000,278.11,269.75,996,75,276.48,279.26,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2786387,0.031229681,168,1583031600,278.3,269.27,995,75,277.04,279.26,10.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2786387,0.031229681,168,1583035200,278.4,270.08,994,75,277.04,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2786387,0.031229681,168,1583038800,278.26,268.73,995,70,276.15,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786387,0.031229681,168,1583042400,278.15,269.24,995,80,275.93,279.26,10.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2786387,0.031229681,168,1583046000,278.0,270.89,994,80,276.48,279.26,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786387,0.031229681,168,1583049600,278.63,271.27,995,80,277.04,279.82,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786387,0.031229681,168,1583053200,279.24,270.36,995,75,277.59,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786387,0.031229681,168,1583056800,280.15,270.2,995,70,278.15,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2786387,0.031229681,168,1583060400,280.91,271.26,995,65,278.71,282.59,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786387,0.031229681,168,1583064000,281.63,272.72,995,63,279.82,283.15,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2786387,0.031229681,168,1583067600,281.16,272.88,995,63,277.59,283.15,9.3,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786387,0.031229681,168,1583071200,281.3,273.39,994,61,279.26,283.15,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2786387,0.031229681,168,1583074800,281.28,274.21,993,65,278.71,283.15,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2786387,0.031229681,168,1583078400,280.13,275.38,992,75,277.15,282.59,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2786387,0.031229681,168,1583082000,279.11,275.8,991,93,277.15,281.48,3.1,230,100,501,Rain,moderate rain,10d
Count: 168,200,2786387,0.031229681,168,1583085600,278.16,275.37,991,93,275.93,280.15,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2786387,0.031229681,168,1583089200,278.03,275.01,992,86,275.37,279.82,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2786387,0.031229681,168,1583092800,276.84,273.81,992,93,273.15,279.82,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2786387,0.031229681,168,1583096400,276.71,272.61,992,93,273.15,279.15,3.6,220,75,803,Clouds,broken clouds,04n
