message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2799357,0.006667948,168,1583017200,277.79,270.29,996,80,277.04,278.71,8.2,220,87,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583020800,277.81,271.16,996,85,277.04,278.71,7.2,220,87,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583024400,278.0,269.77,996,80,277.15,278.71,9.3,220,66,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583028000,278.19,268.79,996,75,277.59,278.71,10.8,220,83,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583031600,278.27,271.2,995,80,278.15,278.71,7.7,220,83,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583035200,278.64,271.28,995,80,277.59,279.82,8.2,220,83,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583038800,278.68,271.33,995,80,277.59,279.82,8.2,230,92,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583042400,278.72,271.37,995,80,277.59,279.82,8.2,230,92,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583046000,278.32,270.91,995,80,277.04,279.26,8.2,220,92,500,Rain,light rain,10d
Count: 168,200,2799357,0.006667948,168,1583049600,278.9,271.58,995,80,278.15,279.82,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2799357,0.006667948,168,1583053200,279.21,271.44,996,75,278.15,279.82,8.7,220,99,804,Clouds,overcast clouds,04d
Count: 168,200,2799357,0.006667948,168,1583056800,280.4,272.24,996,70,279.15,282.04,9.3,220,99,804,Clouds,overcast clouds,04d
Count: 168,200,2799357,0.006667948,168,1583060400,281.2,272.65,995,65,280.15,282.59,9.8,210,76,500,Rain,light rain,10d
Count: 168,200,2799357,0.006667948,168,1583064000,281.82,273.99,995,61,280.93,282.59,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2799357,0.006667948,168,1583067600,281.94,273.36,994,61,281.15,283.15,9.8,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2799357,0.006667948,168,1583071200,281.65,275.87,993,70,279.82,283.71,6.2,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2799357,0.006667948,168,1583074800,281.63,276.38,992,75,280.15,283.15,5.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2799357,0.006667948,168,1583078400,280.7,276.81,992,87,279.15,282.59,4.1,210,100,501,Rain,moderate rain,10d
Count: 168,200,2799357,0.006667948,168,1583082000,279.31,276.04,991,93,277.15,281.48,3.1,230,100,501,Rain,moderate rain,10d
Count: 168,200,2799357,0.006667948,168,1583085600,278.24,275.46,991,93,275.93,280.93,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2799357,0.006667948,168,1583089200,277.71,274.48,992,93,275.37,279.82,2.6,260,100,501,Rain,moderate rain,10n
Count: 168,200,2799357,0.006667948,168,1583092800,277.59,273.64,992,93,275.37,279.82,3.6,260,100,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583096400,277.63,273.69,994,93,275.93,279.26,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583100000,277.5,272.26,994,100,275.93,279.15,5.7,240,100,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583103600,276.95,270.37,995,93,275.93,278.15,7.2,220,67,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583107200,276.83,270.58,995,93,276.15,277.59,6.7,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583110800,276.78,270.87,994,93,276.15,277.59,6.2,210,79,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583114400,277.24,271.06,993,93,276.48,277.59,6.7,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583118000,277.6,272.18,992,93,277.04,278.15,5.7,190,59,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583121600,277.8,271.72,991,93,277.04,278.15,6.7,180,59,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583125200,277.93,271.87,990,93,277.04,278.71,6.7,180,80,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583128800,277.97,271.92,989,93,277.04,278.71,6.7,190,80,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583132400,278.33,272.7,989,93,277.15,279.26,6.2,190,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2799357,0.006667948,168,1583136000,278.8,273.4,988,86,278.15,279.82,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2799357,0.006667948,168,1583139600,279.3,274.44,988,87,278.71,279.82,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2799357,0.006667948,168,1583143200,280.15,275.45,988,87,279.15,281.48,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2799357,0.006667948,168,1583146800,280.8,276.38,988,81,279.82,282.04,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2799357,0.006667948,168,1583150400,281.11,276.75,987,81,279.82,282.59,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2799357,0.006667948,168,1583154000,280.59,276.88,987,93,279.15,281.48,4.1,220,75,500,Rain,light rain,10d
Count: 168,200,2799357,0.006667948,168,1583157600,280.59,277.38,987,87,279.82,281.48,3.1,200,75,500,Rain,light rain,10d
Count: 168,200,2799357,0.006667948,168,1583161200,280.34,277.28,988,93,279.82,280.93,3.1,200,75,501,Rain,moderate rain,10d
Count: 168,200,2799357,0.006667948,168,1583164800,279.99,277.21,989,93,279.15,280.93,2.6,190,75,501,Rain,moderate rain,10d
Count: 168,200,2799357,0.006667948,168,1583168400,279.63,276.42,990,93,279.15,280.37,3.1,280,75,501,Rain,moderate rain,10d
Count: 168,200,2799357,0.006667948,168,1583172000,279.03,275.57,991,100,278.15,279.82,3.6,290,75,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583175600,278.68,273.46,992,93,278.15,279.26,5.7,290,75,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583179200,278.14,272.27,994,86,277.59,278.71,6.2,310,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2799357,0.006667948,168,1583182800,277.83,272.46,995,93,277.04,278.71,5.7,310,75,803,Clouds,broken clouds,04n
Count: 168,200,2799357,0.006667948,168,1583186400,277.34,272.3,996,93,276.48,278.15,5.1,290,100,500,Rain,light rain,10n
Count: 168,200,2799357,0.006667948,168,1583190000,276.68,271.87,997,93,275.93,277.59,4.6,290,100,804,Clouds,overcast clouds,04n
Count: 168,200,2799357,0.006667948,168,1583193600,276.48,272.69,998,93,275.93,277.15,3.1,260,100,804,Clouds,overcast clouds,04n
Count: 168,200,2799357,0.006667948,168,1583197200,276.26,272.43,999,93,275.37,277.04,3.1,260,97,804,Clouds,overcast clouds,04n
Count: 168,200,2799357,0.006667948,168,1583200800,275.8,271.2,1000,93,275.15,276.15,4.1,260,43,802,Clouds,scattered clouds,03n
Count: 168,200,2799357,0.006667948,168,1583204400,275.33,270.23,1000,90,274.26,276.48,4.6,250,43,802,Clouds,scattered clouds,03n
Count: 168,200,2799357,0.006667948,168,1583208000,274.87,269.35,1001,90,274.15,275.93,5.1,250,43,802,Clouds,scattered clouds,03n
Count: 168,200,2799357,0.006667948,168,1583211600,274.7,270.28,1001,93,274.15,275.37,3.6,230,22,801,Clouds,few clouds,02n
