message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2800591,0.031165355,168,1583017200,277.62,270.1,996,80,277.04,278.15,8.2,220,99,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583020800,277.67,271.13,996,90,277.04,278.15,7.2,220,99,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583024400,277.87,269.62,996,80,277.15,278.71,9.3,220,89,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583028000,278.05,268.63,996,75,277.59,278.15,10.8,220,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583031600,278.33,271.27,995,80,278.15,279.15,7.7,220,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583035200,278.67,271.32,995,80,278.15,279.26,8.2,220,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583038800,278.63,271.27,995,80,278.15,279.26,8.2,230,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583042400,278.64,271.28,995,80,277.59,279.26,8.2,230,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583046000,278.24,270.81,995,80,277.04,279.26,8.2,220,100,500,Rain,light rain,10d
Count: 168,200,2800591,0.031165355,168,1583049600,278.72,271.37,995,80,278.15,279.82,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800591,0.031165355,168,1583053200,279.4,271.09,995,70,278.71,280.37,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800591,0.031165355,168,1583056800,280.21,272.02,996,70,279.15,280.93,9.3,220,99,500,Rain,light rain,10d
Count: 168,200,2800591,0.031165355,168,1583060400,281.14,272.58,995,65,280.15,282.59,9.8,210,76,500,Rain,light rain,10d
Count: 168,200,2800591,0.031165355,168,1583064000,281.61,273.74,995,61,280.93,282.59,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800591,0.031165355,168,1583067600,281.86,273.26,994,61,281.15,283.15,9.8,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800591,0.031165355,168,1583071200,281.39,275.57,993,70,279.82,282.15,6.2,210,100,501,Rain,moderate rain,10d
Count: 168,200,2800591,0.031165355,168,1583074800,281.55,276.28,992,75,280.15,282.59,5.7,210,100,501,Rain,moderate rain,10d
Count: 168,200,2800591,0.031165355,168,1583078400,280.59,276.68,992,87,279.15,281.48,4.1,210,100,501,Rain,moderate rain,10d
Count: 168,200,2800591,0.031165355,168,1583082000,279.31,276.04,991,93,277.15,281.15,3.1,230,100,501,Rain,moderate rain,10d
Count: 168,200,2800591,0.031165355,168,1583085600,278.28,275.51,991,93,275.93,280.37,2.1,280,100,502,Rain,heavy intensity rain,10n
Count: 168,200,2800591,0.031165355,168,1583089200,277.74,274.52,992,93,275.37,279.26,2.6,260,100,502,Rain,heavy intensity rain,10n
Count: 168,200,2800591,0.031165355,168,1583092800,277.65,273.71,992,93,275.37,279.26,3.6,260,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583096400,277.59,273.64,994,93,275.93,279.26,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583100000,277.51,272.27,994,100,275.93,279.15,5.7,240,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583103600,276.94,270.36,995,93,275.93,278.15,7.2,220,58,803,Clouds,broken clouds,04n
Count: 168,200,2800591,0.031165355,168,1583107200,276.64,270.36,995,93,276.15,277.15,6.7,210,58,803,Clouds,broken clouds,04n
Count: 168,200,2800591,0.031165355,168,1583110800,276.73,270.81,994,93,276.15,277.59,6.2,210,73,803,Clouds,broken clouds,04n
Count: 168,200,2800591,0.031165355,168,1583114400,277.1,271.78,993,100,276.15,277.59,5.7,200,95,804,Clouds,overcast clouds,04n
Count: 168,200,2800591,0.031165355,168,1583118000,277.69,272.29,992,93,277.04,278.15,5.7,190,95,804,Clouds,overcast clouds,04n
Count: 168,200,2800591,0.031165355,168,1583121600,277.81,271.73,991,93,277.04,278.15,6.7,180,95,804,Clouds,overcast clouds,04n
Count: 168,200,2800591,0.031165355,168,1583125200,278.05,272.02,990,93,277.04,279.15,6.7,180,98,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583128800,278.07,272.04,989,93,277.04,279.15,6.7,190,98,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583132400,278.26,272.61,989,93,277.15,279.15,6.2,190,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800591,0.031165355,168,1583136000,278.76,273.35,988,86,278.15,279.26,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800591,0.031165355,168,1583139600,279.32,274.46,988,87,278.71,279.82,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800591,0.031165355,168,1583143200,280.12,275.42,988,87,279.15,281.48,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800591,0.031165355,168,1583146800,280.62,276.16,988,81,279.82,282.04,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2800591,0.031165355,168,1583150400,280.55,276.98,987,87,279.15,281.48,3.6,210,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800591,0.031165355,168,1583154000,280.43,276.69,987,93,279.15,281.48,4.1,220,75,500,Rain,light rain,10d
Count: 168,200,2800591,0.031165355,168,1583157600,280.55,277.33,987,87,279.82,281.15,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800591,0.031165355,168,1583161200,280.32,277.26,988,93,279.82,280.93,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800591,0.031165355,168,1583164800,279.9,277.1,989,93,279.15,280.37,2.6,190,75,500,Rain,light rain,10d
Count: 168,200,2800591,0.031165355,168,1583168400,279.65,276.45,990,93,279.15,280.37,3.1,280,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800591,0.031165355,168,1583172000,279.01,275.68,991,93,278.71,279.26,3.1,280,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800591,0.031165355,168,1583175600,278.58,273.35,992,93,278.15,279.26,5.7,290,75,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583179200,278.02,272.13,994,86,277.59,278.71,6.2,310,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2800591,0.031165355,168,1583182800,277.47,272.03,995,93,277.04,278.15,5.7,310,75,803,Clouds,broken clouds,04n
Count: 168,200,2800591,0.031165355,168,1583186400,276.84,271.71,996,93,275.93,277.59,5.1,290,100,500,Rain,light rain,10n
Count: 168,200,2800591,0.031165355,168,1583190000,276.43,271.58,997,93,275.93,277.15,4.6,290,100,804,Clouds,overcast clouds,04n
Count: 168,200,2800591,0.031165355,168,1583193600,276.31,272.49,998,93,275.93,277.04,3.1,260,100,804,Clouds,overcast clouds,04n
