message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2784189,0.005470937,168,1583017200,277.84,270.35,996,80,277.04,278.71,8.2,220,99,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583020800,277.81,271.3,996,90,277.04,278.71,7.2,220,99,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583024400,277.98,269.74,996,80,277.15,278.71,9.3,220,89,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583028000,278.14,268.74,996,75,277.59,278.71,10.8,220,100,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583031600,278.46,271.42,995,80,278.15,279.26,7.7,220,100,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583035200,278.73,271.39,995,80,277.59,279.82,8.2,220,100,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583038800,278.72,271.37,995,80,277.59,279.82,8.2,230,100,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583042400,278.78,271.44,995,80,277.59,279.82,8.2,230,100,500,Rain,light rain,10n
Count: 168,200,2784189,0.005470937,168,1583046000,278.5,271.12,995,80,277.15,279.26,8.2,220,100,500,Rain,light rain,10d
Count: 168,200,2784189,0.005470937,168,1583049600,278.88,271.56,995,80,278.15,279.82,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2784189,0.005470937,168,1583053200,279.28,271.52,996,75,278.15,280.37,8.7,220,99,500,Rain,light rain,10d
Count: 168,200,2784189,0.005470937,168,1583056800,280.32,272.15,996,70,279.15,281.48,9.3,220,99,500,Rain,light rain,10d
Count: 168,200,2784189,0.005470937,168,1583060400,281.21,272.66,995,65,280.15,282.59,9.8,210,67,500,Rain,light rain,10d
Count: 168,200,2784189,0.005470937,168,1583064000,281.73,273.88,995,61,280.93,282.59,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2784189,0.005470937,168,1583067600,281.96,273.38,994,61,281.15,283.15,9.8,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2784189,0.005470937,168,1583071200,281.92,276.19,993,70,280.15,283.71,6.2,210,100,501,Rain,moderate rain,10d
Count: 168,200,2784189,0.005470937,168,1583074800,281.74,276.51,992,75,280.15,283.15,5.7,210,100,501,Rain,moderate rain,10d
Count: 168,200,2784189,0.005470937,168,1583078400,280.8,276.93,992,87,279.15,282.59,4.1,210,100,501,Rain,moderate rain,10d
