message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2800481,0.022289177,168,1583017200,278.06,271.31,995,80,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583020800,278.08,271.19,995,75,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583024400,278.2,272.17,995,80,277.15,279.26,6.2,200,82,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583028000,278.39,271.19,995,75,277.59,279.26,7.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583031600,278.71,272.61,995,75,278.15,279.82,6.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583035200,279.06,271.42,994,80,278.15,279.82,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583038800,279.09,272.51,995,80,278.15,280.37,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583042400,279.02,271.92,995,75,277.59,279.82,7.7,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583046000,278.9,271.08,994,75,278.15,279.82,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583049600,279.12,271.84,995,80,278.15,280.37,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583053200,279.71,271.44,995,70,278.71,280.93,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583056800,280.58,272.28,995,65,279.82,281.48,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583060400,281.46,273.72,995,65,280.15,283.15,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583064000,281.89,274.07,995,61,280.93,283.15,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583067600,282.06,273.49,994,61,281.15,283.15,9.8,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583071200,282.3,275.74,993,65,281.15,283.71,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583074800,282.01,276.11,993,65,280.15,283.15,6.2,220,75,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583078400,281.26,277.58,992,70,279.15,282.59,3.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583082000,280.34,277.58,991,81,277.59,282.04,2.1,200,75,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583085600,279.41,276.86,991,93,276.15,281.48,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2800481,0.022289177,168,1583089200,278.83,275.46,992,93,276.15,280.93,3.1,210,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583092800,278.73,274.64,992,93,276.15,280.93,4.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583096400,278.5,274.16,993,86,276.15,280.37,4.1,250,100,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583100000,278.22,272.37,994,86,276.15,279.82,6.2,230,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583103600,277.65,271.89,994,93,275.93,279.26,6.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583107200,277.23,271.05,994,93,276.15,278.71,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583110800,277.12,270.92,994,93,276.15,278.15,6.7,190,40,802,Clouds,scattered clouds,03n
Count: 168,200,2800481,0.022289177,168,1583114400,277.32,271.15,993,93,276.48,278.15,6.7,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583118000,277.67,272.49,992,86,277.04,278.15,5.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583121600,278.07,273.31,990,86,277.15,278.71,4.6,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583125200,278.45,272.99,989,86,277.59,279.26,5.7,160,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583128800,278.46,272.3,989,86,277.59,279.26,6.7,170,75,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583132400,278.58,273.56,988,86,278.15,279.26,5.1,170,75,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583136000,279.01,273.65,988,86,278.15,279.82,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583139600,279.56,274.75,988,87,278.71,280.37,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583143200,280.35,275.69,988,87,279.15,281.48,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583146800,280.77,276.34,988,81,279.82,282.04,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583150400,280.92,276.52,987,81,279.82,281.48,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583154000,281.04,276.66,987,81,279.82,282.04,4.6,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583157600,280.74,277.56,987,87,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800481,0.022289177,168,1583161200,280.63,277.63,988,93,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800481,0.022289177,168,1583164800,280.37,276.62,989,93,279.26,281.48,4.1,230,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800481,0.022289177,168,1583168400,279.97,276.83,990,93,279.15,281.15,3.1,280,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800481,0.022289177,168,1583172000,279.43,276.18,991,93,278.71,280.37,3.1,280,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800481,0.022289177,168,1583175600,278.91,273.98,993,87,278.15,279.82,5.1,300,75,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583179200,278.34,273.28,994,86,277.59,279.26,5.1,300,75,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583182800,277.81,273.7,995,86,277.04,278.71,3.6,300,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583186400,277.28,272.23,996,93,276.15,278.15,5.1,290,100,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583190000,276.67,272.21,997,93,275.93,277.59,4.1,250,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583193600,276.5,272.36,998,93,275.93,277.15,3.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583197200,276.32,271.62,999,86,275.37,277.15,4.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583200800,275.94,271.19,999,86,274.82,277.04,4.1,240,0,800,Clear,clear sky,01n
Count: 168,200,2800481,0.022289177,168,1583204400,275.45,270.25,1000,85,274.26,276.48,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2800481,0.022289177,168,1583208000,275.09,269.84,1001,85,274.15,276.15,4.6,230,0,800,Clear,clear sky,01n
Count: 168,200,2800481,0.022289177,168,1583211600,274.78,269.95,1001,90,274.15,275.37,4.1,210,0,800,Clear,clear sky,01n
Count: 168,200,2800481,0.022289177,168,1583215200,274.69,269.15,1001,90,273.71,275.37,5.1,230,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583218800,274.64,270.14,1002,90,273.71,275.37,3.6,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583222400,275.91,269.85,1002,93,274.82,277.04,6.2,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583226000,276.79,271.23,1002,93,275.15,278.71,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583229600,278.03,272.69,1002,93,276.15,280.37,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583233200,278.78,273.79,1003,86,277.04,280.93,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583236800,279.51,273.7,1003,80,277.15,280.93,6.2,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583240400,279.78,275.14,1003,80,278.15,282.59,4.6,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583244000,279.97,274.85,1003,75,278.15,282.04,5.1,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583247600,279.58,274.39,1003,75,277.15,282.04,5.1,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583251200,279.26,273.44,1004,70,277.59,280.93,5.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583254800,278.15,273.79,1004,75,276.48,279.82,3.6,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583258400,277.08,273.93,1006,100,275.15,278.71,2.6,190,40,802,Clouds,scattered clouds,03n
Count: 168,200,2800481,0.022289177,168,1583262000,276.88,273.51,1006,93,275.15,278.71,2.6,180,40,802,Clouds,scattered clouds,03n
Count: 168,200,2800481,0.022289177,168,1583265600,277.16,273.49,1007,93,275.93,278.71,3.1,200,40,802,Clouds,scattered clouds,03n
Count: 168,200,2800481,0.022289177,168,1583269200,277.22,273.72,1008,86,275.93,278.15,2.6,210,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2800481,0.022289177,168,1583272800,277.05,273.01,1008,93,275.93,278.15,3.6,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583276400,277.2,273.18,1009,93,275.93,278.71,3.6,210,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583280000,277.65,274.06,1009,93,276.15,278.71,3.1,230,87,500,Rain,light rain,10n
Count: 168,200,2800481,0.022289177,168,1583283600,277.71,273.08,1009,93,276.48,278.71,4.6,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583287200,277.84,272.89,1010,93,276.48,279.26,5.1,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583290800,277.64,273.35,1010,93,275.93,279.26,4.1,240,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583294400,276.94,271.99,1011,86,275.37,278.71,4.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2800481,0.022289177,168,1583298000,276.3,271.78,1011,93,275.37,277.59,4.1,250,63,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583301600,276.12,271.92,1011,93,275.93,276.48,3.6,210,63,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583305200,276.3,272.13,1011,93,275.37,277.04,3.6,210,75,701,Mist,mist,50d
Count: 168,200,2800481,0.022289177,168,1583308800,277.06,272.67,1011,93,276.15,278.15,4.1,210,75,701,Mist,mist,50d
Count: 168,200,2800481,0.022289177,168,1583312400,278.12,273.92,1012,93,277.04,279.82,4.1,210,75,701,Mist,mist,50d
Count: 168,200,2800481,0.022289177,168,1583316000,279.17,274.82,1012,93,278.15,280.37,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583319600,280.32,276.51,1011,81,279.26,282.04,3.6,210,20,801,Clouds,few clouds,02d
Count: 168,200,2800481,0.022289177,168,1583323200,280.91,276.16,1012,81,279.26,282.59,5.1,200,99,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583326800,281.32,276.23,1011,81,279.82,282.59,5.7,200,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583330400,281.19,277.54,1010,81,280.15,282.59,3.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583334000,281.49,276.27,1010,65,280.37,283.15,5.1,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800481,0.022289177,168,1583337600,281.18,275.77,1009,61,279.82,282.04,5.1,220,20,801,Clouds,few clouds,02d
Count: 168,200,2800481,0.022289177,168,1583341200,280.53,275.51,1009,65,279.15,281.48,4.6,200,20,801,Clouds,few clouds,02d
Count: 168,200,2800481,0.022289177,168,1583344800,279.84,275.23,1008,70,278.71,280.93,4.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583348400,279.26,274.21,1008,70,278.15,280.37,4.6,180,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800481,0.022289177,168,1583352000,278.9,274.64,1008,86,277.59,279.82,4.1,170,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800481,0.022289177,168,1583355600,278.55,274.78,1007,93,277.59,279.26,3.6,160,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800481,0.022289177,168,1583359200,278.48,274.14,1006,86,277.59,279.26,4.1,150,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800481,0.022289177,168,1583362800,278.43,273.73,1005,86,277.59,279.26,4.6,150,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800481,0.022289177,168,1583366400,278.35,274.19,1004,93,277.59,279.26,4.1,160,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800481,0.022289177,168,1583370000,278.3,273.78,1003,93,277.59,279.15,4.6,160,75,701,Mist,mist,50n
Count: 168,200,2800481,0.022289177,168,1583373600,278.39,274.24,1002,93,277.59,279.26,4.1,170,75,701,Mist,mist,50n
Count: 168,200,2800481,0.022289177,168,1583377200,278.41,274.26,1001,93,277.59,279.26,4.1,170,75,701,Mist,mist,50n
Count: 168,200,2800481,0.022289177,168,1583380800,278.56,274.79,1000,93,278.15,279.26,3.6,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583384400,278.68,275.14,999,100,278.15,279.26,3.6,160,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583388000,278.74,275.01,998,93,278.15,279.82,3.6,160,75,300,Drizzle,light intensity drizzle,09n
Count: 168,200,2800481,0.022289177,168,1583391600,279.04,275.36,997,93,278.15,279.82,3.6,160,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583395200,279.33,275.71,996,93,278.71,279.82,3.6,160,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800481,0.022289177,168,1583398800,279.71,276.87,995,93,279.15,280.37,2.6,140,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583402400,279.96,277.05,994,100,279.15,280.93,3.1,130,75,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2800481,0.022289177,168,1583406000,280.37,276.97,993,93,279.82,281.15,3.6,110,75,803,Clouds,broken clouds,04d
Count: 168,200,2800481,0.022289177,168,1583409600,280.68,278.04,992,93,279.82,281.48,2.6,120,75,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583413200,280.83,277.77,990,100,280.15,281.48,3.6,80,75,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583416800,280.75,276.62,989,100,280.15,281.48,5.1,70,75,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583420400,280.54,276.12,987,93,280.15,281.15,5.1,110,75,501,Rain,moderate rain,10d
Count: 168,200,2800481,0.022289177,168,1583424000,280.39,275.17,986,93,279.82,280.93,6.2,100,75,500,Rain,light rain,10d
Count: 168,200,2800481,0.022289177,168,1583427600,280.4,276.65,985,93,279.82,281.15,4.1,110,75,501,Rain,moderate rain,10d
Count: 168,200,2800481,0.022289177,168,1583431200,280.29,278.15,985,100,279.82,281.15,2.1,130,75,501,Rain,moderate rain,10n
Count: 168,200,2800481,0.022289177,168,1583434800,280.17,277.31,985,100,279.26,280.93,3.1,180,100,501,Rain,moderate rain,10n
Count: 168,200,2800481,0.022289177,168,1583438400,279.87,276.01,984,93,279.15,280.93,4.1,190,96,501,Rain,moderate rain,10n
Count: 168,200,2800481,0.022289177,168,1583442000,279.73,277.12,984,100,279.15,280.37,2.6,150,75,803,Clouds,broken clouds,04n
Count: 168,200,2800481,0.022289177,168,1583445600,279.63,278.47,984,100,279.15,280.37,0.5,0,75,803,Clouds,broken clouds,04n
