message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2800448,0.043372146,168,1583017200,278.04,271.28,995,80,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2800448,0.043372146,168,1583020800,278.1,271.21,995,75,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2800448,0.043372146,168,1583024400,278.22,272.19,995,80,277.15,279.26,6.2,200,82,500,Rain,light rain,10n
Count: 168,200,2800448,0.043372146,168,1583028000,278.4,271.2,995,75,277.59,279.26,7.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583031600,278.71,272.61,995,75,278.15,279.82,6.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583035200,279.04,271.4,994,80,278.15,279.82,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583038800,279.08,272.49,995,80,278.15,280.37,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583042400,278.98,271.87,995,75,277.59,279.82,7.7,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583046000,278.88,271.06,994,75,278.15,279.82,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800448,0.043372146,168,1583049600,279.11,271.83,995,80,278.15,280.37,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583053200,279.68,271.41,995,70,278.71,280.93,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800448,0.043372146,168,1583056800,280.39,272.06,995,65,279.15,281.48,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800448,0.043372146,168,1583060400,281.43,273.68,995,65,280.15,283.15,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800448,0.043372146,168,1583064000,281.86,274.03,995,61,280.93,283.15,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800448,0.043372146,168,1583067600,282.01,273.44,994,61,281.15,283.15,9.8,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2800448,0.043372146,168,1583071200,282.23,275.66,993,65,281.15,283.71,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583074800,281.95,276.04,993,65,280.15,283.15,6.2,220,75,500,Rain,light rain,10d
Count: 168,200,2800448,0.043372146,168,1583078400,281.22,277.54,992,70,279.15,282.59,3.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583082000,280.27,277.5,991,81,277.59,282.04,2.1,200,75,500,Rain,light rain,10d
Count: 168,200,2800448,0.043372146,168,1583085600,279.31,276.74,991,93,276.15,281.48,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2800448,0.043372146,168,1583089200,278.75,275.37,992,93,276.15,280.93,3.1,210,20,801,Clouds,few clouds,02n
Count: 168,200,2800448,0.043372146,168,1583092800,278.64,274.54,992,93,276.15,280.93,4.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2800448,0.043372146,168,1583096400,278.33,273.96,993,86,275.93,280.37,4.1,250,100,500,Rain,light rain,10n
Count: 168,200,2800448,0.043372146,168,1583100000,278.18,272.32,994,86,276.15,279.82,6.2,230,20,801,Clouds,few clouds,02n
Count: 168,200,2800448,0.043372146,168,1583103600,277.61,271.85,994,93,275.93,279.26,6.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2800448,0.043372146,168,1583107200,277.22,271.04,994,93,276.15,278.71,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583110800,277.08,270.87,994,93,276.15,278.15,6.7,190,40,802,Clouds,scattered clouds,03n
Count: 168,200,2800448,0.043372146,168,1583114400,277.32,271.15,993,93,276.48,278.15,6.7,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583118000,277.66,272.48,992,86,277.04,278.15,5.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583121600,278.03,273.26,990,86,277.15,278.71,4.6,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583125200,278.28,272.79,989,86,277.04,279.26,5.7,160,75,803,Clouds,broken clouds,04n
Count: 168,200,2800448,0.043372146,168,1583128800,278.35,272.17,989,86,277.15,279.26,6.7,170,75,500,Rain,light rain,10n
Count: 168,200,2800448,0.043372146,168,1583132400,278.58,273.56,988,86,278.15,279.26,5.1,170,75,500,Rain,light rain,10d
Count: 168,200,2800448,0.043372146,168,1583136000,278.98,273.61,988,86,278.15,279.82,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583139600,279.55,274.74,988,87,278.71,280.37,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583143200,280.31,275.64,988,87,279.15,281.48,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583146800,280.75,276.32,988,81,279.82,282.04,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583150400,280.92,276.52,987,81,279.82,281.48,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583154000,281.03,276.65,987,81,279.82,282.04,4.6,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2800448,0.043372146,168,1583157600,280.76,277.58,987,87,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800448,0.043372146,168,1583161200,280.58,277.57,988,93,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800448,0.043372146,168,1583164800,280.32,276.56,989,93,279.26,281.15,4.1,230,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800448,0.043372146,168,1583168400,279.84,276.68,990,93,279.15,280.93,3.1,280,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2800448,0.043372146,168,1583172000,279.39,276.13,991,93,278.71,280.37,3.1,280,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2800448,0.043372146,168,1583175600,278.88,273.94,993,87,278.15,279.82,5.1,300,75,500,Rain,light rain,10n
Count: 168,200,2800448,0.043372146,168,1583179200,278.31,273.24,994,86,277.59,279.26,5.1,300,75,500,Rain,light rain,10n
