message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2798593,0.005470733,168,1583017200,277.64,272.04,999,86,276.48,279.82,5.7,220,100,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583020800,278.11,273.21,999,93,276.48,280.37,5.1,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2798593,0.005470733,168,1583024400,277.94,271.52,999,80,276.48,279.82,6.7,220,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2798593,0.005470733,168,1583028000,278.1,272.05,999,80,276.48,279.82,6.2,210,100,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583031600,278.19,271.81,998,80,277.04,279.82,6.7,220,100,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583035200,278.16,271.42,998,80,277.04,279.82,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2798593,0.005470733,168,1583038800,277.83,271.21,998,86,276.48,279.82,7.2,210,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2798593,0.005470733,168,1583042400,277.47,270.98,997,93,275.37,279.82,7.2,210,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2798593,0.005470733,168,1583046000,277.61,271.85,997,93,275.37,279.82,6.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583049600,278.38,271.15,998,86,275.93,280.93,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583053200,278.71,272.06,998,80,277.04,280.93,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583056800,279.5,271.78,998,75,277.04,281.48,8.7,240,75,520,Rain,light intensity shower rain,09d
Count: 168,200,2798593,0.005470733,168,1583060400,280.56,273.72,998,75,278.71,282.59,7.7,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583064000,280.73,273.74,997,70,279.82,282.59,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583067600,280.87,275.34,997,81,277.59,283.71,6.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583071200,281.39,275.74,995,75,279.26,283.71,6.2,200,40,802,Clouds,scattered clouds,03d
Count: 168,200,2798593,0.005470733,168,1583074800,280.76,275.04,994,66,278.71,282.59,5.7,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583078400,279.39,275.95,993,87,277.59,281.48,3.1,190,75,500,Rain,light rain,10d
Count: 168,200,2798593,0.005470733,168,1583082000,278.94,275.6,992,93,277.04,281.48,3.1,180,75,501,Rain,moderate rain,10d
Count: 168,200,2798593,0.005470733,168,1583085600,279.39,275.43,991,93,277.04,282.04,4.1,180,75,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583089200,279.42,274.35,990,93,277.59,281.48,5.7,180,75,803,Clouds,broken clouds,04n
Count: 168,200,2798593,0.005470733,168,1583092800,278.53,274.23,990,87,275.37,280.15,4.1,160,75,520,Rain,light intensity shower rain,09n
Count: 168,200,2798593,0.005470733,168,1583096400,274.54,266.62,996,82,273.15,275.93,8.21,262,100,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583100000,275.11,267.34,994,100,274.15,275.93,8.7,280,75,620,Snow,light shower snow,13n
Count: 168,200,2798593,0.005470733,168,1583103600,275.61,268.46,996,93,273.71,277.04,7.7,250,75,803,Clouds,broken clouds,04n
Count: 168,200,2798593,0.005470733,168,1583107200,276.2,270.54,997,93,274.82,278.15,5.7,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2798593,0.005470733,168,1583110800,276.47,271.63,997,93,274.82,278.15,4.6,210,96,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583114400,276.51,271.32,996,93,274.82,278.15,5.1,200,85,804,Clouds,overcast clouds,04n
Count: 168,200,2798593,0.005470733,168,1583118000,276.72,272.1,995,100,275.37,277.59,4.6,190,85,804,Clouds,overcast clouds,04n
Count: 168,200,2798593,0.005470733,168,1583121600,276.45,271.78,994,100,274.82,277.59,4.6,180,75,803,Clouds,broken clouds,04n
Count: 168,200,2798593,0.005470733,168,1583125200,276.47,271.98,993,93,275.37,277.59,4.1,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2798593,0.005470733,168,1583128800,276.03,271.46,992,93,274.82,277.59,4.1,160,75,803,Clouds,broken clouds,04n
Count: 168,200,2798593,0.005470733,168,1583132400,276.11,271.91,991,93,274.82,277.59,3.6,140,20,801,Clouds,few clouds,02d
Count: 168,200,2798593,0.005470733,168,1583136000,276.62,271.8,991,93,274.82,278.15,4.6,150,20,801,Clouds,few clouds,02d
Count: 168,200,2798593,0.005470733,168,1583139600,277.92,273.48,991,86,274.82,280.37,4.1,140,20,801,Clouds,few clouds,02d
Count: 168,200,2798593,0.005470733,168,1583143200,279.09,274.89,990,87,276.48,282.04,4.1,140,20,801,Clouds,few clouds,02d
Count: 168,200,2798593,0.005470733,168,1583146800,280.19,275.1,989,75,278.15,281.48,5.1,160,40,802,Clouds,scattered clouds,03d
Count: 168,200,2798593,0.005470733,168,1583150400,280.31,276.29,988,75,278.71,281.48,3.6,150,75,803,Clouds,broken clouds,04d
Count: 168,200,2798593,0.005470733,168,1583154000,280.04,276.17,988,81,278.71,281.48,3.6,150,75,500,Rain,light rain,10d
Count: 168,200,2798593,0.005470733,168,1583157600,279.41,276.16,988,93,278.15,280.37,3.1,160,75,501,Rain,moderate rain,10d
Count: 168,200,2798593,0.005470733,168,1583161200,279.01,275.68,988,93,277.59,280.37,3.1,160,75,501,Rain,moderate rain,10d
Count: 168,200,2798593,0.005470733,168,1583164800,278.71,275.53,988,100,277.04,280.37,3.1,140,75,500,Rain,light rain,10d
Count: 168,200,2798593,0.005470733,168,1583168400,278.39,274.94,989,93,277.04,279.82,3.1,160,75,500,Rain,light rain,10d
Count: 168,200,2798593,0.005470733,168,1583172000,278.03,275.21,990,93,276.48,279.26,2.1,180,75,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583175600,277.6,274.0,991,93,275.93,279.26,3.1,260,75,501,Rain,moderate rain,10n
Count: 168,200,2798593,0.005470733,168,1583179200,277.33,273.34,991,93,275.93,278.71,3.6,290,75,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583182800,277.45,272.97,992,100,275.93,279.26,4.6,290,75,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583186400,277.27,272.56,994,93,275.37,279.26,4.6,290,75,500,Rain,light rain,10n
Count: 168,200,2798593,0.005470733,168,1583190000,276.59,270.3,995,93,274.82,278.71,6.7,290,75,500,Rain,light rain,10n
