message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2783862,0.003899008,168,1583017200,277.35,269.79,996,80,276.48,278.15,8.2,220,87,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583020800,277.59,271.04,996,90,276.48,278.71,7.2,220,87,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583024400,277.63,269.34,996,80,276.48,278.71,9.3,220,88,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583028000,277.9,268.46,996,75,276.48,279.26,10.8,220,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583031600,277.96,270.84,995,80,277.04,278.71,7.7,220,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583035200,277.98,270.51,995,80,277.04,278.71,8.2,220,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583038800,277.92,270.44,995,80,276.48,279.15,8.2,230,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583042400,277.58,270.05,995,80,275.93,279.15,8.2,230,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583046000,277.41,269.85,995,80,275.93,278.15,8.2,220,100,500,Rain,light rain,10d
Count: 168,200,2783862,0.003899008,168,1583049600,278.1,270.65,995,80,276.48,279.82,8.2,220,99,500,Rain,light rain,10d
Count: 168,200,2783862,0.003899008,168,1583053200,278.8,270.97,996,75,277.59,279.82,8.7,220,99,500,Rain,light rain,10d
Count: 168,200,2783862,0.003899008,168,1583056800,279.8,271.55,996,70,278.15,282.04,9.3,220,99,500,Rain,light rain,10d
Count: 168,200,2783862,0.003899008,168,1583060400,280.4,271.72,995,65,278.71,281.48,9.8,210,71,500,Rain,light rain,10d
Count: 168,200,2783862,0.003899008,168,1583064000,281.08,273.28,995,65,279.82,282.59,8.7,220,71,500,Rain,light rain,10d
Count: 168,200,2783862,0.003899008,168,1583067600,280.69,273.18,994,65,277.59,282.59,8.2,220,53,500,Rain,light rain,10d
Count: 168,200,2783862,0.003899008,168,1583071200,280.77,274.84,993,70,279.26,282.04,6.2,210,100,501,Rain,moderate rain,10d
Count: 168,200,2783862,0.003899008,168,1583074800,280.44,274.98,992,75,278.71,282.04,5.7,210,100,501,Rain,moderate rain,10d
Count: 168,200,2783862,0.003899008,168,1583078400,279.31,275.15,992,87,277.59,281.15,4.1,210,100,501,Rain,moderate rain,10d
Count: 168,200,2783862,0.003899008,168,1583082000,278.33,274.87,991,93,277.15,280.15,3.1,230,100,501,Rain,moderate rain,10d
Count: 168,200,2783862,0.003899008,168,1583085600,277.63,274.74,991,93,275.93,279.82,2.1,280,100,502,Rain,heavy intensity rain,10n
Count: 168,200,2783862,0.003899008,168,1583089200,277.46,274.19,992,93,275.37,279.82,2.6,260,100,502,Rain,heavy intensity rain,10n
Count: 168,200,2783862,0.003899008,168,1583092800,276.33,272.16,992,93,274.26,277.15,3.6,260,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583096400,275.8,271.55,994,93,273.71,278.15,3.6,240,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583100000,276.23,270.75,994,100,274.26,278.15,5.7,240,100,500,Rain,light rain,10n
Count: 168,200,2783862,0.003899008,168,1583103600,276.14,269.42,995,93,274.82,277.15,7.2,220,82,803,Clouds,broken clouds,04n
Count: 168,200,2783862,0.003899008,168,1583107200,276.24,269.89,995,93,274.82,277.15,6.7,210,82,803,Clouds,broken clouds,04n
Count: 168,200,2783862,0.003899008,168,1583110800,276.56,270.61,994,93,275.37,277.59,6.2,210,84,803,Clouds,broken clouds,04n
Count: 168,200,2783862,0.003899008,168,1583114400,276.58,271.17,993,100,275.37,277.59,5.7,200,91,804,Clouds,overcast clouds,04n
Count: 168,200,2783862,0.003899008,168,1583118000,277.03,271.51,992,93,275.37,278.15,5.7,190,91,804,Clouds,overcast clouds,04n
