message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2793279,0.007669681,168,1583017200,277.35,270.65,995,86,275.93,278.71,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2793279,0.007669681,168,1583020800,277.57,270.92,995,74,275.93,278.71,6.7,230,94,600,Snow,light snow,13n
Count: 168,200,2793279,0.007669681,168,1583024400,277.38,269.33,995,75,275.37,278.71,8.7,210,20,801,Clouds,few clouds,02n
Count: 168,200,2793279,0.007669681,168,1583028000,277.66,269.23,996,75,275.37,279.26,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2793279,0.007669681,168,1583031600,277.8,270.84,995,74,275.93,279.26,7.2,230,100,500,Rain,light rain,10n
Count: 168,200,2793279,0.007669681,168,1583035200,277.71,271.08,994,74,275.93,278.71,6.7,220,100,500,Rain,light rain,10n
Count: 168,200,2793279,0.007669681,168,1583038800,277.6,271.43,994,91,275.93,279.15,6.7,220,99,500,Rain,light rain,10n
Count: 168,200,2793279,0.007669681,168,1583042400,277.15,271.3,994,93,275.15,278.71,6.2,230,99,501,Rain,moderate rain,10n
Count: 168,200,2793279,0.007669681,168,1583046000,277.11,269.86,994,80,274.82,278.71,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793279,0.007669681,168,1583049600,277.75,271.73,994,83,275.15,279.82,6.2,240,91,600,Snow,light snow,13d
Count: 168,200,2793279,0.007669681,168,1583053200,278.51,269.51,995,75,275.93,279.82,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793279,0.007669681,168,1583056800,279.53,269.48,995,70,276.48,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2793279,0.007669681,168,1583060400,280.39,270.66,995,65,277.59,282.59,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793279,0.007669681,168,1583064000,280.89,272.28,995,75,279.26,282.59,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2793279,0.007669681,168,1583067600,280.47,274.67,995,65,277.59,283.15,5.7,230,44,500,Rain,light rain,10d
Count: 168,200,2793279,0.007669681,168,1583071200,280.83,272.85,994,61,277.59,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2793279,0.007669681,168,1583074800,280.58,273.4,993,65,278.71,282.04,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2793279,0.007669681,168,1583078400,279.07,275.54,992,86,277.15,281.15,3.1,220,100,500,Rain,light rain,10d
Count: 168,200,2793279,0.007669681,168,1583082000,278.4,274.95,991,93,277.04,280.37,3.1,230,100,501,Rain,moderate rain,10d
Count: 168,200,2793279,0.007669681,168,1583085600,278.05,275.24,991,93,275.93,280.37,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2793279,0.007669681,168,1583089200,278.11,275.11,992,86,275.37,280.37,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2793279,0.007669681,168,1583092800,276.82,274.28,990,96,273.15,279.82,1.5,340,100,600,Snow,light snow,13n
Count: 168,200,2793279,0.007669681,168,1583096400,274.99,271.03,990,96,273.15,277.15,3.1,320,100,600,Snow,light snow,13n
Count: 168,200,2793279,0.007669681,168,1583100000,275.36,271.46,992,96,273.15,277.15,3.1,260,100,600,Snow,light snow,13n
Count: 168,200,2793279,0.007669681,168,1583103600,275.71,270.77,993,94,273.71,277.15,4.6,260,91,600,Snow,light snow,13n
Count: 168,200,2793279,0.007669681,168,1583107200,276.04,271.3,993,100,274.15,277.15,4.6,250,91,701,Mist,mist,50n
Count: 168,200,2793279,0.007669681,168,1583110800,276.09,271.36,994,100,274.15,277.59,4.6,230,100,600,Snow,light snow,13n
Count: 168,200,2793279,0.007669681,168,1583114400,276.16,272.04,993,96,274.15,277.59,3.6,200,89,804,Clouds,overcast clouds,04n
Count: 168,200,2793279,0.007669681,168,1583118000,276.38,272.65,992,96,274.15,277.59,3.1,200,89,804,Clouds,overcast clouds,04n
Count: 168,200,2793279,0.007669681,168,1583121600,276.44,272.37,992,96,274.15,278.15,3.6,190,89,804,Clouds,overcast clouds,04n
Count: 168,200,2793279,0.007669681,168,1583125200,276.51,270.37,991,86,274.26,278.15,6.2,170,20,801,Clouds,few clouds,02n
Count: 168,200,2793279,0.007669681,168,1583128800,276.31,271.62,990,100,274.15,278.15,4.6,190,94,804,Clouds,overcast clouds,04n
Count: 168,200,2793279,0.007669681,168,1583132400,276.44,271.24,989,93,274.82,278.15,5.1,180,94,301,Drizzle,drizzle,09d
Count: 168,200,2793279,0.007669681,168,1583136000,276.87,271.74,989,93,274.82,279.26,5.1,190,100,804,Clouds,overcast clouds,04d
Count: 168,200,2793279,0.007669681,168,1583139600,277.84,273.39,989,86,275.93,279.82,4.1,190,100,804,Clouds,overcast clouds,04d
Count: 168,200,2793279,0.007669681,168,1583143200,278.7,274.26,989,93,276.15,281.48,4.6,190,100,804,Clouds,overcast clouds,04d
Count: 168,200,2793279,0.007669681,168,1583146800,279.46,275.87,988,93,276.15,282.04,3.6,180,100,500,Rain,light rain,10d
Count: 168,200,2793279,0.007669681,168,1583150400,279.9,276.87,988,86,276.48,282.59,2.6,170,100,500,Rain,light rain,10d
Count: 168,200,2793279,0.007669681,168,1583154000,280.15,276.97,987,80,278.15,282.04,2.6,170,100,500,Rain,light rain,10d
Count: 168,200,2793279,0.007669681,168,1583157600,279.5,276.21,987,80,277.59,281.15,2.6,150,100,501,Rain,moderate rain,10d
Count: 168,200,2793279,0.007669681,168,1583161200,279.15,275.98,987,86,277.59,280.37,2.6,170,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2793279,0.007669681,168,1583164800,278.88,276.22,988,93,277.04,280.37,2.1,170,100,500,Rain,light rain,10d
Count: 168,200,2793279,0.007669681,168,1583168400,278.41,275.66,988,93,277.04,279.82,2.1,180,100,500,Rain,light rain,10d
Count: 168,200,2793279,0.007669681,168,1583172000,277.99,275.01,989,100,276.15,279.82,2.6,230,100,500,Rain,light rain,10n
Count: 168,200,2793279,0.007669681,168,1583175600,277.64,275.36,990,100,275.93,279.26,1.5,260,100,500,Rain,light rain,10n
Count: 168,200,2793279,0.007669681,168,1583179200,277.46,273.33,992,100,275.93,278.71,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2793279,0.007669681,168,1583182800,277.28,273.63,991,93,275.93,278.15,3.1,300,100,500,Rain,light rain,10n
Count: 168,200,2793279,0.007669681,168,1583186400,277.12,272.04,996,93,275.37,278.15,5.1,290,100,500,Rain,light rain,10n
