message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788186,0.017291053,168,1583017200,277.34,270.64,995,86,275.93,278.71,7.2,210,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788186,0.017291053,168,1583020800,277.54,269.23,995,80,275.93,278.71,9.3,210,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583024400,277.31,271.91,995,80,275.15,278.71,5.1,220,89,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583028000,277.68,269.26,996,75,275.37,279.26,9.3,220,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583031600,277.79,268.68,995,75,275.93,279.26,10.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583035200,277.91,269.52,994,75,275.93,279.82,9.3,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583038800,277.66,268.05,995,70,275.37,279.82,10.8,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583042400,277.06,267.98,995,80,274.26,279.26,10.3,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583046000,277.11,269.86,994,80,274.82,279.26,7.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583049600,277.78,270.28,995,80,275.15,279.82,8.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583053200,278.66,269.68,995,75,275.93,280.93,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583056800,279.46,269.4,995,70,276.15,282.04,11.8,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788186,0.017291053,168,1583060400,280.55,270.85,995,65,277.59,282.59,11.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788186,0.017291053,168,1583064000,280.81,272.19,995,75,278.15,282.59,10.3,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583067600,280.41,272.45,995,76,277.59,282.59,9.3,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788186,0.017291053,168,1583071200,280.68,272.68,994,61,277.59,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788186,0.017291053,168,1583074800,280.62,273.45,993,65,277.59,283.15,7.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583078400,279.01,274.08,992,75,277.15,281.15,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583082000,278.34,274.88,991,93,277.04,280.37,3.1,230,100,501,Rain,moderate rain,10d
Count: 168,200,2788186,0.017291053,168,1583085600,277.85,275.0,991,93,275.93,279.82,2.1,280,100,501,Rain,moderate rain,10n
Count: 168,200,2788186,0.017291053,168,1583089200,277.91,274.87,992,86,275.37,279.82,2.1,210,75,501,Rain,moderate rain,10n
Count: 168,200,2788186,0.017291053,168,1583092800,276.61,273.54,992,93,273.15,279.26,2.1,170,75,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583096400,275.36,271.04,992,93,273.15,278.71,3.6,220,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583100000,275.47,271.59,992,96,273.15,278.15,3.1,260,100,600,Snow,light snow,13n
Count: 168,200,2788186,0.017291053,168,1583103600,275.85,269.43,994,93,273.71,278.15,6.7,230,91,600,Snow,light snow,13n
Count: 168,200,2788186,0.017291053,168,1583107200,276.12,269.22,994,86,274.15,277.59,7.2,220,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583110800,276.01,269.27,994,93,273.71,277.59,7.2,200,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583114400,276.19,269.65,994,86,274.15,277.59,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583118000,276.4,269.55,993,86,274.15,278.15,7.2,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583121600,276.45,270.3,992,86,274.15,278.15,6.2,170,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788186,0.017291053,168,1583125200,276.48,270.34,991,86,274.15,278.71,6.2,170,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583128800,276.46,270.67,990,86,274.15,278.71,5.7,170,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583132400,276.54,271.37,990,80,274.82,278.71,4.6,170,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583136000,277.14,271.87,989,86,274.82,279.82,5.1,170,20,801,Clouds,few clouds,02d
Count: 168,200,2788186,0.017291053,168,1583139600,278.07,272.05,989,81,274.82,280.93,6.2,180,20,801,Clouds,few clouds,02d
Count: 168,200,2788186,0.017291053,168,1583143200,278.93,272.7,989,81,276.15,281.48,6.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583146800,279.62,274.21,988,81,276.15,282.04,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583150400,280.37,277.43,988,86,277.15,282.59,2.6,170,100,500,Rain,light rain,10d
Count: 168,200,2788186,0.017291053,168,1583154000,280.32,275.26,987,75,278.15,282.59,5.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583157600,279.92,276.38,987,81,277.59,282.04,3.1,220,75,500,Rain,light rain,10d
Count: 168,200,2788186,0.017291053,168,1583161200,279.42,276.17,988,93,277.59,281.48,3.1,230,75,500,Rain,light rain,10d
Count: 168,200,2788186,0.017291053,168,1583164800,279.03,275.7,989,93,277.04,280.93,3.1,240,75,500,Rain,light rain,10d
Count: 168,200,2788186,0.017291053,168,1583168400,278.56,275.84,988,93,277.04,280.37,2.1,180,100,500,Rain,light rain,10d
Count: 168,200,2788186,0.017291053,168,1583172000,278.17,274.33,990,93,276.15,280.37,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583175600,277.82,273.91,991,93,275.93,279.82,3.6,220,75,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583179200,277.47,273.34,992,100,275.15,279.82,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583182800,277.21,272.84,993,93,275.37,278.71,4.1,310,75,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583186400,277.06,271.97,996,93,275.15,278.71,5.1,290,100,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583190000,276.35,271.31,996,86,274.15,278.15,4.6,280,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583193600,276.03,269.72,995,96,274.15,278.15,6.7,310,99,600,Snow,light snow,13n
Count: 168,200,2788186,0.017291053,168,1583197200,275.59,270.25,998,93,273.71,277.04,5.1,250,100,600,Snow,light snow,13n
Count: 168,200,2788186,0.017291053,168,1583200800,275.46,271.15,999,93,274.15,277.04,3.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583204400,275.27,270.23,999,93,274.15,276.48,4.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583208000,274.75,269.63,1000,93,273.15,275.93,4.6,230,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583211600,274.56,268.76,1001,98,273.15,275.93,5.7,230,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788186,0.017291053,168,1583215200,274.4,268.99,1001,98,273.15,275.37,5.1,220,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583218800,274.38,270.02,1002,98,273.15,275.37,3.6,230,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583222400,275.07,270.37,1002,94,273.15,277.04,4.1,190,20,801,Clouds,few clouds,02d
Count: 168,200,2788186,0.017291053,168,1583226000,275.99,269.95,1002,93,273.71,277.59,6.2,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788186,0.017291053,168,1583229600,276.54,270.06,1002,86,274.26,278.71,6.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583233200,276.87,270.28,1003,80,274.15,279.26,6.7,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583236800,277.44,271.5,1003,75,275.15,279.26,5.7,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583240400,278.08,272.24,1003,75,275.93,280.93,5.7,240,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788186,0.017291053,168,1583244000,278.21,273.3,1003,80,275.93,280.37,4.6,200,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788186,0.017291053,168,1583247600,277.92,271.56,1003,70,275.93,280.37,6.2,240,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583251200,277.66,271.27,1004,70,275.37,279.82,6.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2788186,0.017291053,168,1583254800,277.0,271.42,1004,75,274.26,279.26,5.1,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2788186,0.017291053,168,1583258400,275.86,271.18,1005,75,273.71,278.71,3.6,220,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788186,0.017291053,168,1583262000,275.23,270.72,1006,86,273.15,277.04,3.6,200,20,801,Clouds,few clouds,02n
Count: 168,200,2788186,0.017291053,168,1583265600,275.15,270.86,1006,96,273.71,277.04,3.6,230,52,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583269200,275.1,269.87,1008,86,273.15,277.59,4.6,190,52,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583272800,275.37,271.05,1008,93,273.71,277.59,3.6,230,52,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583276400,275.13,271.89,1007,96,273.15,277.04,2.1,220,62,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583280000,275.29,271.31,1009,93,273.71,277.59,3.1,230,62,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583283600,275.58,270.24,1009,93,274.15,277.59,5.1,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583287200,275.65,270.49,1009,100,274.15,278.15,5.1,230,75,500,Rain,light rain,10n
Count: 168,200,2788186,0.017291053,168,1583290800,275.97,270.69,1010,93,273.71,278.15,5.1,240,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583294400,275.96,270.68,1010,93,274.15,278.15,5.1,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2788186,0.017291053,168,1583298000,275.73,271.12,1011,93,274.82,277.15,4.1,250,98,804,Clouds,overcast clouds,04n
Count: 168,200,2788186,0.017291053,168,1583301600,275.67,271.05,1011,93,274.82,276.48,4.1,240,40,802,Clouds,scattered clouds,03n
Count: 168,200,2788186,0.017291053,168,1583305200,275.74,271.48,1011,93,274.15,277.04,3.6,220,20,801,Clouds,few clouds,02d
Count: 168,200,2788186,0.017291053,168,1583308800,276.62,272.15,1011,93,274.82,278.15,4.1,200,75,803,Clouds,broken clouds,04d
