message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2788446,0.075789476,168,1583017200,277.87,271.09,995,80,277.04,278.71,7.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2788446,0.075789476,168,1583020800,277.94,270.47,995,80,277.04,278.71,8.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2788446,0.075789476,168,1583024400,277.99,269.75,995,80,277.15,278.71,9.3,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2788446,0.075789476,168,1583028000,278.13,269.22,994,80,277.59,278.71,10.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583031600,278.35,272.2,995,75,278.15,278.71,6.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2788446,0.075789476,168,1583035200,278.78,270.52,994,75,278.15,279.26,9.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583038800,278.83,269.88,994,75,278.15,279.82,10.3,220,99,500,Rain,light rain,10n
Count: 168,200,2788446,0.075789476,168,1583042400,278.74,270.9,994,75,278.15,279.26,8.7,210,99,500,Rain,light rain,10n
Count: 168,200,2788446,0.075789476,168,1583046000,278.57,271.4,994,75,278.15,279.26,7.7,220,99,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583049600,278.78,271.09,994,80,278.15,279.82,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583053200,279.36,270.5,995,75,279.15,279.82,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583056800,280.44,271.24,995,70,279.82,280.93,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583060400,281.12,272.73,994,70,280.15,281.48,9.8,220,87,804,Clouds,overcast clouds,04d
Count: 168,200,2788446,0.075789476,168,1583064000,281.6,273.11,994,65,280.93,282.59,9.8,220,87,804,Clouds,overcast clouds,04d
Count: 168,200,2788446,0.075789476,168,1583067600,281.9,273.66,994,61,281.15,283.15,9.3,220,65,803,Clouds,broken clouds,04d
Count: 168,200,2788446,0.075789476,168,1583071200,282.0,275.08,993,66,281.15,283.15,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2788446,0.075789476,168,1583074800,281.95,275.72,992,66,281.15,282.59,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2788446,0.075789476,168,1583078400,281.1,277.05,992,70,280.37,281.48,3.6,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2788446,0.075789476,168,1583082000,280.33,276.5,991,70,278.71,281.48,3.1,210,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583085600,279.45,276.18,992,70,277.59,280.93,2.1,240,100,500,Rain,light rain,10n
Count: 168,200,2788446,0.075789476,168,1583089200,278.86,275.49,992,81,277.04,279.82,2.6,250,100,500,Rain,light rain,10n
Count: 168,200,2788446,0.075789476,168,1583092800,278.62,274.51,993,81,277.04,279.82,3.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583096400,278.34,273.63,993,86,277.04,279.26,4.6,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583100000,278.07,272.05,994,81,276.48,279.15,6.2,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583103600,277.22,270.85,994,86,276.15,278.15,6.7,200,52,803,Clouds,broken clouds,04n
Count: 168,200,2788446,0.075789476,168,1583107200,276.99,270.42,994,93,276.15,278.15,7.2,200,52,803,Clouds,broken clouds,04n
Count: 168,200,2788446,0.075789476,168,1583110800,276.98,269.87,993,86,276.15,278.15,7.7,200,50,802,Clouds,scattered clouds,03n
Count: 168,200,2788446,0.075789476,168,1583114400,277.48,271.34,992,93,276.48,278.15,6.7,180,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583118000,277.91,272.77,991,86,277.15,278.15,5.1,170,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583121600,278.1,272.22,989,86,277.59,278.71,6.2,170,100,804,Clouds,overcast clouds,04n
Count: 168,200,2788446,0.075789476,168,1583125200,278.39,272.24,989,87,277.59,279.15,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2788446,0.075789476,168,1583128800,278.48,273.05,988,87,277.59,279.15,5.7,180,100,500,Rain,light rain,10n
Count: 168,200,2788446,0.075789476,168,1583132400,278.61,273.2,988,87,278.15,279.26,5.7,180,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583136000,278.88,273.35,988,93,278.15,279.26,6.2,180,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2788446,0.075789476,168,1583139600,279.42,274.0,987,93,279.15,279.82,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583143200,280.05,274.56,987,87,279.15,280.37,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583146800,280.49,275.64,987,93,279.82,281.15,5.7,200,100,500,Rain,light rain,10d
Count: 168,200,2788446,0.075789476,168,1583150400,280.77,276.75,987,93,279.82,281.48,4.6,200,100,500,Rain,light rain,10d
