message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2801150,0.007095239,168,1583017200,278.19,271.46,995,80,277.04,279.26,7.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2801150,0.007095239,168,1583020800,278.38,270.98,995,80,277.04,279.82,8.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2801150,0.007095239,168,1583024400,278.5,270.35,995,80,277.15,279.82,9.3,210,67,803,Clouds,broken clouds,04n
Count: 168,200,2801150,0.007095239,168,1583028000,278.57,269.73,994,80,277.59,279.82,10.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583031600,278.86,269.92,994,75,278.15,279.82,10.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583035200,279.18,270.99,994,75,278.15,279.82,9.3,210,96,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583038800,279.2,270.31,994,75,278.15,280.37,10.3,220,99,500,Rain,light rain,10n
Count: 168,200,2801150,0.007095239,168,1583042400,279.14,271.36,994,75,278.15,280.15,8.7,210,99,500,Rain,light rain,10n
Count: 168,200,2801150,0.007095239,168,1583046000,279.0,271.9,994,75,278.15,279.82,7.7,220,99,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583049600,279.23,271.62,994,80,278.15,280.37,8.7,210,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583053200,279.86,271.08,995,75,278.71,280.93,10.3,210,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583056800,280.63,271.46,995,70,279.82,281.48,10.8,220,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583060400,281.41,273.07,994,70,280.15,282.59,9.8,220,84,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583064000,281.89,273.45,994,65,280.93,283.15,9.8,220,84,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583067600,282.11,273.9,994,61,281.15,283.15,9.3,220,65,803,Clouds,broken clouds,04d
Count: 168,200,2801150,0.007095239,168,1583071200,282.38,275.53,993,66,281.15,283.71,7.7,210,100,804,Clouds,overcast clouds,04d
Count: 168,200,2801150,0.007095239,168,1583074800,282.27,276.1,992,66,281.15,283.15,6.7,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2801150,0.007095239,168,1583078400,281.71,277.76,992,70,280.37,282.59,3.6,220,100,804,Clouds,overcast clouds,04d
Count: 168,200,2801150,0.007095239,168,1583082000,281.17,277.48,991,70,279.82,282.15,3.1,210,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583085600,280.31,277.18,992,70,278.15,281.48,2.1,240,100,500,Rain,light rain,10n
Count: 168,200,2801150,0.007095239,168,1583089200,279.73,276.51,992,81,277.59,281.48,2.6,250,100,500,Rain,light rain,10n
Count: 168,200,2801150,0.007095239,168,1583092800,279.44,275.47,993,81,277.15,281.48,3.6,230,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583096400,278.98,274.38,993,86,277.04,280.37,4.6,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583100000,278.62,272.69,994,81,277.04,279.82,6.2,220,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583103600,278.09,271.86,994,86,276.48,279.26,6.7,200,52,803,Clouds,broken clouds,04n
Count: 168,200,2801150,0.007095239,168,1583107200,277.61,271.15,994,93,276.15,279.26,7.2,200,52,803,Clouds,broken clouds,04n
Count: 168,200,2801150,0.007095239,168,1583110800,277.38,270.33,993,86,276.15,278.71,7.7,200,50,802,Clouds,scattered clouds,03n
Count: 168,200,2801150,0.007095239,168,1583114400,277.48,271.34,992,93,276.48,278.15,6.7,180,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583118000,277.76,272.6,991,86,277.04,278.71,5.1,170,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583121600,278.15,272.28,989,86,277.15,278.71,6.2,170,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801150,0.007095239,168,1583125200,278.49,272.36,989,87,277.59,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2801150,0.007095239,168,1583128800,278.54,273.12,988,87,277.59,279.26,5.7,180,100,500,Rain,light rain,10n
Count: 168,200,2801150,0.007095239,168,1583132400,278.66,273.26,988,87,278.15,279.26,5.7,180,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583136000,279.05,273.56,988,93,278.15,279.82,6.2,180,100,300,Drizzle,light intensity drizzle,09d
Count: 168,200,2801150,0.007095239,168,1583139600,279.62,274.24,987,93,278.71,280.37,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583143200,280.33,274.9,987,87,279.15,280.93,6.2,180,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583146800,280.61,275.79,987,93,279.82,281.48,5.7,200,100,500,Rain,light rain,10d
Count: 168,200,2801150,0.007095239,168,1583150400,280.85,276.85,987,93,279.82,281.48,4.6,200,100,500,Rain,light rain,10d
