message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2801922,0.005351094,168,1583017200,277.95,271.18,995,80,277.04,278.71,7.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583020800,277.94,271.03,995,75,277.04,278.71,7.2,210,65,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583024400,278.12,272.08,995,80,277.15,279.26,6.2,200,67,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583028000,278.15,270.92,995,75,277.59,278.71,7.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583031600,278.56,272.44,995,75,278.15,279.26,6.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583035200,278.96,271.3,994,80,278.15,279.82,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583038800,278.97,272.37,995,80,278.15,279.82,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583042400,278.95,271.84,995,75,277.59,279.82,7.7,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583046000,278.78,270.94,994,75,278.15,279.82,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801922,0.005351094,168,1583049600,278.95,271.64,995,80,278.15,279.82,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583053200,279.52,271.22,995,70,278.71,280.37,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801922,0.005351094,168,1583056800,280.53,272.22,995,65,279.82,280.93,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801922,0.005351094,168,1583060400,281.21,273.43,995,65,280.15,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801922,0.005351094,168,1583064000,281.67,273.81,995,61,280.93,282.59,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801922,0.005351094,168,1583067600,281.92,273.33,994,61,281.15,283.15,9.8,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2801922,0.005351094,168,1583071200,282.07,275.48,993,65,280.15,283.71,7.2,220,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583074800,281.85,275.92,993,65,280.15,283.15,6.2,220,75,500,Rain,light rain,10d
Count: 168,200,2801922,0.005351094,168,1583078400,281.22,277.54,992,70,279.15,282.59,3.1,200,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583082000,280.31,277.54,991,81,277.59,281.48,2.1,200,75,500,Rain,light rain,10d
Count: 168,200,2801922,0.005351094,168,1583085600,279.34,276.77,991,93,276.15,281.15,2.1,280,100,500,Rain,light rain,10n
Count: 168,200,2801922,0.005351094,168,1583089200,278.74,275.36,992,93,276.15,280.37,3.1,210,20,801,Clouds,few clouds,02n
Count: 168,200,2801922,0.005351094,168,1583092800,278.63,274.53,992,93,276.15,280.37,4.1,240,20,801,Clouds,few clouds,02n
Count: 168,200,2801922,0.005351094,168,1583096400,278.29,273.92,993,86,275.93,280.15,4.1,250,100,804,Clouds,overcast clouds,04n
Count: 168,200,2801922,0.005351094,168,1583100000,278.13,272.26,994,86,276.15,279.26,6.2,230,20,801,Clouds,few clouds,02n
Count: 168,200,2801922,0.005351094,168,1583103600,277.47,271.68,994,93,275.93,279.15,6.2,210,20,801,Clouds,few clouds,02n
Count: 168,200,2801922,0.005351094,168,1583107200,277.07,270.86,994,93,276.15,278.15,6.7,200,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583110800,277.02,270.8,994,93,276.15,278.15,6.7,190,40,802,Clouds,scattered clouds,03n
Count: 168,200,2801922,0.005351094,168,1583114400,277.34,271.18,993,93,276.48,278.15,6.7,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583118000,277.69,272.51,992,86,277.04,278.15,5.1,190,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583121600,278.16,273.41,990,86,277.59,278.71,4.6,170,75,803,Clouds,broken clouds,04n
Count: 168,200,2801922,0.005351094,168,1583125200,278.37,272.22,989,87,277.15,279.26,6.7,170,100,500,Rain,light rain,10n
Count: 168,200,2801922,0.005351094,168,1583128800,278.35,272.17,989,86,277.15,279.26,6.7,170,75,500,Rain,light rain,10n
Count: 168,200,2801922,0.005351094,168,1583132400,278.58,273.56,988,86,278.15,279.26,5.1,170,75,500,Rain,light rain,10d
Count: 168,200,2801922,0.005351094,168,1583136000,278.89,273.5,988,86,278.15,279.82,5.7,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583139600,279.45,274.62,988,87,278.71,280.37,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583143200,280.17,275.48,988,87,279.15,280.93,5.1,180,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583146800,280.58,276.11,988,81,279.82,281.48,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583150400,280.86,276.45,987,81,279.82,281.48,4.6,190,75,803,Clouds,broken clouds,04d
Count: 168,200,2801922,0.005351094,168,1583154000,280.92,277.43,987,87,279.82,282.04,3.6,220,100,500,Rain,light rain,10d
Count: 168,200,2801922,0.005351094,168,1583157600,280.64,277.44,987,87,279.82,281.15,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2801922,0.005351094,168,1583161200,280.59,277.58,988,93,279.82,281.48,3.1,200,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2801922,0.005351094,168,1583164800,280.27,276.5,989,93,279.26,281.15,4.1,230,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2801922,0.005351094,168,1583168400,279.85,276.69,990,93,279.15,280.93,3.1,280,75,310,Drizzle,light intensity drizzle rain,09d
Count: 168,200,2801922,0.005351094,168,1583172000,279.27,275.99,991,93,278.71,280.15,3.1,280,75,310,Drizzle,light intensity drizzle rain,09n
Count: 168,200,2801922,0.005351094,168,1583175600,278.71,273.74,994,87,278.15,279.26,5.1,300,100,500,Rain,light rain,10n
Count: 168,200,2801922,0.005351094,168,1583179200,278.16,273.06,994,86,277.59,279.26,5.1,300,75,500,Rain,light rain,10n
Count: 168,200,2801922,0.005351094,168,1583182800,277.59,273.45,995,86,276.48,278.71,3.6,300,20,801,Clouds,few clouds,02n
Count: 168,200,2801922,0.005351094,168,1583186400,276.95,271.84,996,93,275.93,278.15,5.1,290,100,500,Rain,light rain,10n
Count: 168,200,2801922,0.005351094,168,1583190000,276.53,272.05,997,93,275.93,277.15,4.1,250,20,801,Clouds,few clouds,02n
Count: 168,200,2801922,0.005351094,168,1583193600,276.52,272.39,998,93,275.93,277.15,3.6,240,20,801,Clouds,few clouds,02n
Count: 168,200,2801922,0.005351094,168,1583197200,276.17,271.45,999,86,274.82,277.15,4.1,240,20,801,Clouds,few clouds,02n
