message,cod,city_id,calctime,cnt,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,weather.id,weather.main,weather.description,weather.icon
Count: 168,200,2790697,0.040969575,168,1583017200,278.08,271.33,995,80,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2790697,0.040969575,168,1583020800,278.13,271.24,995,75,277.04,279.26,7.2,210,85,500,Rain,light rain,10n
Count: 168,200,2790697,0.040969575,168,1583024400,278.23,272.2,995,80,277.15,279.26,6.2,200,82,500,Rain,light rain,10n
Count: 168,200,2790697,0.040969575,168,1583028000,278.39,271.19,995,75,277.59,279.26,7.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790697,0.040969575,168,1583031600,278.74,272.65,995,75,278.15,279.82,6.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790697,0.040969575,168,1583035200,279.09,271.46,994,80,278.15,279.82,8.7,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790697,0.040969575,168,1583038800,279.13,272.55,995,80,278.15,280.37,7.2,210,75,803,Clouds,broken clouds,04n
Count: 168,200,2790697,0.040969575,168,1583042400,279.05,271.96,995,75,277.59,279.82,7.7,230,75,803,Clouds,broken clouds,04n
Count: 168,200,2790697,0.040969575,168,1583046000,278.93,271.12,994,75,278.15,279.82,8.7,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2790697,0.040969575,168,1583049600,279.1,271.82,995,80,278.15,280.37,8.2,210,75,803,Clouds,broken clouds,04d
Count: 168,200,2790697,0.040969575,168,1583053200,279.71,271.44,995,70,278.71,280.93,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2790697,0.040969575,168,1583056800,280.59,272.29,995,65,279.82,281.48,9.3,210,40,802,Clouds,scattered clouds,03d
Count: 168,200,2790697,0.040969575,168,1583060400,281.27,273.5,995,65,280.15,282.59,8.7,220,40,802,Clouds,scattered clouds,03d
